LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/8/2021;"31";"24";"36";"12";"35";"21";"18";"41";"0";"1006";"0";"0";"pioggia "
Ancona;2/8/2021;"26";"21";"30";"12";"44";"18";"14";"24";"0";"1012";"0";"0";"nebbia "
Ancona;3/8/2021;"25";"19";"30";"12";"45";"21";"11";"24";"0";"1014";"0";"0";""
Ancona;4/8/2021;"26";"19";"31";"15";"53";"21";"9";"21";"0";"1012";"0";"0";""
Ancona;5/8/2021;"28";"23";"32";"12";"39";"20";"20";"35";"0";"1007";"0";"0";""
Ancona;6/8/2021;"26";"22";"30";"13";"45";"19";"15";"22";"0";"1008";"0";"0";""
Ancona;7/8/2021;"27";"19";"32";"15";"49";"18";"13";"24";"0";"1009";"0";"0";""
Ancona;8/8/2021;"29";"23";"34";"15";"44";"19";"11";"21";"0";"1010";"0";"0";""
Ancona;9/8/2021;"29";"23";"32";"17";"52";"20";"10";"24";"0";"1016";"0";"0";""
Ancona;10/8/2021;"27";"24";"29";"22";"78";"20";"9";"24";"0";"1017";"0";"0";""
Ancona;11/8/2021;"27";"23";"31";"18";"60";"19";"10";"22";"0";"1016";"0";"0";""
Ancona;12/8/2021;"27";"21";"32";"18";"58";"21";"8";"18";"0";"1018";"0";"0";""
Ancona;13/8/2021;"27";"21";"32";"19";"63";"20";"8";"22";"0";"1020";"0";"0";""
Ancona;14/8/2021;"27";"20";"31";"18";"61";"18";"9";"21";"0";"1019";"0";"0";""
Ancona;15/8/2021;"28";"21";"35";"17";"53";"21";"10";"21";"0";"1014";"0";"0";""
Ancona;16/8/2021;"31";"22";"39";"13";"36";"19";"13";"30";"0";"1009";"0";"0";""
Ancona;17/8/2021;"27";"23";"29";"18";"60";"19";"17";"33";"0";"1010";"0";"0";""
Ancona;18/8/2021;"24";"20";"27";"14";"59";"21";"12";"22";"0";"1013";"0";"0";""
Ancona;19/8/2021;"23";"18";"28";"13";"54";"21";"10";"21";"0";"1014";"0";"0";""
Ancona;20/8/2021;"23";"18";"28";"13";"52";"20";"10";"24";"0";"1015";"0";"0";""
Ancona;21/8/2021;"24";"18";"29";"15";"57";"19";"9";"17";"0";"1017";"0";"0";""
Ancona;22/8/2021;"27";"18";"33";"13";"46";"21";"11";"22";"0";"1015";"0";"0";""
Ancona;23/8/2021;"25";"21";"32";"17";"65";"20";"11";"28";"0";"1013";"0";"0";"pioggia "
Ancona;24/8/2021;"23";"21";"26";"18";"75";"19";"11";"22";"0";"1014";"0";"0";"pioggia "
Ancona;25/8/2021;"22";"19";"25";"16";"71";"21";"9";"17";"0";"1014";"0";"0";"pioggia "
Ancona;26/8/2021;"22";"16";"27";"16";"70";"20";"11";"22";"0";"1010";"0";"0";""
Ancona;27/8/2021;"23";"20";"25";"16";"64";"19";"14";"35";"0";"1009";"0";"0";""
Ancona;28/8/2021;"18";"16";"21";"15";"85";"17";"8";"18";"0";"1011";"0";"0";"pioggia "
Ancona;29/8/2021;"19";"15";"22";"13";"70";"20";"11";"21";"0";"1012";"0";"0";"pioggia "
Ancona;30/8/2021;"20";"12";"28";"11";"61";"22";"9";"17";"0";"1013";"0";"0";""
Ancona;31/8/2021;"22";"16";"26";"15";"69";"21";"10";"24";"0";"1016";"0";"0";"pioggia "
