LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/4/2021;"15";"8";"22";"9";"67";"22";"8";"17";"0";"1018";"0";"0";""
Ancona;2/4/2021;"19";"14";"25";"6";"44";"20";"10";"18";"0";"1013";"0";"0";""
Ancona;3/4/2021;"14";"7";"19";"8";"65";"19";"13";"26";"0";"1011";"0";"0";"pioggia "
Ancona;4/4/2021;"9";"4";"13";"4";"68";"19";"11";"24";"0";"1017";"0";"0";""
Ancona;5/4/2021;"9";"1";"14";"2";"60";"20";"10";"22";"0";"1013";"0";"0";""
Ancona;6/4/2021;"9";"4";"15";"5";"73";"20";"14";"44";"0";"1003";"0";"0";"pioggia "
Ancona;7/4/2021;"6";"3";"9";"2";"69";"19";"15";"37";"0";"1014";"0";"0";""
Ancona;8/4/2021;"8";"1";"14";"0";"44";"22";"10";"18";"0";"1025";"0";"0";""
Ancona;9/4/2021;"10";"3";"17";"3";"56";"20";"10";"21";"0";"1026";"0";"0";""
Ancona;10/4/2021;"11";"5";"18";"3";"58";"21";"7";"15";"0";"1023";"0";"0";"pioggia "
Ancona;11/4/2021;"13";"9";"16";"9";"81";"19";"6";"15";"0";"1019";"0";"0";"pioggia "
Ancona;12/4/2021;"13";"11";"17";"11";"88";"18";"5";"9";"0";"1017";"0";"0";"pioggia "
Ancona;13/4/2021;"10";"8";"12";"6";"79";"19";"14";"31";"0";"1017";"0";"0";"pioggia "
Ancona;14/4/2021;"9";"4";"12";"4";"66";"20";"9";"17";"0";"1022";"0";"0";""
Ancona;15/4/2021;"8";"4";"13";"3";"66";"20";"8";"22";"0";"1021";"0";"0";"pioggia "
Ancona;16/4/2021;"8";"2";"13";"3";"64";"20";"8";"18";"0";"1019";"0";"0";""
Ancona;17/4/2021;"9";"2";"14";"3";"64";"21";"10";"18";"0";"1015";"0";"0";""
Ancona;18/4/2021;"10";"5";"14";"4";"69";"20";"9";"18";"0";"1015";"0";"0";""
Ancona;19/4/2021;"9";"4";"13";"5";"78";"20";"10";"22";"0";"1015";"0";"0";""
Ancona;20/4/2021;"11";"5";"16";"4";"62";"21";"8";"15";"0";"1016";"0";"0";""
Ancona;21/4/2021;"12";"4";"18";"5";"62";"18";"10";"21";"0";"1017";"0";"0";""
Ancona;22/4/2021;"13";"10";"17";"9";"76";"21";"10";"22";"0";"1018";"0";"0";"pioggia "
Ancona;23/4/2021;"12";"8";"16";"10";"85";"18";"8";"18";"0";"1022";"0";"0";""
Ancona;24/4/2021;"12";"5";"17";"7";"77";"19";"8";"15";"0";"1022";"0";"0";""
Ancona;25/4/2021;"13";"3";"19";"4";"58";"20";"8";"17";"0";"1017";"0";"0";""
Ancona;26/4/2021;"14";"7";"20";"9";"75";"20";"7";"18";"0";"1013";"0";"0";"pioggia "
Ancona;27/4/2021;"13";"12";"14";"11";"87";"20";"9";"17";"0";"1008";"0";"0";"pioggia "
Ancona;28/4/2021;"13";"12";"15";"12";"93";"20";"6";"11";"0";"1009";"0";"0";"pioggia "
Ancona;29/4/2021;"17";"9";"21";"12";"75";"16";"8";"15";"0";"1010";"0";"0";""
Ancona;30/4/2021;"18";"11";"24";"12";"68";"20";"8";"17";"0";"1011";"0";"0";""
