LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/12/2021;"11";"6";"16";"5";"58";"19";"11";"31";"0";"1012";"0";"0";""
Ancona;2/12/2021;"12";"6";"15";"7";"76";"19";"10";"18";"0";"1000";"0";"0";"pioggia "
Ancona;3/12/2021;"8";"6";"11";"6";"86";"20";"9";"15";"0";"1007";"0";"0";"pioggia "
Ancona;4/12/2021;"8";"3";"12";"4";"78";"18";"6";"11";"0";"1010";"0";"0";"pioggia "
Ancona;5/12/2021;"8";"4";"16";"6";"89";"12";"8";"22";"0";"1002";"0";"0";"pioggia "
Ancona;6/12/2021;"6";"4";"8";"3";"83";"19";"14";"24";"0";"1007";"0";"0";"pioggia "
Ancona;7/12/2021;"5";"1";"9";"2";"71";"20";"9";"22";"0";"1012";"0";"0";""
Ancona;8/12/2021;"7";"0";"13";"5";"73";"19";"11";"24";"0";"1005";"0";"0";"pioggia "
Ancona;9/12/2021;"6";"4";"9";"4";"87";"18";"8";"15";"0";"1001";"0";"0";"pioggia "
Ancona;10/12/2021;"7";"3";"10";"3";"72";"22";"7";"15";"0";"1002";"0";"0";"pioggia "
Ancona;11/12/2021;"9";"8";"11";"5";"75";"17";"32";"44";"0";"1003";"0";"0";"pioggia "
Ancona;12/12/2021;"8";"2";"11";"2";"64";"20";"17";"33";"0";"1020";"0";"0";""
Ancona;13/12/2021;"6";"1";"11";"2";"69";"21";"6";"11";"0";"1025";"0";"0";""
Ancona;14/12/2021;"5";"1";"10";"2";"80";"20";"7";"13";"0";"1026";"0";"0";""
Ancona;15/12/2021;"7";"1";"10";"5";"83";"18";"10";"21";"0";"1028";"0";"0";""
Ancona;16/12/2021;"8";"7";"9";"5";"83";"15";"12";"24";"0";"1029";"0";"0";""
Ancona;17/12/2021;"8";"3";"11";"4";"80";"19";"9";"22";"0";"1031";"0";"0";""
Ancona;18/12/2021;"6";"1";"11";"3";"83";"14";"11";"26";"0";"1031";"0";"0";"nebbia "
Ancona;19/12/2021;"4";"0";"9";"3";"89";"14";"7";"17";"0";"1023";"0";"0";"nebbia "
Ancona;20/12/2021;"9";"1";"12";"4";"70";"19";"8";"15";"0";"1018";"0";"0";""
Ancona;21/12/2021;"9";"6";"11";"3";"65";"18";"7";"13";"0";"1022";"0";"0";""
Ancona;22/12/2021;"7";"3";"8";"5";"88";"9";"7";"15";"0";"1024";"0";"0";"pioggia "
Ancona;23/12/2021;"4";"0";"9";"3";"92";"12";"6";"13";"0";"1023";"0";"0";""
Ancona;24/12/2021;"10";"4";"15";"7";"82";"13";"10";"26";"0";"1014";"0";"0";""
Ancona;25/12/2021;"8";"7";"9";"7";"95";"3";"7";"17";"0";"1008";"0";"0";"pioggia "
Ancona;26/12/2021;"7";"5";"8";"6";"96";"4";"5";"15";"0";"1008";"0";"0";"pioggia "
Ancona;27/12/2021;"8";"6";"11";"7";"96";"5";"5";"13";"0";"1009";"0";"0";"pioggia "
Ancona;28/12/2021;"9";"8";"10";"8";"95";"6";"4";"13";"0";"1008";"0";"0";"pioggia "
Ancona;29/12/2021;"9";"7";"10";"7";"93";"5";"7";"17";"0";"1010";"0";"0";""
Ancona;30/12/2021;"6";"4";"7";"6";"99";"1";"6";"13";"0";"1019";"0";"0";"nebbia "
Ancona;31/12/2021;"5";"2";"8";"5";"99";"6";"6";"15";"0";"1025";"0";"0";"nebbia "
