LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/2/2021;"9";"7";"12";"8";"92";"19";"5";"11";"0";"1000";"0";"0";"pioggia "
Ancona;2/2/2021;"8";"4";"10";"5";"86";"12";"7";"15";"0";"1011";"0";"0";"pioggia "
Ancona;3/2/2021;"10";"3";"17";"7";"82";"12";"6";"15";"0";"1015";"0";"0";"nebbia "
Ancona;4/2/2021;"9";"7";"13";"8";"95";"8";"5";"17";"0";"1017";"0";"0";"nebbia "
Ancona;5/2/2021;"8";"4";"9";"8";"100";"1";"6";"15";"0";"1018";"0";"0";"nebbia "
Ancona;6/2/2021;"9";"8";"9";"9";"100";"2";"6";"13";"0";"1013";"0";"0";"nebbia "
Ancona;7/2/2021;"12";"9";"15";"9";"85";"13";"8";"21";"0";"1000";"0";"0";"pioggia "
Ancona;8/2/2021;"12";"8";"16";"5";"62";"21";"15";"33";"0";"996";"0";"0";""
Ancona;9/2/2021;"14";"12";"16";"6";"59";"22";"14";"31";"0";"999";"0";"0";"pioggia "
Ancona;10/2/2021;"14";"6";"19";"6";"62";"21";"13";"31";"0";"1000";"0";"0";"pioggia "
Ancona;11/2/2021;"9";"6";"12";"6";"83";"19";"14";"28";"0";"1012";"0";"0";"pioggia "
Ancona;12/2/2021;"5";"3";"7";"3";"71";"19";"10";"18";"0";"1023";"0";"0";"pioggia "
Ancona;13/2/2021;"2";"1";"4";"1";"72";"17";"20";"35";"0";"1026";"0";"0";"pioggia neve "
Ancona;14/2/2021;"4";"1";"5";"0";"48";"20";"26";"35";"0";"1034";"0";"0";"pioggia neve "
Ancona;15/2/2021;"3";"-1";"7";"0";"56";"20";"10";"21";"0";"1037";"0";"0";"nebbia "
Ancona;16/2/2021;"5";"-2";"11";"2";"69";"20";"6";"15";"0";"1028";"0";"0";""
Ancona;17/2/2021;"7";"0";"14";"5";"85";"16";"6";"18";"0";"1022";"0";"0";""
Ancona;18/2/2021;"9";"2";"14";"5";"80";"15";"6";"13";"0";"1023";"0";"0";""
Ancona;19/2/2021;"10";"3";"16";"4";"70";"19";"6";"15";"0";"1024";"0";"0";""
Ancona;20/2/2021;"10";"5";"16";"5";"71";"21";"7";"15";"0";"1026";"0";"0";""
Ancona;21/2/2021;"7";"3";"13";"5";"89";"14";"7";"17";"0";"1027";"0";"0";"nebbia "
Ancona;22/2/2021;"8";"4";"11";"7";"96";"3";"6";"15";"0";"1031";"0";"0";"nebbia "
Ancona;23/2/2021;"8";"6";"11";"8";"98";"2";"6";"13";"0";"1036";"0";"0";"pioggia nebbia "
Ancona;24/2/2021;"8";"3";"14";"6";"86";"13";"9";"21";"0";"1035";"0";"0";"pioggia nebbia "
Ancona;25/2/2021;"10";"4";"16";"4";"70";"19";"8";"13";"0";"1031";"0";"0";""
Ancona;26/2/2021;"10";"4";"16";"5";"75";"15";"7";"17";"0";"1027";"0";"0";""
Ancona;27/2/2021;"9";"4";"15";"6";"83";"13";"8";"17";"0";"1024";"0";"0";""
Ancona;28/2/2021;"8";"3";"13";"4";"77";"22";"8";"17";"0";"1030";"0";"0";""
