LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/1/2021;"6";"3";"11";"4";"83";"20";"6";"11";"0";"1010";"0";"0";"pioggia "
Ancona;2/1/2021;"9";"6";"14";"7";"85";"19";"6";"11";"0";"1006";"0";"0";""
Ancona;3/1/2021;"9";"6";"12";"7";"87";"21";"7";"21";"0";"1009";"0";"0";"pioggia "
Ancona;4/1/2021;"5";"1";"10";"5";"97";"20";"5";"9";"0";"1010";"0";"0";""
Ancona;5/1/2021;"6";"1";"10";"5";"95";"17";"7";"15";"0";"1008";"0";"0";"pioggia "
Ancona;6/1/2021;"7";"1";"11";"4";"85";"22";"10";"21";"0";"1011";"0";"0";"pioggia "
Ancona;7/1/2021;"5";"0";"8";"5";"100";"16";"7";"13";"0";"1014";"0";"0";"pioggia "
Ancona;8/1/2021;"5";"4";"6";"5";"98";"15";"11";"17";"0";"1013";"0";"0";"pioggia "
Ancona;9/1/2021;"5";"3";"6";"4";"96";"20";"7";"13";"0";"1016";"0";"0";"pioggia "
Ancona;10/1/2021;"5";"4";"7";"5";"97";"13";"11";"26";"0";"1014";"0";"0";"pioggia "
Ancona;11/1/2021;"5";"3";"7";"3";"90";"20";"15";"28";"0";"1016";"0";"0";"pioggia "
Ancona;12/1/2021;"3";"0";"6";"1";"79";"20";"10";"21";"0";"1015";"0";"0";""
Ancona;13/1/2021;"3";"-2";"8";"3";"92";"18";"7";"17";"0";"1014";"0";"0";""
Ancona;14/1/2021;;;;;;;;;;;;;
Ancona;15/1/2021;"6";"2";"9";"2";"71";"18";"7";"13";"0";"1016";"0";"0";""
Ancona;16/1/2021;"3";"-1";"8";"1";"75";"21";"10";"30";"0";"1020";"0";"0";""
Ancona;17/1/2021;"3";"-1";"7";"4";"85";"22";"7";"11";"0";"1016";"0";"0";"pioggia "
Ancona;18/1/2021;"4";"1";"8";"3";"92";"16";"7";"15";"0";"1023";"0";"0";"pioggia "
Ancona;19/1/2021;"4";"-2";"12";"3";"84";"13";"7";"18";"0";"1025";"0";"0";""
Ancona;20/1/2021;"7";"0";"15";"3";"79";"21";"6";"13";"0";"1021";"0";"0";""
Ancona;21/1/2021;"7";"2";"13";"6";"93";"21";"4";"9";"0";"1016";"0";"0";""
Ancona;22/1/2021;"15";"9";"17";"6";"57";"19";"14";"52";"0";"1005";"0";"0";"pioggia "
Ancona;23/1/2021;"12";"11";"14";"4";"57";"21";"19";"41";"0";"997";"0";"0";""
Ancona;24/1/2021;"10";"5";"13";"6";"78";"18";"13";"26";"0";"997";"0";"0";"pioggia "
Ancona;25/1/2021;"6";"3";"9";"6";"93";"19";"10";"26";"0";"1002";"0";"0";"pioggia "
Ancona;26/1/2021;"5";"0";"8";"2";"76";"21";"13";"44";"0";"1014";"0";"0";"pioggia "
Ancona;27/1/2021;"3";"-2";"9";"1";"68";"19";"6";"9";"0";"1017";"0";"0";""
Ancona;28/1/2021;"5";"-1";"12";"2";"77";"20";"6";"9";"0";"1014";"0";"0";""
Ancona;29/1/2021;"6";"1";"15";"6";"97";"15";"8";"26";"0";"1005";"0";"0";"pioggia "
Ancona;30/1/2021;"9";"0";"18";"5";"77";"14";"8";"28";"0";"1002";"0";"0";"pioggia "
Ancona;31/1/2021;"9";"7";"14";"9";"99";"15";"15";"30";"0";"995";"0";"0";"pioggia "
