LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/6/2021;"17";"10";"23";"7";"53";"19";"9";"22";"0";"1017";"0";"0";""
Ancona;2/6/2021;"20";"12";"26";"7";"47";"20";"8";"15";"0";"1018";"0";"0";""
Ancona;3/6/2021;"21";"13";"25";"12";"59";"19";"10";"18";"0";"1022";"0";"0";""
Ancona;4/6/2021;"22";"15";"28";"12";"55";"18";"8";"17";"0";"1022";"0";"0";""
Ancona;5/6/2021;"25";"17";"29";"12";"45";"19";"12";"21";"0";"1019";"0";"0";""
Ancona;6/6/2021;"24";"22";"27";"14";"56";"19";"10";"18";"0";"1016";"0";"0";""
Ancona;7/6/2021;"21";"19";"23";"17";"81";"19";"9";"18";"0";"1016";"0";"0";"pioggia "
Ancona;8/6/2021;"20";"17";"24";"18";"85";"17";"8";"17";"0";"1016";"0";"0";"pioggia "
Ancona;9/6/2021;"22";"18";"25";"17";"73";"19";"11";"22";"0";"1016";"0";"0";""
Ancona;10/6/2021;"22";"17";"26";"16";"71";"18";"11";"22";"0";"1016";"0";"0";""
Ancona;11/6/2021;"21";"16";"25";"16";"71";"20";"11";"21";"0";"1016";"0";"0";""
Ancona;12/6/2021;"23";"16";"27";"14";"62";"20";"10";"22";"0";"1017";"0";"0";""
Ancona;13/6/2021;"24";"16";"29";"14";"54";"19";"9";"18";"0";"1016";"0";"0";""
Ancona;14/6/2021;"23";"18";"26";"13";"53";"20";"10";"18";"0";"1018";"0";"0";""
Ancona;15/6/2021;"21";"14";"25";"10";"54";"21";"9";"18";"0";"1018";"0";"0";""
Ancona;16/6/2021;"21";"13";"27";"10";"51";"20";"8";"17";"0";"1016";"0";"0";""
Ancona;17/6/2021;"24";"16";"31";"11";"46";"19";"9";"18";"0";"1016";"0";"0";""
Ancona;18/6/2021;"24";"19";"31";"16";"63";"19";"8";"35";"0";"1017";"0";"0";"pioggia "
Ancona;19/6/2021;"26";"21";"29";"16";"55";"21";"8";"15";"0";"1015";"0";"0";""
Ancona;20/6/2021;"28";"20";"33";"16";"50";"21";"8";"15";"0";"1012";"0";"0";""
Ancona;21/6/2021;"28";"22";"33";"17";"53";"21";"8";"18";"0";"1009";"0";"0";""
Ancona;22/6/2021;"27";"21";"30";"19";"65";"20";"9";"24";"0";"1010";"0";"0";""
Ancona;23/6/2021;"25";"20";"29";"20";"73";"21";"9";"18";"0";"1014";"0";"0";""
Ancona;24/6/2021;"27";"23";"32";"20";"65";"22";"9";"21";"0";"1015";"0";"0";""
Ancona;25/6/2021;"26";"21";"30";"15";"52";"20";"13";"22";"0";"1014";"0";"0";""
Ancona;26/6/2021;"24";"17";"28";"17";"65";"19";"10";"22";"0";"1015";"0";"0";""
Ancona;27/6/2021;"24";"18";"28";"17";"66";"19";"9";"21";"0";"1015";"0";"0";""
Ancona;28/6/2021;"27";"19";"32";"14";"49";"20";"9";"18";"0";"1014";"0";"0";""
Ancona;29/6/2021;"28";"20";"34";"16";"49";"19";"10";"22";"0";"1011";"0";"0";""
Ancona;30/6/2021;"28";"22";"34";"12";"39";"20";"15";"30";"0";"1010";"0";"0";""
