LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/7/2021;"25";"20";"29";"12";"44";"21";"13";"30";"0";"1011";"0";"0";""
Ancona;2/7/2021;"24";"19";"28";"16";"60";"21";"9";"22";"0";"1013";"0";"0";""
Ancona;3/7/2021;"25";"18";"31";"15";"58";"21";"8";"18";"0";"1014";"0";"0";""
Ancona;4/7/2021;"25";"21";"29";"16";"58";"20";"10";"21";"0";"1010";"0";"0";"pioggia "
Ancona;5/7/2021;"24";"21";"27";"18";"72";"21";"14";"26";"0";"1011";"0";"0";""
Ancona;6/7/2021;"25";"18";"31";"17";"62";"19";"9";"21";"0";"1013";"0";"0";""
Ancona;7/7/2021;"29";"20";"36";"15";"47";"22";"10";"21";"0";"1013";"0";"0";""
Ancona;8/7/2021;"29";"22";"34";"16";"47";"20";"9";"33";"0";"1014";"0";"0";""
Ancona;9/7/2021;"26";"21";"29";"15";"53";"21";"12";"21";"0";"1016";"0";"0";""
Ancona;10/7/2021;"24";"18";"28";"16";"61";"21";"13";"28";"0";"1014";"0";"0";""
Ancona;11/7/2021;"25";"18";"29";"16";"60";"20";"10";"21";"0";"1012";"0";"0";""
Ancona;12/7/2021;"27";"20";"32";"16";"52";"19";"10";"22";"0";"1012";"0";"0";""
Ancona;13/7/2021;"27";"21";"32";"19";"64";"20";"9";"26";"0";"1007";"0";"0";""
Ancona;14/7/2021;"25";"21";"30";"13";"49";"20";"15";"24";"0";"1011";"0";"0";"pioggia "
Ancona;15/7/2021;"24";"18";"27";"13";"54";"21";"11";"21";"0";"1013";"0";"0";""
Ancona;16/7/2021;"23";"19";"26";"17";"71";"20";"14";"26";"0";"1012";"0";"0";"pioggia "
Ancona;17/7/2021;"23";"20";"27";"18";"78";"19";"16";"37";"0";"1009";"0";"0";"pioggia "
Ancona;18/7/2021;"25";"22";"28";"20";"70";"21";"18";"28";"0";"1008";"0";"0";"pioggia "
Ancona;19/7/2021;"25";"22";"29";"19";"68";"21";"12";"24";"0";"1011";"0";"0";""
Ancona;20/7/2021;"24";"19";"28";"17";"67";"19";"8";"15";"0";"1014";"0";"0";""
Ancona;21/7/2021;"25";"19";"31";"16";"58";"21";"9";"21";"0";"1016";"0";"0";""
Ancona;22/7/2021;"26";"19";"30";"13";"50";"21";"9";"18";"0";"1017";"0";"0";""
Ancona;23/7/2021;"25";"19";"29";"15";"56";"19";"9";"18";"0";"1014";"0";"0";""
Ancona;24/7/2021;"28";"20";"34";"17";"54";"20";"10";"18";"0";"1012";"0";"0";""
Ancona;25/7/2021;"28";"24";"33";"20";"62";"19";"7";"15";"0";"1010";"0";"0";"pioggia "
Ancona;26/7/2021;"29";"24";"34";"15";"44";"20";"8";"26";"0";"1012";"0";"0";"pioggia "
Ancona;27/7/2021;"29";"24";"35";"14";"43";"23";"8";"17";"0";"1015";"0";"0";"pioggia "
Ancona;28/7/2021;"29";"19";"36";"12";"40";"20";"10";"26";"0";"1013";"0";"0";""
Ancona;29/7/2021;"28";"23";"31";"15";"47";"20";"9";"21";"0";"1012";"0";"0";""
Ancona;30/7/2021;"28";"21";"33";"16";"50";"20";"9";"21";"0";"1011";"0";"0";""
Ancona;31/7/2021;"29";"22";"35";"16";"47";"21";"10";"24";"0";"1008";"0";"0";""
