LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/5/2021;"17";"14";"21";"15";"87";"21";"8";"24";"0";"1008";"0";"0";"pioggia "
Ancona;2/5/2021;"19";"13";"23";"9";"51";"21";"16";"28";"0";"1011";"0";"0";""
Ancona;3/5/2021;"14";"9";"18";"7";"65";"21";"12";"24";"0";"1019";"0";"0";""
Ancona;4/5/2021;"15";"9";"22";"8";"67";"21";"10";"26";"0";"1017";"0";"0";""
Ancona;5/5/2021;"18";"13";"23";"7";"51";"19";"19";"33";"0";"1010";"0";"0";""
Ancona;6/5/2021;"20";"15";"26";"8";"48";"22";"18";"30";"0";"1012";"0";"0";""
Ancona;7/5/2021;"20";"13";"25";"9";"49";"20";"16";"31";"0";"1010";"0";"0";""
Ancona;8/5/2021;"16";"12";"18";"9";"63";"20";"10";"18";"0";"1018";"0";"0";""
Ancona;9/5/2021;"16";"9";"23";"6";"57";"20";"8";"21";"0";"1019";"0";"0";""
Ancona;10/5/2021;"19";"12";"26";"11";"61";"20";"7";"18";"0";"1016";"0";"0";""
Ancona;11/5/2021;"19";"13";"26";"13";"71";"20";"9";"30";"0";"1011";"0";"0";"pioggia "
Ancona;12/5/2021;"18";"14";"22";"8";"52";"20";"15";"30";"0";"1008";"0";"0";""
Ancona;13/5/2021;"18";"13";"22";"7";"50";"20";"15";"31";"0";"1006";"0";"0";"pioggia "
Ancona;14/5/2021;"17";"10";"22";"8";"59";"21";"15";"24";"0";"1009";"0";"0";"pioggia "
Ancona;15/5/2021;"16";"12";"20";"10";"72";"19";"12";"26";"0";"1010";"0";"0";"pioggia "
Ancona;16/5/2021;"17";"12";"20";"11";"68";"19";"8";"18";"0";"1009";"0";"0";"pioggia "
Ancona;17/5/2021;"19";"14";"24";"10";"59";"21";"15";"41";"0";"1007";"0";"0";"pioggia "
Ancona;18/5/2021;"19";"11";"25";"6";"45";"21";"12";"26";"0";"1012";"0";"0";""
Ancona;19/5/2021;"16";"12";"18";"9";"64";"20";"19";"33";"0";"1013";"0";"0";"pioggia "
Ancona;20/5/2021;"15";"8";"20";"8";"66";"21";"10";"22";"0";"1018";"0";"0";""
Ancona;21/5/2021;"19";"8";"26";"5";"45";"20";"13";"26";"0";"1018";"0";"0";""
Ancona;22/5/2021;"20";"16";"22";"7";"39";"20";"8";"18";"0";"1014";"0";"0";""
Ancona;23/5/2021;"20";"14";"25";"12";"61";"20";"8";"15";"0";"1015";"0";"0";""
Ancona;24/5/2021;"19";"17";"21";"17";"87";"18";"8";"17";"0";"1015";"0";"0";"pioggia "
Ancona;25/5/2021;"20";"15";"26";"11";"62";"20";"11";"26";"0";"1017";"0";"0";""
Ancona;26/5/2021;"17";"9";"21";"10";"67";"21";"9";"21";"0";"1017";"0";"0";""
Ancona;27/5/2021;"18";"12";"23";"11";"65";"21";"8";"17";"0";"1014";"0";"0";""
Ancona;28/5/2021;"18";"14";"21";"11";"67";"19";"10";"17";"0";"1018";"0";"0";""
Ancona;29/5/2021;"18";"11";"24";"11";"64";"19";"11";"22";"0";"1017";"0";"0";"pioggia "
Ancona;30/5/2021;"19";"15";"21";"11";"62";"20";"11";"21";"0";"1018";"0";"0";""
Ancona;31/5/2021;"16";"10";"20";"8";"61";"18";"11";"21";"0";"1019";"0";"0";""
