LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/3/2021;"6";"1";"11";"3";"75";"20";"11";"24";"0";"1030";"0";"0";"pioggia "
Ancona;2/3/2021;"7";"1";"13";"5";"77";"17";"8";"18";"0";"1033";"0";"0";"pioggia "
Ancona;3/3/2021;"7";"1";"14";"2";"76";"13";"8";"15";"0";"1032";"0";"0";""
Ancona;4/3/2021;"10";"1";"18";"2";"61";"20";"8";"13";"0";"1022";"0";"0";""
Ancona;5/3/2021;"12";"6";"16";"3";"57";"20";"8";"15";"0";"1017";"0";"0";""
Ancona;6/3/2021;"8";"2";"11";"5";"74";"20";"9";"17";"0";"1026";"0";"0";"pioggia "
Ancona;7/3/2021;"5";"0";"10";"1";"73";"20";"8";"17";"0";"1024";"0";"0";""
Ancona;8/3/2021;"7";"2";"10";"5";"83";"19";"5";"11";"0";"1017";"0";"0";""
Ancona;9/3/2021;"8";"7";"9";"7";"92";"18";"4";"8";"0";"1014";"0";"0";"pioggia "
Ancona;10/3/2021;"8";"3";"12";"4";"76";"21";"12";"26";"0";"1017";"0";"0";""
Ancona;11/3/2021;"9";"0";"16";"2";"59";"21";"10";"22";"0";"1020";"0";"0";""
Ancona;12/3/2021;"14";"9";"17";"7";"65";"20";"10";"31";"0";"1014";"0";"0";"pioggia "
Ancona;13/3/2021;"14";"9";"19";"6";"60";"20";"12";"26";"0";"1013";"0";"0";""
Ancona;14/3/2021;"11";"6";"16";"4";"65";"19";"21";"42";"0";"1008";"0";"0";"pioggia "
Ancona;15/3/2021;"8";"3";"11";"2";"66";"20";"12";"30";"0";"1010";"0";"0";""
Ancona;16/3/2021;"8";"1";"13";"5";"77";"19";"11";"28";"0";"1013";"0";"0";""
Ancona;17/3/2021;"7";"1";"13";"2";"62";"19";"8";"18";"0";"1016";"0";"0";""
Ancona;18/3/2021;"5";"1";"9";"2";"80";"21";"9";"24";"0";"1017";"0";"0";"pioggia neve "
Ancona;19/3/2021;"5";"1";"10";"2";"71";"20";"8";"17";"0";"1015";"0";"0";"pioggia "
Ancona;20/3/2021;"7";"0";"11";"1";"57";"20";"13";"21";"0";"1016";"0";"0";""
Ancona;21/3/2021;"7";"3";"9";"1";"56";"19";"20";"31";"0";"1012";"0";"0";"pioggia "
Ancona;22/3/2021;"10";"8";"12";"1";"49";"20";"27";"41";"0";"1012";"0";"0";""
Ancona;23/3/2021;"8";"3";"12";"1";"49";"18";"25";"39";"0";"1021";"0";"0";""
Ancona;24/3/2021;"7";"1";"13";"1";"58";"21";"8";"13";"0";"1023";"0";"0";""
Ancona;25/3/2021;"8";"2";"15";"3";"66";"22";"9";"18";"0";"1022";"0";"0";""
Ancona;26/3/2021;"14";"9";"17";"6";"59";"22";"9";"15";"0";"1024";"0";"0";""
Ancona;27/3/2021;"13";"7";"17";"7";"66";"20";"8";"13";"0";"1025";"0";"0";""
Ancona;28/3/2021;"13";"8";"17";"8";"69";"19";"9";"21";"0";"1030";"0";"0";""
Ancona;29/3/2021;"12";"6";"17";"8";"79";"19";"7";"13";"0";"1032";"0";"0";""
Ancona;30/3/2021;"12";"7";"18";"8";"74";"19";"7";"15";"0";"1030";"0";"0";""
Ancona;31/3/2021;"13";"7";"19";"8";"72";"20";"8";"15";"0";"1025";"0";"0";""
