LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/11/2021;"16";"13";"18";"14";"89";"14";"9";"18";"0";"1006";"0";"0";"pioggia "
Ancona;2/11/2021;"14";"10";"21";"10";"77";"20";"11";"28";"0";"1004";"0";"0";""
Ancona;3/11/2021;"14";"10";"18";"10";"76";"20";"6";"13";"0";"1004";"0";"0";"pioggia "
Ancona;4/11/2021;"16";"11";"19";"8";"61";"20";"15";"33";"0";"1006";"0";"0";"pioggia "
Ancona;5/11/2021;"12";"9";"15";"9";"82";"21";"10";"22";"0";"1017";"0";"0";"pioggia "
Ancona;6/11/2021;"13";"11";"16";"10";"85";"15";"10";"17";"0";"1022";"0";"0";"pioggia "
Ancona;7/11/2021;"11";"11";"12";"10";"95";"13";"7";"13";"0";"1019";"0";"0";"pioggia "
Ancona;8/11/2021;"13";"12";"14";"13";"97";"5";"16";"24";"0";"1015";"0";"0";"pioggia "
Ancona;9/11/2021;"12";"11";"14";"11";"96";"12";"8";"18";"0";"1023";"0";"0";"pioggia "
Ancona;10/11/2021;"13";"12";"14";"10";"86";"18";"6";"13";"0";"1026";"0";"0";""
Ancona;11/11/2021;"13";"10";"14";"11";"87";"13";"6";"13";"0";"1023";"0";"0";""
Ancona;12/11/2021;"13";"12";"15";"12";"90";"5";"4";"11";"0";"1019";"0";"0";""
Ancona;13/11/2021;"12";"9";"15";"11";"96";"6";"5";"11";"0";"1017";"0";"0";"nebbia "
Ancona;14/11/2021;"12";"8";"17";"11";"94";"11";"5";"9";"0";"1014";"0";"0";"nebbia "
Ancona;15/11/2021;"13";"10";"16";"12";"93";"11";"7";"15";"0";"1017";"0";"0";"pioggia nebbia "
Ancona;16/11/2021;"13";"11";"16";"12";"94";"10";"12";"24";"0";"1016";"0";"0";"pioggia "
Ancona;17/11/2021;"12";"10";"13";"10";"89";"13";"9";"17";"0";"1018";"0";"0";"pioggia "
Ancona;18/11/2021;"12";"11";"14";"11";"91";"6";"10";"21";"0";"1024";"0";"0";"pioggia "
Ancona;19/11/2021;"11";"7";"13";"10";"92";"8";"8";"21";"0";"1028";"0";"0";""
Ancona;20/11/2021;"9";"6";"12";"8";"94";"7";"5";"9";"0";"1024";"0";"0";""
Ancona;21/11/2021;"10";"8";"12";"9";"95";"11";"5";"11";"0";"1014";"0";"0";""
Ancona;22/11/2021;"10";"8";"13";"9";"94";"11";"9";"24";"0";"1011";"0";"0";"pioggia "
Ancona;23/11/2021;"12";"9";"15";"9";"82";"19";"11";"24";"0";"1019";"0";"0";"pioggia "
Ancona;24/11/2021;"10";"8";"11";"7";"81";"19";"7";"13";"0";"1021";"0";"0";""
Ancona;25/11/2021;"10";"9";"12";"9";"92";"13";"5";"18";"0";"1010";"0";"0";"pioggia "
Ancona;26/11/2021;"9";"7";"12";"7";"87";"20";"8";"13";"0";"997";"0";"0";"pioggia "
Ancona;27/11/2021;"12";"7";"15";"6";"65";"21";"11";"30";"0";"996";"0";"0";"pioggia "
Ancona;28/11/2021;"10";"4";"13";"4";"69";"20";"12";"22";"0";"994";"0";"0";"pioggia "
Ancona;29/11/2021;"7";"6";"10";"3";"70";"21";"19";"39";"0";"999";"0";"0";"pioggia "
Ancona;30/11/2021;"8";"3";"10";"1";"51";"19";"15";"28";"0";"1015";"0";"0";""
