LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/10/2021;"18";"14";"21";"13";"73";"19";"9";"17";"0";"1022";"0";"0";""
Ancona;2/10/2021;"18";"12";"22";"14";"78";"19";"7";"17";"0";"1019";"0";"0";""
Ancona;3/10/2021;"20";"14";"25";"16";"80";"20";"9";"17";"0";"1018";"0";"0";""
Ancona;4/10/2021;"22";"15";"26";"17";"76";"22";"10";"18";"0";"1018";"0";"0";""
Ancona;5/10/2021;"22";"18";"26";"13";"60";"20";"14";"39";"0";"1015";"0";"0";"pioggia "
Ancona;6/10/2021;"18";"15";"22";"13";"72";"21";"10";"17";"0";"1013";"0";"0";"pioggia "
Ancona;7/10/2021;"16";"14";"18";"13";"82";"18";"32";"42";"0";"1009";"0";"0";"pioggia "
Ancona;8/10/2021;"18";"17";"19";"12";"67";"19";"23";"30";"0";"1015";"0";"0";"pioggia "
Ancona;9/10/2021;"17";"15";"18";"9";"61";"21";"19";"26";"0";"1019";"0";"0";""
Ancona;10/10/2021;"12";"10";"14";"9";"80";"23";"17";"35";"0";"1018";"0";"0";"pioggia "
Ancona;11/10/2021;"14";"12";"15";"9";"72";"21";"25";"39";"0";"1016";"0";"0";"nebbia "
Ancona;12/10/2021;"13";"10";"17";"9";"76";"20";"6";"17";"0";"1016";"0";"0";""
Ancona;13/10/2021;"12";"8";"18";"9";"81";"19";"9";"28";"0";"1016";"0";"0";"pioggia "
Ancona;14/10/2021;"11";"6";"15";"5";"70";"20";"15";"30";"0";"1022";"0";"0";""
Ancona;15/10/2021;"15";"12";"16";"5";"53";"20";"25";"31";"0";"1018";"0";"0";""
Ancona;16/10/2021;"14";"10";"17";"9";"72";"20";"13";"28";"0";"1017";"0";"0";""
Ancona;17/10/2021;"13";"10";"17";"9";"78";"18";"8";"18";"0";"1020";"0";"0";""
Ancona;18/10/2021;"12";"7";"17";"9";"85";"19";"7";"13";"0";"1024";"0";"0";""
Ancona;19/10/2021;"13";"7";"18";"9";"79";"18";"7";"15";"0";"1028";"0";"0";""
Ancona;20/10/2021;"13";"8";"19";"10";"80";"12";"8";"15";"0";"1025";"0";"0";""
Ancona;21/10/2021;"17";"10";"22";"10";"62";"19";"9";"21";"0";"1016";"0";"0";""
Ancona;22/10/2021;"16";"15";"17";"14";"88";"17";"5";"9";"0";"1016";"0";"0";"pioggia "
Ancona;23/10/2021;"16";"14";"17";"14";"92";"10";"8";"17";"0";"1021";"0";"0";""
Ancona;24/10/2021;"13";"9";"17";"9";"82";"19";"7";"15";"0";"1026";"0";"0";""
Ancona;25/10/2021;"11";"6";"16";"9";"88";"20";"8";"18";"0";"1023";"0";"0";""
Ancona;26/10/2021;"13";"11";"14";"11";"90";"14";"5";"9";"0";"1022";"0";"0";"pioggia "
Ancona;27/10/2021;"13";"10";"17";"10";"80";"20";"11";"28";"0";"1024";"0";"0";""
Ancona;28/10/2021;"12";"8";"16";"9";"85";"18";"8";"17";"0";"1022";"0";"0";""
Ancona;29/10/2021;"12";"6";"16";"10";"90";"10";"7";"13";"0";"1019";"0";"0";"nebbia "
Ancona;30/10/2021;"11";"7";"16";"10";"90";"9";"6";"15";"0";"1018";"0";"0";""
Ancona;31/10/2021;"13";"8";"16";"11";"91";"5";"5";"9";"0";"1017";"0";"0";""
