LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Ancona;1/9/2021;"21";"16";"25";"17";"77";"21";"10";"21";"0";"1020";"0";"0";""
Ancona;2/9/2021;"21";"15";"25";"14";"66";"22";"9";"18";"0";"1023";"0";"0";""
Ancona;3/9/2021;"20";"15";"25";"14";"69";"18";"9";"18";"0";"1019";"0";"0";""
Ancona;4/9/2021;"21";"15";"25";"15";"72";"22";"8";"17";"0";"1015";"0";"0";""
Ancona;5/9/2021;"21";"17";"25";"16";"72";"19";"9";"22";"0";"1017";"0";"0";""
Ancona;6/9/2021;"22";"17";"26";"16";"68";"18";"12";"22";"0";"1020";"0";"0";""
Ancona;7/9/2021;"22";"17";"25";"15";"69";"18";"11";"21";"0";"1021";"0";"0";""
Ancona;8/9/2021;"21";"16";"25";"15";"71";"20";"10";"21";"0";"1019";"0";"0";""
Ancona;9/9/2021;"20";"15";"25";"15";"74";"19";"9";"17";"0";"1017";"0";"0";""
Ancona;10/9/2021;"22";"16";"25";"16";"73";"20";"9";"21";"0";"1016";"0";"0";""
Ancona;11/9/2021;"21";"16";"25";"17";"78";"21";"8";"15";"0";"1016";"0";"0";""
Ancona;12/9/2021;"20";"16";"25";"16";"81";"16";"8";"18";"0";"1015";"0";"0";""
Ancona;13/9/2021;"20";"14";"27";"12";"64";"19";"8";"17";"0";"1016";"0";"0";""
Ancona;14/9/2021;"22";"14";"30";"11";"53";"22";"8";"17";"0";"1016";"0";"0";""
Ancona;15/9/2021;"24";"16";"31";"13";"50";"19";"8";"21";"0";"1017";"0";"0";"pioggia "
Ancona;16/9/2021;"24";"22";"27";"14";"52";"20";"6";"13";"0";"1016";"0";"0";"pioggia "
Ancona;17/9/2021;"23";"18";"29";"18";"73";"18";"10";"26";"0";"1011";"0";"0";"pioggia "
Ancona;18/9/2021;"22";"17";"27";"17";"75";"21";"7";"18";"0";"1012";"0";"0";""
Ancona;19/9/2021;"23";"19";"30";"16";"69";"20";"10";"17";"0";"1011";"0";"0";"pioggia "
Ancona;20/9/2021;"20";"15";"23";"15";"76";"20";"9";"21";"0";"1013";"0";"0";""
Ancona;21/9/2021;"19";"16";"23";"14";"74";"19";"10";"18";"0";"1021";"0";"0";"pioggia "
Ancona;22/9/2021;"17";"12";"22";"11";"66";"21";"7";"13";"0";"1023";"0";"0";""
Ancona;23/9/2021;"17";"12";"22";"10";"65";"19";"8";"15";"0";"1022";"0";"0";""
Ancona;24/9/2021;"19";"11";"25";"11";"64";"20";"8";"18";"0";"1018";"0";"0";""
Ancona;25/9/2021;"21";"15";"25";"15";"73";"20";"8";"18";"0";"1020";"0";"0";""
Ancona;26/9/2021;"22";"16";"29";"17";"74";"22";"7";"17";"0";"1019";"0";"0";""
Ancona;27/9/2021;"19";"17";"21";"18";"92";"16";"8";"17";"0";"1017";"0";"0";"pioggia "
Ancona;28/9/2021;"20";"18";"23";"18";"88";"8";"9";"18";"0";"1019";"0";"0";""
Ancona;29/9/2021;"20";"16";"24";"16";"82";"19";"7";"15";"0";"1017";"0";"0";""
Ancona;30/9/2021;"19";"16";"24";"15";"80";"20";"9";"21";"0";"1021";"0";"0";""
