LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/8/2021;"27";"22";"32";"16";"55";"20";"13";"33";"0";"1005";"0";"0";"pioggia temporale "
Bologna;2/8/2021;"24";"19";"30";"14";"55";"21";"8";"15";"0";"1011";"0";"0";"pioggia "
Bologna;3/8/2021;"24";"16";"30";"13";"52";"19";"7";"11";"0";"1014";"0";"0";""
Bologna;4/8/2021;"25";"21";"28";"14";"51";"21";"8";"21";"0";"1011";"0";"0";"pioggia "
Bologna;5/8/2021;"25";"20";"31";"16";"61";"20";"14";"28";"0";"1006";"0";"0";""
Bologna;6/8/2021;"27";"19";"33";"14";"47";"19";"11";"22";"0";"1007";"0";"0";""
Bologna;7/8/2021;"28";"19";"34";"15";"48";"19";"13";"30";"0";"1008";"0";"0";""
Bologna;8/8/2021;"29";"22";"35";"12";"38";"21";"13";"28";"0";"1010";"0";"0";""
Bologna;9/8/2021;"27";"18";"34";"11";"38";"20";"9";"21";"0";"1016";"0";"0";""
Bologna;10/8/2021;"27";"20";"34";"14";"47";"22";"8";"15";"0";"1017";"0";"0";""
Bologna;11/8/2021;"29";"22";"35";"16";"50";"20";"7";"11";"0";"1016";"0";"0";""
Bologna;12/8/2021;"29";"21";"36";"16";"47";"19";"10";"18";"0";"1018";"0";"0";""
Bologna;13/8/2021;"30";"24";"36";"17";"50";"22";"8";"17";"0";"1020";"0";"0";""
Bologna;14/8/2021;"31";"23";"38";"16";"44";"21";"12";"21";"0";"1018";"0";"0";""
Bologna;15/8/2021;"31";"24";"38";"17";"44";"21";"8";"17";"0";"1014";"0";"0";""
Bologna;16/8/2021;"30";"23";"36";"16";"45";"19";"10";"24";"0";"1009";"0";"0";""
Bologna;17/8/2021;"26";"21";"31";"14";"50";"20";"12";"22";"0";"1011";"0";"0";""
Bologna;18/8/2021;"24";"18";"30";"14";"55";"19";"9";"15";"0";"1014";"0";"0";""
Bologna;19/8/2021;"24";"18";"31";"12";"47";"20";"10";"18";"0";"1014";"0";"0";""
Bologna;20/8/2021;"26";"19";"32";"13";"47";"22";"10";"18";"0";"1015";"0";"0";""
Bologna;21/8/2021;"27";"20";"34";"13";"45";"19";"9";"21";"0";"1017";"0";"0";""
Bologna;22/8/2021;"29";"22";"35";"15";"44";"19";"10";"18";"0";"1015";"0";"0";""
Bologna;23/8/2021;"23";"19";"26";"18";"75";"18";"7";"15";"0";"1014";"0";"0";"pioggia temporale "
Bologna;24/8/2021;"23";"17";"29";"15";"67";"20";"8";"21";"0";"1015";"0";"0";"nebbia "
Bologna;25/8/2021;"22";"17";"28";"14";"62";"19";"9";"17";"0";"1014";"0";"0";""
Bologna;26/8/2021;"23";"17";"30";"13";"56";"22";"8";"13";"0";"1009";"0";"0";""
Bologna;27/8/2021;"20";"18";"23";"15";"72";"18";"16";"26";"0";"1009";"0";"0";"pioggia "
Bologna;28/8/2021;"20";"15";"25";"11";"62";"19";"7";"13";"0";"1012";"0";"0";""
Bologna;29/8/2021;"21";"14";"26";"9";"51";"22";"9";"17";"0";"1012";"0";"0";""
Bologna;30/8/2021;"21";"13";"28";"10";"53";"21";"9";"22";"0";"1012";"0";"0";""
Bologna;31/8/2021;"21";"14";"26";"14";"67";"20";"8";"24";"0";"1016";"0";"0";""
