LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/4/2021;"19";"11";"26";"6";"43";"21";"10";"18";"0";"1017";"0";"0";""
Bologna;2/4/2021;"19";"11";"25";"4";"39";"19";"13";"22";"0";"1012";"0";"0";""
Bologna;3/4/2021;"13";"9";"18";"5";"59";"20";"16";"33";"0";"1011";"0";"0";""
Bologna;4/4/2021;"9";"3";"15";"3";"61";"19";"13";"26";"0";"1018";"0";"0";""
Bologna;5/4/2021;"10";"0";"18";"4";"51";"21";"8";"18";"0";"1013";"0";"0";""
Bologna;6/4/2021;"7";"2";"11";"3";"79";"18";"14";"33";"0";"1004";"0";"0";"pioggia "
Bologna;7/4/2021;"5";"-1";"11";"1";"65";"20";"11";"31";"0";"1015";"0";"0";""
Bologna;8/4/2021;"9";"2";"16";"0";"35";"21";"11";"18";"0";"1024";"0";"0";""
Bologna;9/4/2021;"11";"3";"17";"2";"56";"20";"9";"21";"0";"1025";"0";"0";""
Bologna;10/4/2021;"12";"7";"15";"6";"62";"19";"8";"17";"0";"1022";"0";"0";"pioggia "
Bologna;11/4/2021;"11";"10";"14";"10";"94";"10";"13";"26";"0";"1018";"0";"0";"pioggia "
Bologna;12/4/2021;"12";"10";"17";"11";"96";"6";"10";"17";"0";"1015";"0";"0";"pioggia nebbia "
Bologna;13/4/2021;"8";"6";"11";"6";"88";"15";"11";"18";"0";"1019";"0";"0";"pioggia "
Bologna;14/4/2021;"8";"3";"13";"2";"68";"20";"11";"26";"0";"1022";"0";"0";""
Bologna;15/4/2021;"7";"2";"12";"3";"73";"20";"10";"24";"0";"1021";"0";"0";"pioggia "
Bologna;16/4/2021;"8";"2";"14";"2";"66";"20";"11";"24";"0";"1019";"0";"0";""
Bologna;17/4/2021;"8";"2";"15";"2";"61";"19";"10";"17";"0";"1016";"0";"0";""
Bologna;18/4/2021;"10";"4";"14";"3";"65";"19";"8";"17";"0";"1016";"0";"0";"pioggia "
Bologna;19/4/2021;"10";"5";"16";"5";"70";"21";"8";"22";"0";"1016";"0";"0";"pioggia "
Bologna;20/4/2021;"13";"6";"19";"4";"56";"21";"11";"21";"0";"1015";"0";"0";""
Bologna;21/4/2021;"13";"6";"19";"5";"61";"21";"10";"24";"0";"1017";"0";"0";""
Bologna;22/4/2021;"13";"9";"17";"9";"79";"15";"6";"17";"0";"1019";"0";"0";"pioggia temporale "
Bologna;23/4/2021;"13";"6";"19";"8";"70";"21";"9";"17";"0";"1022";"0";"0";""
Bologna;24/4/2021;"15";"8";"22";"5";"55";"20";"11";"17";"0";"1021";"0";"0";""
Bologna;25/4/2021;"17";"9";"23";"6";"52";"20";"8";"17";"0";"1016";"0";"0";""
Bologna;26/4/2021;"13";"9";"17";"9";"74";"20";"8";"15";"0";"1013";"0";"0";"pioggia "
Bologna;27/4/2021;"12";"11";"14";"11";"90";"13";"9";"13";"0";"1009";"0";"0";"pioggia "
Bologna;28/4/2021;"14";"11";"17";"11";"83";"16";"6";"15";"0";"1008";"0";"0";""
Bologna;29/4/2021;"15";"10";"19";"13";"90";"13";"6";"15";"0";"1009";"0";"0";"pioggia nebbia "
Bologna;30/4/2021;"17";"9";"23";"12";"76";"20";"7";"15";"0";"1010";"0";"0";"pioggia nebbia "
