LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/12/2021;"5";"1";"11";"3";"75";"19";"5";"9";"0";"1011";"0";"0";""
Bologna;2/12/2021;"6";"5";"7";"5";"96";"7";"7";"13";"0";"1001";"0";"0";"pioggia "
Bologna;3/12/2021;"6";"4";"9";"5";"92";"13";"8";"15";"0";"1010";"0";"0";"pioggia "
Bologna;4/12/2021;"4";"1";"6";"3";"89";"18";"6";"13";"0";"1010";"0";"0";"pioggia "
Bologna;5/12/2021;"5";"2";"8";"3";"88";"16";"7";"13";"0";"1003";"0";"0";"pioggia "
Bologna;6/12/2021;"3";"1";"9";"2";"86";"16";"11";"18";"0";"1009";"0";"0";""
Bologna;7/12/2021;"2";"-2";"9";"0";"73";"20";"8";"13";"0";"1013";"0";"0";""
Bologna;8/12/2021;"2";"-1";"3";"2";"92";"10";"9";"18";"0";"1004";"0";"0";"pioggia "
Bologna;9/12/2021;"4";"1";"6";"2";"91";"10";"9";"18";"0";"1002";"0";"0";"pioggia "
Bologna;10/12/2021;"2";"0";"5";"2";"94";"10";"9";"15";"0";"1002";"0";"0";"pioggia "
Bologna;11/12/2021;"5";"2";"9";"1";"77";"17";"14";"22";"0";"1008";"0";"0";"pioggia "
Bologna;12/12/2021;"4";"-1";"10";"0";"67";"19";"9";"17";"0";"1021";"0";"0";""
Bologna;13/12/2021;"5";"1";"10";"0";"64";"19";"6";"13";"0";"1025";"0";"0";""
Bologna;14/12/2021;"4";"0";"10";"2";"80";"19";"5";"9";"0";"1026";"0";"0";""
Bologna;15/12/2021;"3";"0";"8";"2";"90";"12";"5";"13";"0";"1029";"0";"0";""
Bologna;16/12/2021;"3";"-1";"8";"2";"89";"4";"7";"11";"0";"1031";"0";"0";"nebbia "
Bologna;17/12/2021;"5";"-2";"10";"3";"83";"11";"8";"17";"0";"1031";"0";"0";"nebbia "
Bologna;18/12/2021;"-1";"-3";"1";"1";"99";"0";"8";"13";"0";"1032";"0";"0";"nebbia "
Bologna;19/12/2021;"3";"-3";"9";"3";"88";"10";"7";"15";"0";"1023";"0";"0";"nebbia "
Bologna;20/12/2021;"2";"-1";"5";"2";"93";"5";"8";"15";"0";"1018";"0";"0";"nebbia "
Bologna;21/12/2021;"5";"3";"7";"3";"87";"5";"9";"13";"0";"1023";"0";"0";""
Bologna;22/12/2021;"5";"2";"7";"3";"90";"6";"6";"11";"0";"1025";"0";"0";"pioggia "
Bologna;23/12/2021;"3";"1";"5";"2";"92";"7";"7";"11";"0";"1023";"0";"0";""
Bologna;24/12/2021;"4";"2";"6";"2";"87";"8";"5";"11";"0";"1014";"0";"0";""
Bologna;25/12/2021;"5";"2";"6";"3";"91";"3";"5";"11";"0";"1009";"0";"0";"pioggia "
Bologna;26/12/2021;"6";"4";"7";"5";"96";"3";"4";"8";"0";"1008";"0";"0";"pioggia "
Bologna;27/12/2021;"7";"6";"8";"7";"95";"3";"5";"9";"0";"1009";"0";"0";"pioggia "
Bologna;28/12/2021;"8";"6";"9";"7";"94";"9";"6";"11";"0";"1009";"0";"0";"pioggia nebbia "
Bologna;29/12/2021;"5";"1";"6";"5";"100";"3";"4";"8";"0";"1010";"0";"0";"nebbia "
Bologna;30/12/2021;"5";"4";"5";"5";"100";"0";"6";"11";"0";"1020";"0";"0";"nebbia "
Bologna;31/12/2021;"3";"0";"6";"3";"100";"1";"5";"11";"0";"1025";"0";"0";"nebbia "
