LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/2/2021;"5";"2";"7";"3";"90";"17";"4";"9";"0";"1000";"0";"0";""
Bologna;2/2/2021;"5";"0";"10";"4";"93";"12";"6";"9";"0";"1011";"0";"0";"nebbia "
Bologna;3/2/2021;"6";"3";"8";"5";"94";"2";"5";"11";"0";"1014";"0";"0";"nebbia "
Bologna;4/2/2021;"8";"4";"11";"6";"91";"7";"8";"15";"0";"1017";"0";"0";"nebbia "
Bologna;5/2/2021;"9";"7";"10";"8";"94";"3";"4";"8";"0";"1018";"0";"0";"nebbia "
Bologna;6/2/2021;"9";"8";"10";"8";"97";"3";"4";"9";"0";"1014";"0";"0";"nebbia "
Bologna;7/2/2021;"9";"8";"11";"9";"96";"4";"12";"35";"0";"999";"0";"0";"pioggia nebbia "
Bologna;8/2/2021;"9";"4";"14";"5";"79";"15";"8";"13";"0";"994";"0";"0";"nebbia "
Bologna;9/2/2021;"9";"7";"12";"8";"91";"12";"8";"15";"0";"999";"0";"0";"pioggia "
Bologna;10/2/2021;"10";"8";"13";"7";"85";"19";"11";"26";"0";"999";"0";"0";"pioggia "
Bologna;11/2/2021;"8";"4";"13";"5";"81";"19";"13";"28";"0";"1011";"0";"0";""
Bologna;12/2/2021;"4";"0";"7";"1";"64";"20";"19";"28";"0";"1023";"0";"0";"neve "
Bologna;13/2/2021;"0";"-4";"2";"0";"67";"15";"15";"26";"0";"1029";"0";"0";"neve "
Bologna;14/2/2021;"-1";"-5";"6";"0";"60";"21";"10";"15";"0";"1037";"0";"0";""
Bologna;15/2/2021;"2";"-3";"8";"0";"44";"20";"9";"18";"0";"1037";"0";"0";""
Bologna;16/2/2021;"5";"-1";"11";"3";"62";"22";"8";"15";"0";"1027";"0";"0";""
Bologna;17/2/2021;"6";"0";"13";"4";"80";"19";"7";"17";"0";"1022";"0";"0";""
Bologna;18/2/2021;"9";"4";"13";"5";"80";"5";"5";"9";"0";"1023";"0";"0";""
Bologna;19/2/2021;"10";"5";"15";"6";"82";"6";"5";"9";"0";"1024";"0";"0";""
Bologna;20/2/2021;"9";"2";"15";"6";"86";"5";"5";"8";"0";"1025";"0";"0";"nebbia "
Bologna;21/2/2021;"9";"4";"14";"6";"86";"8";"5";"13";"0";"1027";"0";"0";"nebbia "
Bologna;22/2/2021;"8";"2";"14";"6";"88";"10";"5";"11";"0";"1031";"0";"0";"nebbia "
Bologna;23/2/2021;"10";"6";"17";"7";"79";"6";"8";"13";"0";"1036";"0";"0";""
Bologna;24/2/2021;"12";"6";"20";"5";"66";"17";"10";"17";"0";"1035";"0";"0";""
Bologna;25/2/2021;"13";"7";"20";"4";"56";"19";"11";"18";"0";"1032";"0";"0";""
Bologna;26/2/2021;"12";"6";"20";"4";"59";"20";"9";"17";"0";"1027";"0";"0";""
Bologna;27/2/2021;"11";"6";"17";"5";"65";"19";"13";"30";"0";"1025";"0";"0";""
Bologna;28/2/2021;"7";"0";"13";"2";"71";"21";"6";"13";"0";"1032";"0";"0";"nebbia "
