LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/1/2021;"4";"2";"5";"3";"99";"1";"6";"15";"0";"1009";"0";"0";"pioggia nebbia "
Bologna;2/1/2021;"5";"3";"7";"5";"99";"2";"5";"13";"0";"1006";"0";"0";"pioggia nebbia "
Bologna;3/1/2021;"4";"2";"7";"4";"98";"15";"6";"13";"0";"1008";"0";"0";"nebbia "
Bologna;4/1/2021;"5";"3";"7";"4";"94";"9";"6";"11";"0";"1010";"0";"0";"pioggia nebbia "
Bologna;5/1/2021;"4";"2";"6";"4";"98";"8";"6";"11";"0";"1008";"0";"0";"pioggia nebbia "
Bologna;6/1/2021;"4";"2";"6";"3";"93";"14";"5";"11";"0";"1010";"0";"0";"nebbia "
Bologna;7/1/2021;"5";"3";"6";"2";"87";"14";"5";"9";"0";"1014";"0";"0";""
Bologna;8/1/2021;"4";"0";"7";"2";"84";"11";"9";"15";"0";"1014";"0";"0";""
Bologna;9/1/2021;"2";"-1";"4";"1";"84";"13";"8";"15";"0";"1018";"0";"0";""
Bologna;10/1/2021;"2";"0";"3";"1";"90";"11";"12";"17";"0";"1017";"0";"0";"pioggia neve "
Bologna;11/1/2021;"0";"-3";"4";"0";"85";"20";"8";"15";"0";"1019";"0";"0";""
Bologna;12/1/2021;"2";"-2";"6";"0";"71";"17";"7";"13";"0";"1016";"0";"0";""
Bologna;13/1/2021;"2";"-2";"7";"1";"79";"19";"8";"13";"0";"1013";"0";"0";""
Bologna;14/1/2021;;;;;;;;;;;;;
Bologna;15/1/2021;"3";"1";"5";"1";"85";"16";"7";"13";"0";"1017";"0";"0";""
Bologna;16/1/2021;"2";"-2";"6";"1";"76";"19";"6";"11";"0";"1021";"0";"0";""
Bologna;17/1/2021;"1";"0";"4";"1";"84";"12";"4";"9";"0";"1016";"0";"0";""
Bologna;18/1/2021;"1";"-3";"5";"1";"90";"5";"5";"11";"0";"1024";"0";"0";""
Bologna;19/1/2021;"-3";"-6";"-1";"0";"97";"1";"4";"9";"0";"1025";"0";"0";"nebbia "
Bologna;20/1/2021;"-1";"-5";"4";"1";"95";"2";"4";"9";"0";"1021";"0";"0";"nebbia "
Bologna;21/1/2021;"2";"1";"4";"2";"92";"1";"5";"11";"0";"1016";"0";"0";"nebbia "
Bologna;22/1/2021;"4";"2";"11";"4";"98";"3";"8";"22";"0";"1002";"0";"0";"pioggia nebbia "
Bologna;23/1/2021;"8";"5";"10";"5";"84";"19";"11";"26";"0";"994";"0";"0";"pioggia "
Bologna;24/1/2021;"3";"1";"5";"3";"95";"11";"9";"22";"0";"998";"0";"0";"pioggia nebbia "
Bologna;25/1/2021;"3";"-1";"7";"1";"74";"21";"11";"18";"0";"1002";"0";"0";""
Bologna;26/1/2021;"5";"-1";"10";"0";"43";"21";"14";"28";"0";"1015";"0";"0";""
Bologna;27/1/2021;"2";"-2";"6";"0";"55";"19";"8";"18";"0";"1017";"0";"0";""
Bologna;28/1/2021;"3";"0";"8";"0";"65";"20";"7";"15";"0";"1013";"0";"0";""
Bologna;29/1/2021;"2";"-2";"7";"1";"83";"16";"4";"9";"0";"1006";"0";"0";""
Bologna;30/1/2021;"6";"0";"12";"4";"81";"15";"8";"15";"0";"1001";"0";"0";"pioggia "
Bologna;31/1/2021;"6";"5";"7";"6";"98";"4";"13";"21";"0";"997";"0";"0";"pioggia "
