LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/6/2021;"19";"12";"26";"8";"54";"20";"10";"22";"0";"1017";"0";"0";""
Bologna;2/6/2021;"20";"13";"27";"12";"60";"20";"8";"17";"0";"1018";"0";"0";""
Bologna;3/6/2021;"23";"16";"28";"12";"52";"20";"10";"18";"0";"1022";"0";"0";""
Bologna;4/6/2021;"24";"17";"30";"12";"49";"19";"10";"17";"0";"1022";"0";"0";""
Bologna;5/6/2021;"25";"19";"30";"13";"50";"21";"8";"17";"0";"1019";"0";"0";""
Bologna;6/6/2021;"21";"18";"27";"16";"72";"19";"8";"17";"0";"1017";"0";"0";"pioggia temporale "
Bologna;7/6/2021;"20";"17";"27";"17";"81";"19";"8";"17";"0";"1017";"0";"0";"pioggia temporale "
Bologna;8/6/2021;"20";"17";"26";"17";"84";"14";"10";"39";"0";"1017";"0";"0";"pioggia temporale "
Bologna;9/6/2021;"23";"16";"29";"16";"67";"21";"11";"17";"0";"1017";"0";"0";""
Bologna;10/6/2021;"22";"17";"28";"16";"69";"18";"10";"18";"0";"1017";"0";"0";"pioggia temporale "
Bologna;11/6/2021;"22";"17";"27";"14";"62";"21";"10";"17";"0";"1016";"0";"0";""
Bologna;12/6/2021;"25";"16";"31";"14";"54";"18";"9";"15";"0";"1017";"0";"0";""
Bologna;13/6/2021;"27";"21";"33";"16";"53";"20";"11";"21";"0";"1016";"0";"0";""
Bologna;14/6/2021;"24";"19";"30";"17";"65";"17";"13";"24";"0";"1017";"0";"0";""
Bologna;15/6/2021;"24";"17";"30";"13";"55";"20";"12";"21";"0";"1018";"0";"0";""
Bologna;16/6/2021;"25";"19";"31";"15";"59";"21";"10";"17";"0";"1016";"0";"0";""
Bologna;17/6/2021;"27";"19";"33";"17";"59";"21";"9";"17";"0";"1016";"0";"0";""
Bologna;18/6/2021;"27";"21";"32";"17";"56";"20";"8";"13";"0";"1016";"0";"0";""
Bologna;19/6/2021;"27";"22";"33";"14";"45";"21";"9";"17";"0";"1015";"0";"0";""
Bologna;20/6/2021;"28";"22";"34";"16";"48";"20";"11";"26";"0";"1011";"0";"0";""
Bologna;21/6/2021;"29";"23";"33";"16";"48";"20";"11";"28";"0";"1008";"0";"0";""
Bologna;22/6/2021;"28";"20";"34";"14";"47";"20";"8";"18";"0";"1010";"0";"0";""
Bologna;23/6/2021;"27";"20";"33";"14";"49";"21";"9";"15";"0";"1014";"0";"0";""
Bologna;24/6/2021;"27";"21";"33";"15";"49";"19";"11";"24";"0";"1015";"0";"0";""
Bologna;25/6/2021;"25";"17";"31";"11";"41";"22";"8";"13";"0";"1014";"0";"0";""
Bologna;26/6/2021;"26";"18";"32";"12";"44";"20";"10";"18";"0";"1015";"0";"0";""
Bologna;27/6/2021;"27";"20";"34";"13";"45";"20";"12";"21";"0";"1014";"0";"0";""
Bologna;28/6/2021;"27";"21";"34";"15";"47";"20";"13";"26";"0";"1014";"0";"0";""
Bologna;29/6/2021;"29";"20";"35";"14";"44";"20";"12";"30";"0";"1010";"0";"0";""
Bologna;30/6/2021;"26";"19";"31";"10";"38";"21";"15";"30";"0";"1009";"0";"0";""
