LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/7/2021;"26";"17";"32";"13";"45";"19";"12";"24";"0";"1011";"0";"0";""
Bologna;2/7/2021;"26";"19";"32";"14";"50";"20";"9";"18";"0";"1013";"0";"0";""
Bologna;3/7/2021;"27";"20";"33";"16";"55";"20";"10";"21";"0";"1013";"0";"0";""
Bologna;4/7/2021;"23";"20";"27";"19";"76";"19";"7";"15";"0";"1010";"0";"0";"pioggia "
Bologna;5/7/2021;"25";"17";"32";"16";"61";"18";"11";"24";"0";"1011";"0";"0";""
Bologna;6/7/2021;"27";"20";"34";"16";"55";"20";"11";"22";"0";"1012";"0";"0";""
Bologna;7/7/2021;"29";"20";"37";"16";"50";"20";"10";"28";"0";"1012";"0";"0";""
Bologna;8/7/2021;"27";"22";"36";"18";"59";"21";"12";"31";"0";"1014";"0";"0";"pioggia "
Bologna;9/7/2021;"25";"17";"32";"11";"45";"20";"9";"15";"0";"1016";"0";"0";""
Bologna;10/7/2021;"26";"20";"33";"13";"46";"19";"10";"15";"0";"1015";"0";"0";""
Bologna;11/7/2021;"27";"22";"32";"16";"53";"20";"10";"17";"0";"1012";"0";"0";""
Bologna;12/7/2021;"28";"22";"35";"16";"51";"18";"12";"21";"0";"1011";"0";"0";"pioggia temporale "
Bologna;13/7/2021;"27";"23";"32";"15";"48";"21";"15";"28";"0";"1007";"0";"0";"pioggia temporale "
Bologna;14/7/2021;"24";"20";"28";"11";"45";"20";"13";"24";"0";"1011";"0";"0";""
Bologna;15/7/2021;"24";"18";"29";"12";"49";"20";"9";"17";"0";"1013";"0";"0";""
Bologna;16/7/2021;"22";"19";"26";"17";"74";"17";"7";"15";"0";"1013";"0";"0";"pioggia "
Bologna;17/7/2021;"23";"19";"28";"16";"66";"20";"14";"28";"0";"1012";"0";"0";""
Bologna;18/7/2021;"26";"20";"33";"17";"61";"18";"9";"28";"0";"1010";"0";"0";"pioggia "
Bologna;19/7/2021;"27";"21";"33";"16";"52";"19";"9";"21";"0";"1011";"0";"0";""
Bologna;20/7/2021;"29";"23";"35";"14";"41";"20";"11";"18";"0";"1013";"0";"0";""
Bologna;21/7/2021;"28";"22";"34";"17";"52";"21";"11";"21";"0";"1016";"0";"0";""
Bologna;22/7/2021;"27";"20";"33";"18";"60";"18";"13";"22";"0";"1016";"0";"0";""
Bologna;23/7/2021;"26";"20";"33";"18";"64";"19";"9";"21";"0";"1014";"0";"0";""
Bologna;24/7/2021;"29";"21";"35";"18";"57";"21";"8";"18";"0";"1011";"0";"0";""
Bologna;25/7/2021;"29";"21";"34";"16";"47";"19";"11";"22";"0";"1009";"0";"0";""
Bologna;26/7/2021;"26";"22";"31";"20";"69";"18";"10";"21";"0";"1011";"0";"0";"pioggia temporale "
Bologna;27/7/2021;"26";"21";"35";"19";"72";"17";"11";"28";"0";"1014";"0";"0";"pioggia temporale "
Bologna;28/7/2021;"26";"19";"35";"19";"66";"20";"9";"21";"0";"1013";"0";"0";""
Bologna;29/7/2021;"27";"21";"33";"19";"61";"20";"9";"18";"0";"1013";"0";"0";""
Bologna;30/7/2021;"29";"22";"34";"17";"51";"19";"9";"21";"0";"1010";"0";"0";""
Bologna;31/7/2021;"29";"22";"35";"17";"51";"21";"9";"21";"0";"1007";"0";"0";""
