LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/5/2021;"16";"11";"22";"14";"84";"16";"12";"26";"0";"1007";"0";"0";"pioggia "
Bologna;2/5/2021;"17";"11";"22";"7";"57";"18";"14";"33";"0";"1009";"0";"0";"nebbia "
Bologna;3/5/2021;"14";"9";"19";"8";"69";"21";"11";"17";"0";"1019";"0";"0";""
Bologna;4/5/2021;"15";"8";"23";"6";"57";"18";"11";"21";"0";"1015";"0";"0";""
Bologna;5/5/2021;"17";"8";"23";"7";"53";"19";"11";"28";"0";"1008";"0";"0";""
Bologna;6/5/2021;"18";"13";"24";"10";"62";"21";"11";"21";"0";"1010";"0";"0";""
Bologna;7/5/2021;"19";"10";"26";"11";"64";"20";"13";"28";"0";"1008";"0";"0";""
Bologna;8/5/2021;"16";"14";"21";"10";"68";"20";"13";"22";"0";"1018";"0";"0";""
Bologna;9/5/2021;"16";"9";"23";"9";"65";"20";"10";"21";"0";"1019";"0";"0";""
Bologna;10/5/2021;"18";"10";"27";"11";"68";"21";"12";"26";"0";"1015";"0";"0";""
Bologna;11/5/2021;"16";"14";"18";"15";"91";"16";"10";"24";"0";"1011";"0";"0";"pioggia "
Bologna;12/5/2021;"16";"11";"22";"10";"72";"20";"10";"22";"0";"1007";"0";"0";""
Bologna;13/5/2021;"16";"11";"21";"8";"60";"21";"11";"26";"0";"1005";"0";"0";"pioggia temporale "
Bologna;14/5/2021;"15";"8";"21";"9";"69";"21";"9";"22";"0";"1008";"0";"0";"pioggia "
Bologna;15/5/2021;"16";"9";"20";"10";"71";"19";"8";"21";"0";"1010";"0";"0";""
Bologna;16/5/2021;"18";"12";"22";"12";"68";"20";"8";"17";"0";"1007";"0";"0";""
Bologna;17/5/2021;"19";"14";"25";"11";"61";"19";"12";"18";"0";"1006";"0";"0";""
Bologna;18/5/2021;"18";"12";"25";"7";"51";"20";"14";"26";"0";"1011";"0";"0";""
Bologna;19/5/2021;"17";"12";"21";"9";"63";"20";"14";"30";"0";"1012";"0";"0";"pioggia temporale "
Bologna;20/5/2021;"17";"9";"23";"6";"53";"20";"9";"17";"0";"1017";"0";"0";""
Bologna;21/5/2021;"19";"11";"25";"7";"48";"20";"15";"31";"0";"1016";"0";"0";""
Bologna;22/5/2021;"20";"17";"24";"10";"52";"23";"14";"26";"0";"1012";"0";"0";""
Bologna;23/5/2021;"20";"13";"26";"12";"60";"20";"8";"15";"0";"1013";"0";"0";""
Bologna;24/5/2021;"16";"14";"19";"14";"93";"9";"8";"17";"0";"1016";"0";"0";"pioggia temporale "
Bologna;25/5/2021;"18";"12";"23";"11";"71";"13";"9";"24";"0";"1017";"0";"0";"pioggia nebbia "
Bologna;26/5/2021;"17";"10";"24";"11";"69";"17";"10";"18";"0";"1017";"0";"0";"nebbia "
Bologna;27/5/2021;"20";"14";"26";"10";"55";"22";"10";"15";"0";"1014";"0";"0";""
Bologna;28/5/2021;"20";"13";"25";"11";"61";"19";"13";"22";"0";"1018";"0";"0";""
Bologna;29/5/2021;"20";"13";"25";"11";"58";"21";"11";"22";"0";"1017";"0";"0";""
Bologna;30/5/2021;"19";"13";"24";"9";"60";"20";"12";"22";"0";"1019";"0";"0";"pioggia "
Bologna;31/5/2021;"18";"12";"23";"7";"50";"19";"11";"22";"0";"1019";"0";"0";""
