LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/3/2021;"8";"1";"15";"1";"55";"22";"9";"17";"0";"1031";"0";"0";""
Bologna;2/3/2021;"9";"1";"16";"2";"58";"21";"8";"17";"0";"1033";"0";"0";""
Bologna;3/3/2021;"10";"4";"17";"1";"54";"22";"9";"18";"0";"1031";"0";"0";""
Bologna;4/3/2021;"10";"3";"16";"2";"59";"13";"7";"15";"0";"1022";"0";"0";""
Bologna;5/3/2021;"12";"7";"16";"4";"60";"17";"7";"15";"0";"1016";"0";"0";""
Bologna;6/3/2021;"7";"2";"11";"5";"75";"17";"15";"30";"0";"1027";"0";"0";"pioggia "
Bologna;7/3/2021;"6";"0";"12";"1";"64";"19";"9";"15";"0";"1024";"0";"0";""
Bologna;8/3/2021;"7";"1";"13";"4";"73";"21";"11";"22";"0";"1017";"0";"0";""
Bologna;9/3/2021;"8";"6";"12";"4";"73";"19";"5";"11";"0";"1015";"0";"0";""
Bologna;10/3/2021;"8";"3";"14";"2";"63";"18";"6";"9";"0";"1018";"0";"0";""
Bologna;11/3/2021;"10";"3";"15";"4";"61";"22";"8";"17";"0";"1018";"0";"0";""
Bologna;12/3/2021;"11";"5";"16";"7";"77";"12";"7";"15";"0";"1013";"0";"0";""
Bologna;13/3/2021;"12";"5";"19";"4";"62";"16";"11";"26";"0";"1012";"0";"0";""
Bologna;14/3/2021;"10";"3";"15";"4";"65";"20";"15";"28";"0";"1007";"0";"0";"pioggia temporale "
Bologna;15/3/2021;"9";"1";"16";"1";"60";"20";"9";"18";"0";"1010";"0";"0";""
Bologna;16/3/2021;"11";"4";"16";"0";"37";"19";"12";"26";"0";"1014";"0";"0";""
Bologna;17/3/2021;"8";"2";"15";"2";"38";"21";"9";"17";"0";"1016";"0";"0";""
Bologna;18/3/2021;"7";"2";"11";"1";"57";"20";"12";"28";"0";"1017";"0";"0";""
Bologna;19/3/2021;"5";"-1";"11";"0";"56";"20";"11";"28";"0";"1015";"0";"0";""
Bologna;20/3/2021;"5";"-1";"10";"0";"60";"19";"11";"35";"0";"1018";"0";"0";""
Bologna;21/3/2021;"5";"0";"10";"0";"53";"18";"10";"18";"0";"1015";"0";"0";""
Bologna;22/3/2021;"7";"-2";"14";"0";"42";"20";"8";"17";"0";"1013";"0";"0";""
Bologna;23/3/2021;"9";"4";"14";"0";"42";"21";"12";"24";"0";"1022";"0";"0";""
Bologna;24/3/2021;"10";"3";"17";"0";"43";"21";"8";"15";"0";"1022";"0";"0";""
Bologna;25/3/2021;"11";"5";"19";"2";"57";"21";"8";"18";"0";"1021";"0";"0";""
Bologna;26/3/2021;"15";"5";"19";"6";"57";"21";"12";"21";"0";"1023";"0";"0";""
Bologna;27/3/2021;"13";"6";"17";"7";"70";"21";"6";"13";"0";"1024";"0";"0";""
Bologna;28/3/2021;"14";"7";"20";"6";"62";"19";"7";"13";"0";"1030";"0";"0";""
Bologna;29/3/2021;"15";"8";"22";"7";"61";"20";"8";"13";"0";"1032";"0";"0";""
Bologna;30/3/2021;"16";"9";"23";"7";"58";"20";"9";"15";"0";"1030";"0";"0";""
Bologna;31/3/2021;"17";"10";"25";"5";"51";"20";"9";"15";"0";"1025";"0";"0";""
