LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/11/2021;"12";"11";"14";"11";"95";"5";"12";"24";"0";"1005";"0";"0";"pioggia nebbia "
Bologna;2/11/2021;"12";"7";"18";"9";"82";"20";"6";"13";"0";"1002";"0";"0";""
Bologna;3/11/2021;"13";"9";"18";"10";"84";"19";"11";"24";"0";"1002";"0";"0";"pioggia "
Bologna;4/11/2021;"12";"8";"18";"7";"76";"19";"9";"30";"0";"1007";"0";"0";""
Bologna;5/11/2021;"9";"6";"13";"6";"79";"20";"8";"15";"0";"1018";"0";"0";""
Bologna;6/11/2021;"10";"8";"13";"7";"78";"15";"11";"15";"0";"1025";"0";"0";"pioggia "
Bologna;7/11/2021;"11";"9";"14";"6";"71";"21";"8";"15";"0";"1020";"0";"0";"pioggia "
Bologna;8/11/2021;"10";"9";"11";"9";"94";"7";"10";"15";"0";"1018";"0";"0";"pioggia "
Bologna;9/11/2021;"11";"9";"12";"8";"85";"18";"10";"15";"0";"1025";"0";"0";"pioggia "
Bologna;10/11/2021;"11";"10";"13";"9";"87";"19";"7";"11";"0";"1027";"0";"0";""
Bologna;11/11/2021;"12";"10";"15";"9";"82";"15";"8";"15";"0";"1024";"0";"0";""
Bologna;12/11/2021;"11";"8";"16";"9";"88";"14";"6";"13";"0";"1019";"0";"0";""
Bologna;13/11/2021;"10";"8";"12";"10";"98";"2";"6";"13";"0";"1017";"0";"0";"pioggia nebbia "
Bologna;14/11/2021;"12";"11";"13";"12";"96";"6";"10";"18";"0";"1014";"0";"0";"pioggia "
Bologna;15/11/2021;"13";"11";"14";"12";"92";"13";"12";"18";"0";"1018";"0";"0";"pioggia "
Bologna;16/11/2021;"10";"9";"11";"8";"90";"10";"10";"15";"0";"1020";"0";"0";"pioggia "
Bologna;17/11/2021;"11";"9";"12";"10";"92";"3";"9";"13";"0";"1019";"0";"0";"pioggia "
Bologna;18/11/2021;"12";"10";"15";"10";"90";"4";"7";"11";"0";"1025";"0";"0";"nebbia "
Bologna;19/11/2021;"11";"10";"13";"10";"93";"3";"6";"9";"0";"1029";"0";"0";"nebbia "
Bologna;20/11/2021;"8";"7";"9";"8";"98";"2";"8";"13";"0";"1024";"0";"0";"nebbia "
Bologna;21/11/2021;"7";"5";"8";"7";"100";"1";"9";"15";"0";"1014";"0";"0";"nebbia "
Bologna;22/11/2021;"9";"7";"9";"9";"100";"3";"9";"13";"0";"1013";"0";"0";"pioggia nebbia "
Bologna;23/11/2021;"9";"6";"13";"7";"88";"13";"7";"11";"0";"1022";"0";"0";"pioggia "
Bologna;24/11/2021;"6";"3";"11";"3";"79";"19";"5";"9";"0";"1022";"0";"0";""
Bologna;25/11/2021;"5";"5";"6";"4";"94";"7";"9";"13";"0";"1011";"0";"0";"pioggia "
Bologna;26/11/2021;"8";"6";"12";"6";"90";"14";"9";"17";"0";"997";"0";"0";"pioggia "
Bologna;27/11/2021;"11";"5";"14";"5";"69";"21";"9";"21";"0";"993";"0";"0";"nebbia "
Bologna;28/11/2021;"6";"3";"10";"4";"83";"18";"10";"22";"0";"993";"0";"0";"nebbia "
Bologna;29/11/2021;"4";"0";"8";"2";"73";"18";"12";"21";"0";"1001";"0";"0";""
Bologna;30/11/2021;"6";"1";"12";"0";"46";"18";"9";"17";"0";"1015";"0";"0";""
