LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/10/2021;"18";"13";"23";"13";"75";"21";"8";"15";"0";"1023";"0";"0";"nebbia "
Bologna;2/10/2021;"18";"13";"23";"14";"77";"19";"9";"15";"0";"1019";"0";"0";""
Bologna;3/10/2021;"20";"12";"28";"14";"74";"21";"9";"18";"0";"1017";"0";"0";""
Bologna;4/10/2021;"21";"16";"26";"17";"79";"18";"9";"18";"0";"1016";"0";"0";"pioggia temporale "
Bologna;5/10/2021;"20";"17";"24";"13";"67";"19";"14";"33";"0";"1013";"0";"0";"pioggia "
Bologna;6/10/2021;"18";"14";"22";"12";"69";"20";"15";"31";"0";"1012";"0";"0";"pioggia "
Bologna;7/10/2021;"14";"13";"16";"11";"82";"19";"10";"18";"0";"1016";"0";"0";"pioggia "
Bologna;8/10/2021;"15";"13";"18";"11";"75";"20";"10";"22";"0";"1020";"0";"0";""
Bologna;9/10/2021;"13";"9";"18";"8";"74";"19";"9";"18";"0";"1022";"0";"0";""
Bologna;10/10/2021;"11";"6";"17";"5";"69";"20";"8";"15";"0";"1021";"0";"0";""
Bologna;11/10/2021;"13";"10";"18";"6";"67";"19";"8";"17";"0";"1019";"0";"0";""
Bologna;12/10/2021;"13";"10";"19";"7";"69";"21";"11";"22";"0";"1016";"0";"0";""
Bologna;13/10/2021;"12";"7";"18";"7";"73";"18";"9";"21";"0";"1017";"0";"0";""
Bologna;14/10/2021;"10";"6";"17";"4";"72";"21";"5";"8";"0";"1024";"0";"0";""
Bologna;15/10/2021;"11";"5";"17";"4";"65";"21";"9";"17";"0";"1020";"0";"0";""
Bologna;16/10/2021;"13";"6";"19";"6";"65";"20";"8";"13";"0";"1018";"0";"0";""
Bologna;17/10/2021;"12";"7";"19";"7";"71";"20";"7";"17";"0";"1020";"0";"0";""
Bologna;18/10/2021;"13";"8";"21";"6";"66";"19";"10";"21";"0";"1024";"0";"0";""
Bologna;19/10/2021;"14";"8";"19";"8";"68";"20";"9";"18";"0";"1028";"0";"0";""
Bologna;20/10/2021;"16";"11";"22";"9";"67";"21";"10";"18";"0";"1024";"0";"0";""
Bologna;21/10/2021;"18";"15";"24";"11";"65";"16";"13";"28";"0";"1014";"0";"0";""
Bologna;22/10/2021;"13";"11";"17";"12";"92";"3";"4";"8";"0";"1016";"0";"0";"nebbia "
Bologna;23/10/2021;"14";"12";"18";"12";"87";"4";"5";"11";"0";"1022";"0";"0";""
Bologna;24/10/2021;"13";"8";"18";"8";"76";"16";"6";"11";"0";"1027";"0";"0";""
Bologna;25/10/2021;"11";"7";"16";"6";"76";"19";"5";"11";"0";"1024";"0";"0";""
Bologna;26/10/2021;"12";"11";"14";"7";"69";"20";"6";"11";"0";"1022";"0";"0";""
Bologna;27/10/2021;"13";"8";"18";"7";"68";"19";"7";"13";"0";"1025";"0";"0";""
Bologna;28/10/2021;"11";"7";"18";"6";"70";"19";"7";"15";"0";"1023";"0";"0";""
Bologna;29/10/2021;"12";"7";"16";"6";"70";"13";"7";"15";"0";"1019";"0";"0";""
Bologna;30/10/2021;"11";"6";"16";"8";"81";"11";"7";"11";"0";"1019";"0";"0";""
Bologna;31/10/2021;"13";"11";"13";"10";"83";"3";"6";"11";"0";"1018";"0";"0";""
