LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bologna;1/9/2021;"23";"16";"28";"14";"61";"19";"9";"17";"0";"1020";"0";"0";""
Bologna;2/9/2021;"23";"16";"29";"13";"57";"20";"11";"22";"0";"1022";"0";"0";""
Bologna;3/9/2021;"21";"15";"28";"11";"55";"21";"8";"18";"0";"1020";"0";"0";""
Bologna;4/9/2021;"22";"16";"27";"12";"54";"19";"8";"17";"0";"1016";"0";"0";""
Bologna;5/9/2021;"22";"16";"29";"11";"54";"20";"10";"17";"0";"1018";"0";"0";""
Bologna;6/9/2021;"23";"15";"29";"10";"49";"20";"9";"17";"0";"1021";"0";"0";""
Bologna;7/9/2021;"23";"15";"29";"10";"47";"18";"9";"17";"0";"1022";"0";"0";""
Bologna;8/9/2021;"22";"15";"29";"11";"50";"21";"9";"17";"0";"1019";"0";"0";""
Bologna;9/9/2021;"22";"15";"29";"10";"48";"21";"9";"21";"0";"1017";"0";"0";""
Bologna;10/9/2021;"24";"17";"30";"11";"47";"19";"12";"18";"0";"1016";"0";"0";""
Bologna;11/9/2021;"23";"16";"29";"12";"52";"20";"8";"15";"0";"1016";"0";"0";""
Bologna;12/9/2021;"22";"17";"30";"11";"52";"21";"9";"15";"0";"1016";"0";"0";""
Bologna;13/9/2021;"24";"17";"32";"11";"47";"19";"10";"17";"0";"1015";"0";"0";""
Bologna;14/9/2021;"25";"18";"31";"12";"46";"19";"10";"15";"0";"1016";"0";"0";""
Bologna;15/9/2021;"25";"20";"30";"13";"49";"21";"10";"21";"0";"1016";"0";"0";"pioggia "
Bologna;16/9/2021;"23";"21";"26";"18";"73";"20";"10";"18";"0";"1015";"0";"0";"pioggia "
Bologna;17/9/2021;"23";"19";"27";"18";"78";"20";"6";"11";"0";"1011";"0";"0";""
Bologna;18/9/2021;"21";"17";"27";"17";"79";"17";"6";"18";"0";"1012";"0";"0";""
Bologna;19/9/2021;"21";"16";"28";"14";"69";"17";"9";"30";"0";"1010";"0";"0";"pioggia nebbia "
Bologna;20/9/2021;"20";"14";"26";"12";"62";"20";"10";"21";"0";"1013";"0";"0";"pioggia "
Bologna;21/9/2021;"19";"15";"23";"14";"76";"21";"8";"17";"0";"1022";"0";"0";"pioggia temporale "
Bologna;22/9/2021;"18";"12";"24";"12";"68";"19";"10";"17";"0";"1023";"0";"0";""
Bologna;23/9/2021;"18";"12";"24";"11";"64";"19";"8";"17";"0";"1022";"0";"0";""
Bologna;24/9/2021;"20";"14";"27";"11";"59";"21";"10";"17";"0";"1018";"0";"0";""
Bologna;25/9/2021;"21";"14";"27";"14";"68";"19";"8";"17";"0";"1020";"0";"0";""
Bologna;26/9/2021;"19";"17";"24";"17";"88";"15";"9";"22";"0";"1019";"0";"0";"pioggia temporale "
Bologna;27/9/2021;"19";"15";"22";"16";"85";"16";"8";"13";"0";"1018";"0";"0";""
Bologna;28/9/2021;"20";"16";"26";"16";"81";"12";"8";"13";"0";"1019";"0";"0";""
Bologna;29/9/2021;"21";"17";"26";"16";"74";"11";"7";"15";"0";"1017";"0";"0";""
Bologna;30/9/2021;"20";"17";"23";"16";"79";"18";"9";"21";"0";"1022";"0";"0";""
