LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bolzano;1/8/2021;"19";"16";"21";"18";"93";"15";"6";"18";"0";"1007";"0";"0";"pioggia temporale "
Bolzano;2/8/2021;"20";"12";"24";"13";"64";"19";"4";"13";"0";"1014";"0";"0";"pioggia "
Bolzano;3/8/2021;"19";"16";"22";"14";"75";"18";"4";"11";"0";"1016";"0";"0";"pioggia "
Bolzano;4/8/2021;"19";"16";"21";"16";"87";"17";"4";"8";"0";"1012";"0";"0";"pioggia "
Bolzano;5/8/2021;"22";"14";"29";"13";"61";"18";"4";"9";"0";"1008";"0";"0";""
Bolzano;6/8/2021;"24";"15";"30";"13";"55";"20";"7";"17";"0";"1008";"0";"0";""
Bolzano;7/8/2021;"24";"18";"29";"16";"65";"21";"7";"17";"0";"1008";"0";"0";"pioggia "
Bolzano;8/8/2021;"25";"19";"29";"14";"54";"22";"6";"11";"0";"1011";"0";"0";""
Bolzano;9/8/2021;"24";"16";"31";"12";"49";"19";"6";"15";"0";"1018";"0";"0";""
Bolzano;10/8/2021;"25";"15";"31";"13";"50";"17";"6";"13";"0";"1018";"0";"0";""
Bolzano;11/8/2021;"27";"17";"33";"15";"52";"21";"5";"8";"0";"1018";"0";"0";""
Bolzano;12/8/2021;"28";"18";"35";"15";"49";"17";"5";"9";"0";"1020";"0";"0";""
Bolzano;13/8/2021;"28";"19";"34";"17";"53";"17";"4";"8";"0";"1022";"0";"0";""
Bolzano;14/8/2021;"28";"18";"35";"16";"53";"24";"4";"9";"0";"1020";"0";"0";""
Bolzano;15/8/2021;"29";"20";"35";"17";"51";"19";"7";"15";"0";"1014";"0";"0";""
Bolzano;16/8/2021;"22";"17";"28";"16";"69";"17";"11";"54";"0";"1012";"0";"0";"pioggia temporale "
Bolzano;17/8/2021;"23";"13";"29";"10";"49";"21";"6";"13";"0";"1014";"0";"0";""
Bolzano;18/8/2021;"24";"16";"30";"11";"49";"22";"7";"15";"0";"1014";"0";"0";""
Bolzano;19/8/2021;"24";"17";"30";"12";"49";"19";"7";"15";"0";"1014";"0";"0";""
Bolzano;20/8/2021;"25";"18";"30";"14";"51";"22";"8";"15";"0";"1015";"0";"0";""
Bolzano;21/8/2021;"25";"16";"31";"14";"54";"19";"5";"13";"0";"1018";"0";"0";""
Bolzano;22/8/2021;"24";"18";"27";"17";"66";"20";"9";"31";"0";"1016";"0";"0";"pioggia temporale "
Bolzano;23/8/2021;"24";"18";"30";"11";"48";"19";"6";"15";"0";"1015";"0";"0";""
Bolzano;24/8/2021;"23";"13";"30";"9";"44";"21";"5";"11";"0";"1016";"0";"0";""
Bolzano;25/8/2021;"23";"16";"28";"11";"51";"21";"7";"15";"0";"1015";"0";"0";""
Bolzano;26/8/2021;"23";"16";"28";"12";"52";"19";"6";"13";"0";"1009";"0";"0";""
Bolzano;27/8/2021;"22";"17";"28";"7";"40";"23";"8";"17";"0";"1010";"0";"0";"pioggia "
Bolzano;28/8/2021;"19";"13";"25";"8";"52";"19";"7";"18";"0";"1013";"0";"0";""
Bolzano;29/8/2021;"19";"10";"24";"9";"58";"18";"5";"13";"0";"1013";"0";"0";"pioggia "
Bolzano;30/8/2021;"18";"11";"22";"11";"66";"23";"5";"15";"0";"1014";"0";"0";"pioggia "
Bolzano;31/8/2021;"21";"11";"27";"10";"54";"19";"6";"11";"0";"1017";"0";"0";"pioggia "
