LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bolzano;1/4/2021;"21";"9";"28";"3";"30";"20";"5";"15";"0";"1017";"0";"0";""
Bolzano;2/4/2021;"20";"8";"27";"3";"34";"20";"5";"11";"0";"1011";"0";"0";""
Bolzano;3/4/2021;"16";"12";"19";"0";"16";"20";"20";"35";"0";"1013";"0";"0";""
Bolzano;4/4/2021;"13";"4";"19";"0";"27";"20";"8";"17";"0";"1016";"0";"0";""
Bolzano;5/4/2021;"12";"2";"16";"3";"46";"20";"9";"17";"0";"1009";"0";"0";""
Bolzano;6/4/2021;"9";"6";"11";"0";"14";"21";"19";"33";"0";"1006";"0";"0";""
Bolzano;7/4/2021;"5";"-1";"9";"0";"39";"20";"8";"24";"0";"1016";"0";"0";""
Bolzano;8/4/2021;"9";"-1";"16";"0";"35";"21";"5";"9";"0";"1023";"0";"0";""
Bolzano;9/4/2021;"11";"0";"17";"1";"48";"21";"7";"15";"0";"1024";"0";"0";""
Bolzano;10/4/2021;"12";"9";"15";"3";"54";"20";"5";"11";"0";"1020";"0";"0";""
Bolzano;11/4/2021;"10";"8";"12";"7";"82";"15";"5";"11";"0";"1019";"0";"0";"pioggia "
Bolzano;12/4/2021;"10";"6";"13";"6";"81";"12";"12";"31";"0";"1018";"0";"0";"pioggia "
Bolzano;13/4/2021;"10";"7";"13";"7";"29";"16";"18";"28";"0";"1021";"0";"0";""
Bolzano;14/4/2021;"9";"0";"15";"0";"32";"22";"6";"15";"0";"1022";"0";"0";""
Bolzano;15/4/2021;"8";"3";"12";"1";"54";"18";"7";"15";"0";"1022";"0";"0";"pioggia "
Bolzano;16/4/2021;"10";"0";"16";"0";"41";"18";"5";"9";"0";"1019";"0";"0";""
Bolzano;17/4/2021;"12";"1";"18";"1";"37";"21";"6";"15";"0";"1014";"0";"0";""
Bolzano;18/4/2021;"13";"6";"17";"2";"40";"21";"7";"15";"0";"1014";"0";"0";""
Bolzano;19/4/2021;"13";"3";"17";"2";"38";"19";"6";"11";"0";"1014";"0";"0";""
Bolzano;20/4/2021;"15";"3";"21";"2";"38";"20";"5";"9";"0";"1014";"0";"0";""
Bolzano;21/4/2021;"14";"5";"20";"2";"45";"21";"7";"18";"0";"1016";"0";"0";"pioggia "
Bolzano;22/4/2021;"17";"7";"22";"4";"44";"20";"7";"17";"0";"1017";"0";"0";""
Bolzano;23/4/2021;"18";"5";"24";"2";"32";"19";"7";"17";"0";"1021";"0";"0";""
Bolzano;24/4/2021;"18";"5";"24";"3";"36";"21";"7";"17";"0";"1020";"0";"0";""
Bolzano;25/4/2021;"18";"8";"26";"4";"43";"20";"6";"11";"0";"1015";"0";"0";""
Bolzano;26/4/2021;"13";"12";"14";"8";"71";"20";"4";"13";"0";"1013";"0";"0";"pioggia "
Bolzano;27/4/2021;"15";"11";"20";"6";"55";"24";"9";"18";"0";"1007";"0";"0";""
Bolzano;28/4/2021;"17";"8";"22";"6";"51";"20";"9";"17";"0";"1006";"0";"0";""
Bolzano;29/4/2021;"16";"12";"20";"11";"76";"13";"7";"13";"0";"1008";"0";"0";"pioggia "
Bolzano;30/4/2021;"18";"13";"22";"13";"77";"17";"7";"15";"0";"1010";"0";"0";"pioggia "
