LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bolzano;1/12/2021;"4";"-3";"15";"0";"70";"20";"2";"8";"0";"1009";"0";"0";""
Bolzano;2/12/2021;"4";"2";"7";"2";"84";"20";"2";"4";"0";"1000";"0";"0";"pioggia "
Bolzano;3/12/2021;"5";"-1";"10";"0";"41";"19";"9";"17";"0";"1013";"0";"0";""
Bolzano;4/12/2021;"2";"-2";"8";"0";"55";"19";"2";"8";"0";"1009";"0";"0";""
Bolzano;5/12/2021;"3";"1";"5";"2";"91";"17";"3";"8";"0";"1004";"0";"0";"pioggia neve "
Bolzano;6/12/2021;"3";"-2";"7";"0";"63";"20";"3";"11";"0";"1011";"0";"0";""
Bolzano;7/12/2021;"1";"-3";"6";"0";"59";"19";"2";"9";"0";"1014";"0";"0";""
Bolzano;8/12/2021;"-1";"-2";"0";"0";"90";"6";"2";"5";"0";"1006";"0";"0";"neve "
Bolzano;9/12/2021;"0";"-2";"3";"1";"93";"17";"3";"5";"0";"1003";"0";"0";""
Bolzano;10/12/2021;"-3";"-9";"0";"0";"79";"18";"4";"11";"0";"1004";"0";"0";""
Bolzano;11/12/2021;"3";"-8";"7";"0";"62";"18";"8";"18";"0";"1012";"0";"0";""
Bolzano;12/12/2021;"4";"0";"12";"0";"49";"22";"3";"5";"0";"1024";"0";"0";""
Bolzano;13/12/2021;"2";"-2";"9";"0";"77";"19";"6";"11";"0";"1026";"0";"0";""
Bolzano;14/12/2021;"2";"-2";"5";"1";"85";"20";"3";"5";"0";"1027";"0";"0";""
Bolzano;15/12/2021;"3";"-2";"8";"1";"78";"19";"3";"8";"0";"1029";"0";"0";""
Bolzano;16/12/2021;"3";"-3";"8";"0";"77";"21";"3";"8";"0";"1030";"0";"0";""
Bolzano;17/12/2021;"4";"-2";"10";"0";"71";"20";"3";"8";"0";"1031";"0";"0";""
Bolzano;18/12/2021;"1";"-3";"8";"0";"79";"20";"4";"8";"0";"1032";"0";"0";""
Bolzano;19/12/2021;"1";"-3";"9";"0";"78";"21";"2";"8";"0";"1023";"0";"0";""
Bolzano;20/12/2021;"3";"-3";"8";"0";"64";"20";"3";"8";"0";"1018";"0";"0";""
Bolzano;21/12/2021;"-1";"-5";"3";"0";"82";"18";"1";"8";"0";"1024";"0";"0";""
Bolzano;22/12/2021;"-1";"-8";"4";"0";"74";"18";"1";"8";"0";"1026";"0";"0";""
Bolzano;23/12/2021;"-2";"-5";"1";"0";"70";"19";"3";"8";"0";"1022";"0";"0";""
Bolzano;24/12/2021;"0";"-3";"2";"0";"66";"21";"4";"8";"0";"1014";"0";"0";""
Bolzano;25/12/2021;"3";"1";"6";"0";"71";"21";"3";"8";"0";"1008";"0";"0";""
Bolzano;26/12/2021;"3";"-2";"8";"1";"76";"22";"3";"8";"0";"1009";"0";"0";""
Bolzano;27/12/2021;"5";"2";"7";"1";"72";"20";"2";"5";"0";"1009";"0";"0";"pioggia "
Bolzano;28/12/2021;"5";"2";"7";"1";"73";"18";"3";"5";"0";"1008";"0";"0";""
Bolzano;29/12/2021;"6";"1";"9";"2";"74";"20";"4";"8";"0";"1012";"0";"0";"pioggia "
Bolzano;30/12/2021;"5";"2";"10";"3";"88";"18";"3";"5";"0";"1022";"0";"0";"nebbia "
Bolzano;31/12/2021;"5";"0";"12";"3";"82";"22";"2";"4";"0";"1026";"0";"0";""
