LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bolzano;1/1/2021;"-1";"-3";"1";"0";"88";"10";"2";"8";"0";"1012";"0";"0";"neve "
Bolzano;2/1/2021;"0";"-2";"1";"1";"99";"4";"3";"5";"0";"1009";"0";"0";"pioggia neve "
Bolzano;3/1/2021;"2";"0";"4";"2";"98";"4";"3";"5";"0";"1011";"0";"0";"pioggia neve nebbia "
Bolzano;4/1/2021;"1";"-3";"4";"2";"94";"19";"2";"5";"0";"1011";"0";"0";"nebbia "
Bolzano;5/1/2021;"0";"-3";"2";"0";"87";"20";"2";"5";"0";"1010";"0";"0";""
Bolzano;6/1/2021;"0";"-4";"3";"0";"92";"17";"3";"5";"0";"1010";"0";"0";"neve "
Bolzano;7/1/2021;"-2";"-8";"2";"0";"77";"18";"3";"5";"0";"1015";"0";"0";""
Bolzano;8/1/2021;"-3";"-8";"2";"0";"73";"20";"3";"5";"0";"1016";"0";"0";""
Bolzano;9/1/2021;"-5";"-9";"-1";"0";"72";"22";"2";"5";"0";"1020";"0";"0";""
Bolzano;10/1/2021;"-4";"-9";"1";"0";"71";"20";"3";"8";"0";"1019";"0";"0";""
Bolzano;11/1/2021;"-6";"-12";"0";"0";"73";"18";"2";"5";"0";"1020";"0";"0";""
Bolzano;12/1/2021;"-6";"-10";"-2";"0";"77";"22";"2";"5";"0";"1015";"0";"0";""
Bolzano;13/1/2021;"-1";"-10";"5";"0";"71";"20";"5";"9";"0";"1014";"0";"0";""
Bolzano;14/1/2021;;;;;;;;;;;;;
Bolzano;15/1/2021;"1";"-3";"5";"0";"88";"17";"2";"5";"0";"1017";"0";"0";"neve "
Bolzano;16/1/2021;"-3";"-8";"4";"0";"71";"21";"2";"5";"0";"1020";"0";"0";""
Bolzano;17/1/2021;"-2";"-7";"2";"0";"70";"21";"2";"5";"0";"1016";"0";"0";""
Bolzano;18/1/2021;"-2";"-8";"4";"0";"78";"23";"3";"8";"0";"1024";"0";"0";""
Bolzano;19/1/2021;"-2";"-8";"4";"0";"70";"19";"2";"4";"0";"1024";"0";"0";""
Bolzano;20/1/2021;"1";"-3";"4";"0";"66";"20";"3";"5";"0";"1021";"0";"0";""
Bolzano;21/1/2021;"1";"0";"2";"0";"88";"11";"3";"8";"0";"1015";"0";"0";"pioggia neve "
Bolzano;22/1/2021;"1";"0";"3";"2";"100";"2";"2";"4";"0";"1003";"0";"0";"pioggia nebbia "
Bolzano;23/1/2021;"4";"1";"8";"1";"84";"17";"3";"8";"0";"996";"0";"0";"pioggia "
Bolzano;24/1/2021;"1";"-3";"6";"0";"76";"20";"4";"8";"0";"1000";"0";"0";""
Bolzano;25/1/2021;"-1";"-4";"2";"0";"65";"19";"3";"5";"0";"1004";"0";"0";""
Bolzano;26/1/2021;"0";"-6";"6";"0";"59";"21";"4";"9";"0";"1018";"0";"0";""
Bolzano;27/1/2021;"-2";"-6";"1";"0";"73";"19";"1";"5";"0";"1018";"0";"0";""
Bolzano;28/1/2021;"0";"-4";"4";"0";"81";"18";"4";"9";"0";"1013";"0";"0";""
Bolzano;29/1/2021;"0";"-3";"5";"0";"89";"18";"4";"8";"0";"1005";"0";"0";"nebbia "
Bolzano;30/1/2021;"2";"-4";"7";"1";"85";"21";"3";"5";"0";"1001";"0";"0";"pioggia "
Bolzano;31/1/2021;"3";"-1";"7";"2";"93";"17";"3";"5";"0";"998";"0";"0";""
