LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bolzano;1/5/2021;"17";"13";"22";"13";"80";"17";"6";"17";"0";"1007";"0";"0";"pioggia "
Bolzano;2/5/2021;"16";"11";"20";"8";"46";"19";"11";"17";"0";"1010";"0";"0";"pioggia "
Bolzano;3/5/2021;"16";"6";"21";"2";"38";"18";"7";"15";"0";"1018";"0";"0";""
Bolzano;4/5/2021;"17";"9";"22";"4";"43";"20";"8";"18";"0";"1012";"0";"0";""
Bolzano;5/5/2021;"15";"7";"21";"5";"57";"17";"10";"24";"0";"1006";"0";"0";""
Bolzano;6/5/2021;"16";"6";"22";"4";"46";"16";"9";"17";"0";"1009";"0";"0";""
Bolzano;7/5/2021;"18";"13";"22";"9";"48";"20";"10";"26";"0";"1008";"0";"0";"pioggia temporale "
Bolzano;8/5/2021;"17";"4";"23";"2";"34";"22";"9";"18";"0";"1019";"0";"0";""
Bolzano;9/5/2021;"20";"7";"26";"6";"42";"18";"10";"17";"0";"1017";"0";"0";""
Bolzano;10/5/2021;"21";"12";"27";"9";"47";"20";"9";"17";"0";"1014";"0";"0";""
Bolzano;11/5/2021;"14";"13";"16";"13";"90";"13";"4";"8";"0";"1012";"0";"0";"pioggia "
Bolzano;12/5/2021;"16";"11";"21";"9";"67";"20";"5";"11";"0";"1007";"0";"0";""
Bolzano;13/5/2021;"17";"9";"23";"7";"53";"20";"8";"21";"0";"1003";"0";"0";""
Bolzano;14/5/2021;"16";"12";"22";"8";"61";"20";"7";"22";"0";"1008";"0";"0";"pioggia "
Bolzano;15/5/2021;"16";"11";"19";"8";"62";"21";"9";"17";"0";"1008";"0";"0";"pioggia "
Bolzano;16/5/2021;"18";"8";"23";"8";"56";"23";"11";"21";"0";"1005";"0";"0";""
Bolzano;17/5/2021;"19";"11";"23";"7";"38";"23";"12";"22";"0";"1007";"0";"0";""
Bolzano;18/5/2021;"18";"7";"24";"3";"39";"18";"8";"17";"0";"1011";"0";"0";""
Bolzano;19/5/2021;"17";"9";"22";"6";"43";"19";"9";"17";"0";"1013";"0";"0";"pioggia "
Bolzano;20/5/2021;"18";"7";"23";"2";"32";"21";"6";"11";"0";"1017";"0";"0";""
Bolzano;21/5/2021;"18";"9";"23";"4";"41";"17";"8";"21";"0";"1015";"0";"0";""
Bolzano;22/5/2021;"16";"11";"21";"9";"68";"18";"7";"22";"0";"1012";"0";"0";"pioggia "
Bolzano;23/5/2021;"16";"13";"21";"6";"56";"19";"8";"21";"0";"1016";"0";"0";"pioggia "
Bolzano;24/5/2021;"12";"10";"13";"10";"90";"12";"3";"5";"0";"1017";"0";"0";"pioggia "
Bolzano;25/5/2021;"16";"10";"21";"9";"68";"18";"5";"11";"0";"1016";"0";"0";"pioggia temporale "
Bolzano;26/5/2021;"18";"6";"23";"5";"45";"20";"9";"17";"0";"1016";"0";"0";""
Bolzano;27/5/2021;"18";"10";"23";"10";"63";"21";"6";"30";"0";"1015";"0";"0";"pioggia temporale "
Bolzano;28/5/2021;"20";"8";"26";"6";"43";"19";"9";"18";"0";"1017";"0";"0";""
Bolzano;29/5/2021;"20";"16";"23";"8";"44";"19";"8";"17";"0";"1017";"0";"0";"pioggia "
Bolzano;30/5/2021;"21";"8";"26";"3";"30";"18";"9";"21";"0";"1018";"0";"0";""
Bolzano;31/5/2021;"20";"13";"25";"5";"38";"19";"12";"18";"0";"1016";"0";"0";""
