LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bolzano;1/11/2021;"9";"8";"10";"8";"97";"8";"3";"9";"0";"1007";"0";"0";"pioggia "
Bolzano;2/11/2021;"9";"3";"14";"6";"86";"20";"3";"5";"0";"1004";"0";"0";"nebbia "
Bolzano;3/11/2021;"8";"6";"9";"8";"100";"11";"4";"8";"0";"1004";"0";"0";"pioggia "
Bolzano;4/11/2021;"6";"4";"8";"6";"100";"14";"4";"8";"0";"1010";"0";"0";"pioggia "
Bolzano;5/11/2021;"6";"2";"13";"2";"78";"19";"4";"8";"0";"1023";"0";"0";""
Bolzano;6/11/2021;"5";"-1";"12";"1";"68";"22";"4";"8";"0";"1028";"0";"0";""
Bolzano;7/11/2021;"5";"-2";"12";"1";"74";"21";"4";"5";"0";"1021";"0";"0";""
Bolzano;8/11/2021;"6";"0";"12";"2";"81";"21";"3";"5";"0";"1019";"0";"0";""
Bolzano;9/11/2021;"6";"1";"12";"2";"71";"19";"4";"8";"0";"1028";"0";"0";""
Bolzano;10/11/2021;"9";"4";"14";"3";"70";"22";"2";"5";"0";"1027";"0";"0";""
Bolzano;11/11/2021;"9";"2";"16";"5";"79";"19";"4";"8";"0";"1024";"0";"0";""
Bolzano;12/11/2021;"10";"3";"16";"5";"75";"17";"2";"5";"0";"1019";"0";"0";""
Bolzano;13/11/2021;"9";"7";"10";"6";"85";"12";"3";"5";"0";"1017";"0";"0";"pioggia "
Bolzano;14/11/2021;"9";"8";"10";"8";"97";"15";"2";"8";"0";"1018";"0";"0";"pioggia "
Bolzano;15/11/2021;"9";"7";"12";"8";"90";"20";"3";"9";"0";"1022";"0";"0";"nebbia "
Bolzano;16/11/2021;"9";"4";"12";"7";"87";"17";"3";"5";"0";"1020";"0";"0";"pioggia "
Bolzano;17/11/2021;"10";"6";"13";"8";"86";"18";"2";"5";"0";"1020";"0";"0";""
Bolzano;18/11/2021;"9";"4";"14";"5";"80";"21";"3";"5";"0";"1027";"0";"0";""
Bolzano;19/11/2021;"8";"2";"14";"2";"70";"22";"2";"5";"0";"1029";"0";"0";""
Bolzano;20/11/2021;"7";"1";"15";"3";"76";"20";"3";"8";"0";"1023";"0";"0";""
Bolzano;21/11/2021;"8";"2";"12";"2";"71";"23";"3";"11";"0";"1012";"0";"0";""
Bolzano;22/11/2021;"9";"6";"11";"5";"79";"21";"1";"4";"0";"1014";"0";"0";""
Bolzano;23/11/2021;"9";"4";"14";"1";"61";"21";"3";"8";"0";"1023";"0";"0";""
Bolzano;24/11/2021;"5";"0";"9";"0";"68";"19";"2";"4";"0";"1021";"0";"0";""
Bolzano;25/11/2021;"4";"-1";"5";"2";"71";"20";"2";"5";"0";"1012";"0";"0";""
Bolzano;26/11/2021;"5";"3";"7";"3";"84";"18";"2";"5";"0";"995";"0";"0";"pioggia "
Bolzano;27/11/2021;"7";"5";"10";"4";"85";"18";"4";"8";"0";"993";"0";"0";"pioggia "
Bolzano;28/11/2021;"4";"2";"6";"2";"87";"18";"3";"5";"0";"994";"0";"0";"pioggia "
Bolzano;29/11/2021;"5";"3";"9";"0";"47";"20";"12";"26";"0";"1004";"0";"0";""
Bolzano;30/11/2021;"2";"-3";"6";"0";"62";"23";"3";"5";"0";"1015";"0";"0";""
