LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/8/2021;"29";"23";"34";"18";"53";"18";"20";"33";"0";"1010";"0";"0";""
Cagliari;2/8/2021;"25";"18";"32";"16";"63";"19";"12";"18";"0";"1015";"0";"0";""
Cagliari;3/8/2021;"26";"22";"31";"20";"69";"19";"11";"30";"0";"1015";"0";"0";"pioggia temporale "
Cagliari;4/8/2021;"29";"25";"35";"19";"57";"20";"15";"26";"0";"1011";"0";"0";""
Cagliari;5/8/2021;"27";"21";"34";"16";"53";"20";"17";"30";"0";"1014";"0";"0";""
Cagliari;6/8/2021;"27";"20";"35";"18";"60";"20";"12";"21";"0";"1011";"0";"0";""
Cagliari;7/8/2021;"28";"20";"32";"21";"70";"20";"15";"26";"0";"1008";"0";"0";""
Cagliari;8/8/2021;"28";"24";"36";"22";"74";"20";"16";"28";"0";"1012";"0";"0";""
Cagliari;9/8/2021;"28";"24";"32";"24";"78";"19";"17";"37";"0";"1015";"0";"0";""
Cagliari;10/8/2021;"30";"25";"36";"23";"69";"21";"11";"21";"0";"1014";"0";"0";""
Cagliari;11/8/2021;"30";"26";"40";"23";"70";"21";"12";"18";"0";"1015";"0";"0";""
Cagliari;12/8/2021;"29";"23";"33";"23";"73";"17";"10";"24";"0";"1017";"0";"0";"nebbia "
Cagliari;13/8/2021;"29";"23";"36";"21";"63";"20";"10";"24";"0";"1018";"0";"0";""
Cagliari;14/8/2021;"28";"23";"33";"21";"67";"20";"10";"22";"0";"1018";"0";"0";""
Cagliari;15/8/2021;"29";"22";"33";"22";"67";"21";"10";"21";"0";"1016";"0";"0";""
Cagliari;16/8/2021;"29";"22";"38";"17";"52";"21";"13";"28";"0";"1013";"0";"0";""
Cagliari;17/8/2021;"26";"22";"32";"18";"64";"22";"27";"37";"0";"1013";"0";"0";""
Cagliari;18/8/2021;"25";"20";"30";"16";"60";"19";"25";"37";"0";"1014";"0";"0";""
Cagliari;19/8/2021;"25";"19";"33";"17";"62";"21";"13";"21";"0";"1014";"0";"0";""
Cagliari;20/8/2021;"25";"19";"30";"18";"68";"20";"12";"18";"0";"1014";"0";"0";""
Cagliari;21/8/2021;"25";"19";"30";"20";"76";"18";"13";"22";"0";"1017";"0";"0";""
Cagliari;22/8/2021;"26";"19";"30";"20";"69";"20";"12";"21";"0";"1018";"0";"0";""
Cagliari;23/8/2021;"27";"21";"36";"17";"59";"20";"19";"30";"0";"1015";"0";"0";""
Cagliari;24/8/2021;"26";"20";"32";"17";"62";"20";"13";"21";"0";"1012";"0";"0";""
Cagliari;25/8/2021;"25";"19";"30";"20";"76";"19";"12";"22";"0";"1012";"0";"0";""
Cagliari;26/8/2021;"27";"22";"33";"18";"62";"17";"16";"28";"0";"1012";"0";"0";""
Cagliari;27/8/2021;"25";"19";"32";"18";"69";"18";"14";"28";"0";"1012";"0";"0";""
Cagliari;28/8/2021;"26";"21";"33";"17";"59";"20";"15";"30";"0";"1011";"0";"0";""
Cagliari;29/8/2021;"23";"17";"29";"16";"66";"20";"14";"28";"0";"1012";"0";"0";""
Cagliari;30/8/2021;"23";"16";"31";"15";"62";"19";"13";"24";"0";"1013";"0";"0";""
Cagliari;31/8/2021;"25";"19";"30";"17";"65";"19";"14";"21";"0";"1015";"0";"0";""
