LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/4/2021;"16";"7";"22";"9";"67";"21";"11";"21";"0";"1020";"0";"0";""
Cagliari;2/4/2021;"14";"8";"19";"11";"83";"22";"14";"24";"0";"1015";"0";"0";""
Cagliari;3/4/2021;"17";"14";"22";"13";"78";"20";"14";"24";"0";"1009";"0";"0";""
Cagliari;4/4/2021;"15";"12";"19";"13";"90";"18";"9";"17";"0";"1011";"0";"0";"pioggia temporale "
Cagliari;5/4/2021;"14";"8";"18";"10";"80";"19";"12";"24";"0";"1014";"0";"0";""
Cagliari;6/4/2021;"14";"9";"20";"9";"72";"21";"20";"35";"0";"1010";"0";"0";""
Cagliari;7/4/2021;"12";"7";"15";"4";"60";"20";"20";"41";"0";"1015";"0";"0";""
Cagliari;8/4/2021;"9";"1";"15";"2";"62";"20";"14";"21";"0";"1026";"0";"0";""
Cagliari;9/4/2021;"12";"5";"17";"6";"66";"19";"22";"39";"0";"1025";"0";"0";""
Cagliari;10/4/2021;"16";"15";"18";"12";"77";"21";"30";"35";"0";"1019";"0";"0";""
Cagliari;11/4/2021;"16";"15";"19";"14";"85";"16";"23";"33";"0";"1017";"0";"0";"pioggia "
Cagliari;12/4/2021;"16";"9";"19";"12";"79";"18";"19";"39";"0";"1019";"0";"0";"pioggia "
Cagliari;13/4/2021;"13";"10";"18";"5";"57";"19";"24";"39";"0";"1021";"0";"0";""
Cagliari;14/4/2021;"13";"7";"17";"7";"70";"20";"12";"21";"0";"1020";"0";"0";""
Cagliari;15/4/2021;"13";"8";"18";"8";"71";"20";"12";"24";"0";"1017";"0";"0";""
Cagliari;16/4/2021;"12";"11";"14";"10";"90";"19";"9";"18";"0";"1013";"0";"0";"pioggia "
Cagliari;17/4/2021;"12";"8";"15";"10";"89";"20";"10";"15";"0";"1013";"0";"0";"pioggia "
Cagliari;18/4/2021;"10";"7";"13";"8";"88";"19";"12";"26";"0";"1015";"0";"0";"pioggia "
Cagliari;19/4/2021;"10";"5";"16";"8";"88";"21";"10";"26";"0";"1018";"0";"0";"pioggia "
Cagliari;20/4/2021;"13";"5";"17";"9";"78";"18";"11";"21";"0";"1017";"0";"0";""
Cagliari;21/4/2021;"14";"8";"18";"11";"83";"21";"14";"26";"0";"1015";"0";"0";"pioggia "
Cagliari;22/4/2021;"17";"14";"20";"14";"84";"19";"13";"24";"0";"1014";"0";"0";"pioggia "
Cagliari;23/4/2021;"15";"12";"20";"12";"85";"20";"9";"22";"0";"1018";"0";"0";"pioggia temporale "
Cagliari;24/4/2021;"15";"8";"21";"10";"76";"19";"12";"21";"0";"1020";"0";"0";""
Cagliari;25/4/2021;"15";"9";"19";"11";"75";"18";"14";"26";"0";"1017";"0";"0";""
Cagliari;26/4/2021;"17";"14";"20";"13";"75";"20";"22";"39";"0";"1009";"0";"0";""
Cagliari;27/4/2021;"18";"14";"22";"13";"73";"15";"13";"28";"0";"1006";"0";"0";""
Cagliari;28/4/2021;"18";"11";"25";"12";"72";"20";"8";"17";"0";"1008";"0";"0";""
Cagliari;29/4/2021;"18";"15";"24";"15";"80";"20";"11";"26";"0";"1010";"0";"0";"pioggia temporale "
Cagliari;30/4/2021;"18";"12";"22";"14";"77";"18";"13";"26";"0";"1009";"0";"0";""
