LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/12/2021;"12";"8";"17";"7";"76";"22";"9";"24";"0";"1019";"0";"0";"pioggia "
Cagliari;2/12/2021;"13";"11";"14";"10";"84";"19";"10";"21";"0";"1005";"0";"0";"pioggia "
Cagliari;3/12/2021;"9";"7";"12";"5";"75";"23";"13";"28";"0";"1007";"0";"0";"pioggia "
Cagliari;4/12/2021;"11";"6";"15";"8";"83";"20";"14";"24";"0";"1016";"0";"0";"pioggia "
Cagliari;5/12/2021;"10";"7";"13";"7";"84";"19";"10";"22";"0";"1008";"0";"0";"pioggia "
Cagliari;6/12/2021;"9";"5";"12";"4";"75";"21";"19";"28";"0";"1008";"0";"0";"pioggia "
Cagliari;7/12/2021;"11";"5";"16";"6";"71";"18";"19";"35";"0";"1015";"0";"0";""
Cagliari;8/12/2021;"12";"6";"17";"9";"82";"19";"10";"28";"0";"1009";"0";"0";"pioggia "
Cagliari;9/12/2021;"9";"7";"11";"4";"72";"17";"15";"26";"0";"1008";"0";"0";"pioggia "
Cagliari;10/12/2021;"10";"4";"15";"6";"79";"18";"16";"35";"0";"1006";"0";"0";"pioggia "
Cagliari;11/12/2021;"11";"7";"13";"5";"68";"19";"27";"39";"0";"1008";"0";"0";"pioggia "
Cagliari;12/12/2021;"8";"3";"15";"4";"79";"21";"12";"21";"0";"1021";"0";"0";""
Cagliari;13/12/2021;"8";"1";"15";"4";"77";"20";"11";"17";"0";"1026";"0";"0";""
Cagliari;14/12/2021;"9";"3";"16";"6";"84";"18";"11";"18";"0";"1025";"0";"0";""
Cagliari;15/12/2021;"9";"4";"16";"7";"87";"16";"8";"13";"0";"1025";"0";"0";""
Cagliari;16/12/2021;"8";"2";"15";"6";"89";"12";"8";"13";"0";"1026";"0";"0";"nebbia "
Cagliari;17/12/2021;"10";"3";"16";"7";"84";"14";"8";"13";"0";"1028";"0";"0";"nebbia "
Cagliari;18/12/2021;"9";"4";"15";"6";"85";"15";"9";"15";"0";"1028";"0";"0";""
Cagliari;19/12/2021;"8";"1";"14";"4";"80";"21";"8";"13";"0";"1025";"0";"0";""
Cagliari;20/12/2021;"9";"2";"14";"6";"79";"22";"15";"31";"0";"1021";"0";"0";""
Cagliari;21/12/2021;"10";"6";"15";"7";"83";"21";"5";"11";"0";"1022";"0";"0";""
Cagliari;22/12/2021;"10";"7";"14";"8";"86";"18";"6";"9";"0";"1022";"0";"0";"pioggia nebbia "
Cagliari;23/12/2021;"10";"5";"15";"7";"85";"20";"7";"11";"0";"1023";"0";"0";""
Cagliari;24/12/2021;"12";"7";"16";"11";"90";"17";"12";"22";"0";"1018";"0";"0";"nebbia "
Cagliari;25/12/2021;"13";"9";"19";"11";"85";"11";"10";"26";"0";"1011";"0";"0";"nebbia "
Cagliari;26/12/2021;"12";"10";"15";"11";"93";"19";"6";"11";"0";"1010";"0";"0";"pioggia "
Cagliari;27/12/2021;"13";"8";"16";"11";"91";"18";"11";"33";"0";"1010";"0";"0";"pioggia "
Cagliari;28/12/2021;"15";"10";"18";"10";"75";"19";"16";"28";"0";"1013";"0";"0";""
Cagliari;29/12/2021;"17";"15";"19";"11";"69";"20";"32";"48";"0";"1015";"0";"0";""
Cagliari;30/12/2021;"16";"11";"19";"12";"80";"20";"25";"37";"0";"1018";"0";"0";""
Cagliari;31/12/2021;"11";"7";"15";"11";"97";"7";"10";"15";"0";"1026";"0";"0";"nebbia "
