LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/2/2021;"14";"12";"17";"10";"78";"22";"17";"35";"0";"1004";"0";"0";"pioggia temporale "
Cagliari;2/2/2021;"15";"11";"19";"10";"73";"20";"23";"48";"0";"1013";"0";"0";""
Cagliari;3/2/2021;"12";"7";"17";"11";"94";"21";"9";"15";"0";"1017";"0";"0";"nebbia "
Cagliari;4/2/2021;"12";"5";"19";"11";"94";"15";"10";"18";"0";"1016";"0";"0";"nebbia "
Cagliari;5/2/2021;"13";"9";"17";"12";"95";"10";"10";"21";"0";"1014";"0";"0";"nebbia "
Cagliari;6/2/2021;"14";"8";"20";"11";"84";"13";"13";"26";"0";"1009";"0";"0";"nebbia "
Cagliari;7/2/2021;"15";"11";"21";"12";"81";"16";"14";"28";"0";"1002";"0";"0";"pioggia "
Cagliari;8/2/2021;"13";"8";"17";"10";"82";"18";"17";"35";"0";"1004";"0";"0";"pioggia "
Cagliari;9/2/2021;"14";"8";"17";"10";"75";"19";"20";"33";"0";"1008";"0";"0";"pioggia temporale "
Cagliari;10/2/2021;"14";"10";"17";"12";"86";"17";"16";"42";"0";"1007";"0";"0";"pioggia temporale "
Cagliari;11/2/2021;"13";"11";"16";"9";"73";"18";"21";"33";"0";"1016";"0";"0";""
Cagliari;12/2/2021;"12";"6";"16";"10";"91";"20";"8";"15";"0";"1018";"0";"0";"pioggia "
Cagliari;13/2/2021;"12";"8";"15";"10";"86";"19";"15";"33";"0";"1016";"0";"0";"pioggia "
Cagliari;14/2/2021;"7";"3";"10";"5";"65";"21";"13";"24";"0";"1030";"0";"0";""
Cagliari;15/2/2021;"6";"0";"12";"1";"67";"21";"11";"17";"0";"1037";"0";"0";""
Cagliari;16/2/2021;"6";"-1";"12";"4";"82";"18";"8";"13";"0";"1031";"0";"0";""
Cagliari;17/2/2021;"8";"1";"16";"6";"84";"21";"11";"17";"0";"1025";"0";"0";""
Cagliari;18/2/2021;"11";"4";"15";"8";"88";"18";"13";"22";"0";"1024";"0";"0";"nebbia "
Cagliari;19/2/2021;"14";"8";"16";"11";"84";"19";"17";"22";"0";"1024";"0";"0";""
Cagliari;20/2/2021;"13";"6";"16";"10";"85";"19";"13";"26";"0";"1023";"0";"0";""
Cagliari;21/2/2021;"14";"9";"17";"11";"83";"19";"19";"35";"0";"1022";"0";"0";""
Cagliari;22/2/2021;"15";"15";"16";"13";"86";"20";"31";"37";"0";"1025";"0";"0";""
Cagliari;23/2/2021;"15";"9";"17";"12";"84";"19";"17";"28";"0";"1034";"0";"0";""
Cagliari;24/2/2021;"11";"6";"19";"8";"86";"11";"8";"11";"0";"1034";"0";"0";"nebbia "
Cagliari;25/2/2021;"11";"4";"18";"9";"90";"17";"9";"13";"0";"1031";"0";"0";"nebbia "
Cagliari;26/2/2021;"12";"9";"16";"10";"92";"11";"7";"13";"0";"1028";"0";"0";"nebbia "
Cagliari;27/2/2021;"11";"9";"16";"10";"93";"14";"10";"15";"0";"1024";"0";"0";""
Cagliari;28/2/2021;"12";"8";"15";"9";"84";"20";"8";"17";"0";"1025";"0";"0";""
