LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/1/2021;"11";"5";"15";"8";"82";"17";"11";"22";"0";"1008";"0";"0";"pioggia "
Cagliari;2/1/2021;"10";"7";"11";"7";"85";"18";"15";"30";"0";"1006";"0";"0";"pioggia "
Cagliari;3/1/2021;"7";"4";"10";"6";"94";"20";"7";"17";"0";"1010";"0";"0";"pioggia "
Cagliari;4/1/2021;"6";"1";"11";"5";"94";"21";"6";"13";"0";"1012";"0";"0";"pioggia "
Cagliari;5/1/2021;"8";"6";"11";"6";"87";"20";"10";"26";"0";"1010";"0";"0";"pioggia "
Cagliari;6/1/2021;"7";"5";"9";"7";"99";"18";"6";"11";"0";"1013";"0";"0";"pioggia "
Cagliari;7/1/2021;"7";"5";"10";"7";"98";"16";"8";"13";"0";"1011";"0";"0";"pioggia nebbia "
Cagliari;8/1/2021;"10";"6";"12";"9";"97";"15";"10";"28";"0";"1009";"0";"0";"pioggia nebbia "
Cagliari;9/1/2021;"13";"11";"17";"11";"88";"20";"12";"26";"0";"1006";"0";"0";"pioggia temporale "
Cagliari;10/1/2021;"12";"8";"16";"11";"92";"18";"11";"18";"0";"1009";"0";"0";"pioggia "
Cagliari;11/1/2021;"9";"6";"13";"8";"94";"19";"6";"22";"0";"1013";"0";"0";"pioggia "
Cagliari;12/1/2021;"8";"4";"12";"6";"87";"19";"15";"30";"0";"1018";"0";"0";"pioggia "
Cagliari;13/1/2021;"12";"11";"14";"10";"84";"18";"26";"41";"0";"1019";"0";"0";"pioggia "
Cagliari;14/1/2021;;;;;;;;;;;;;
Cagliari;15/1/2021;"12";"9";"15";"7";"73";"18";"27";"44";"0";"1014";"0";"0";"pioggia "
Cagliari;16/1/2021;"9";"5";"13";"6";"82";"21";"11";"22";"0";"1018";"0";"0";""
Cagliari;17/1/2021;"11";"3";"15";"7";"79";"19";"26";"48";"0";"1018";"0";"0";"pioggia "
Cagliari;18/1/2021;"10";"6";"14";"6";"75";"21";"11";"35";"0";"1023";"0";"0";""
Cagliari;19/1/2021;"8";"4";"14";"6";"87";"18";"6";"13";"0";"1027";"0";"0";""
Cagliari;20/1/2021;"9";"2";"15";"7";"93";"18";"11";"21";"0";"1021";"0";"0";""
Cagliari;21/1/2021;"12";"7";"16";"10";"88";"21";"8";"24";"0";"1017";"0";"0";""
Cagliari;22/1/2021;"14";"9";"18";"10";"78";"20";"18";"33";"0";"1010";"0";"0";"pioggia "
Cagliari;23/1/2021;"12";"9";"16";"7";"73";"20";"21";"42";"0";"1009";"0";"0";""
Cagliari;24/1/2021;"13";"10";"17";"9";"74";"19";"21";"39";"0";"1005";"0";"0";"pioggia "
Cagliari;25/1/2021;"12";"8";"17";"9";"81";"18";"12";"31";"0";"1009";"0";"0";"pioggia "
Cagliari;26/1/2021;"10";"5";"14";"4";"71";"20";"17";"30";"0";"1017";"0";"0";"pioggia "
Cagliari;27/1/2021;"10";"7";"15";"9";"89";"18";"12";"22";"0";"1018";"0";"0";"pioggia "
Cagliari;28/1/2021;"15";"12";"18";"12";"83";"20";"21";"35";"0";"1018";"0";"0";"pioggia "
Cagliari;29/1/2021;"15";"12";"19";"12";"82";"19";"19";"30";"0";"1015";"0";"0";""
Cagliari;30/1/2021;"15";"10";"19";"11";"80";"21";"14";"30";"0";"1008";"0";"0";""
Cagliari;31/1/2021;"13";"11";"15";"9";"78";"20";"20";"31";"0";"1001";"0";"0";"pioggia "
