LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/7/2021;"27";"19";"35";"14";"50";"19";"18";"26";"0";"1016";"0";"0";""
Cagliari;2/7/2021;"28";"20";"37";"15";"52";"19";"16";"30";"0";"1015";"0";"0";""
Cagliari;3/7/2021;"26";"20";"34";"18";"66";"21";"13";"22";"0";"1015";"0";"0";""
Cagliari;4/7/2021;"27";"18";"36";"14";"50";"19";"14";"24";"0";"1012";"0";"0";""
Cagliari;5/7/2021;"28";"23";"34";"17";"54";"19";"21";"33";"0";"1013";"0";"0";""
Cagliari;6/7/2021;"25";"20";"31";"20";"73";"19";"14";"24";"0";"1012";"0";"0";""
Cagliari;7/7/2021;"27";"22";"31";"22";"77";"19";"12";"26";"0";"1013";"0";"0";""
Cagliari;8/7/2021;"28";"25";"33";"20";"67";"19";"16";"31";"0";"1016";"0";"0";""
Cagliari;9/7/2021;"27";"21";"34";"12";"47";"19";"19";"33";"0";"1019";"0";"0";""
Cagliari;10/7/2021;"25";"19";"32";"16";"60";"20";"15";"24";"0";"1016";"0";"0";""
Cagliari;11/7/2021;"28";"20";"36";"16";"54";"21";"17";"31";"0";"1015";"0";"0";""
Cagliari;12/7/2021;"27";"20";"33";"18";"62";"19";"14";"24";"0";"1012";"0";"0";""
Cagliari;13/7/2021;"27";"21";"30";"17";"61";"20";"24";"42";"0";"1011";"0";"0";""
Cagliari;14/7/2021;"24";"18";"30";"13";"54";"19";"19";"33";"0";"1017";"0";"0";""
Cagliari;15/7/2021;"25";"17";"30";"14";"55";"20";"20";"31";"0";"1016";"0";"0";""
Cagliari;16/7/2021;"24";"18";"29";"16";"63";"21";"22";"41";"0";"1015";"0";"0";""
Cagliari;17/7/2021;"26";"21";"31";"16";"57";"21";"21";"39";"0";"1012";"0";"0";""
Cagliari;18/7/2021;"26";"20";"34";"17";"59";"20";"22";"33";"0";"1010";"0";"0";""
Cagliari;19/7/2021;"26";"20";"35";"19";"67";"19";"16";"30";"0";"1010";"0";"0";""
Cagliari;20/7/2021;"27";"19";"32";"18";"60";"20";"11";"26";"0";"1013";"0";"0";""
Cagliari;21/7/2021;"26";"21";"31";"19";"65";"22";"12";"18";"0";"1017";"0";"0";""
Cagliari;22/7/2021;"27";"20";"34";"17";"57";"20";"14";"26";"0";"1017";"0";"0";""
Cagliari;23/7/2021;"26";"20";"32";"19";"65";"21";"12";"24";"0";"1015";"0";"0";""
Cagliari;24/7/2021;"28";"23";"32";"19";"60";"19";"15";"28";"0";"1013";"0";"0";""
Cagliari;25/7/2021;"28";"25";"31";"22";"70";"20";"14";"30";"0";"1009";"0";"0";""
Cagliari;26/7/2021;"28";"26";"31";"23";"75";"20";"14";"37";"0";"1011";"0";"0";"pioggia "
Cagliari;27/7/2021;"27";"23";"30";"24";"84";"20";"13";"24";"0";"1014";"0";"0";""
Cagliari;28/7/2021;"28";"26";"31";"20";"62";"19";"17";"26";"0";"1013";"0";"0";""
Cagliari;29/7/2021;"27";"22";"34";"20";"67";"20";"13";"24";"0";"1012";"0";"0";""
Cagliari;30/7/2021;"28";"22";"33";"22";"73";"21";"12";"22";"0";"1012";"0";"0";""
Cagliari;31/7/2021;"28";"22";"33";"21";"65";"21";"12";"21";"0";"1010";"0";"0";""
