LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/5/2021;"18";"16";"22";"14";"80";"19";"17";"35";"0";"1010";"0";"0";"pioggia "
Cagliari;2/5/2021;"17";"11";"23";"10";"63";"19";"12";"24";"0";"1018";"0";"0";""
Cagliari;3/5/2021;"16";"13";"21";"11";"75";"18";"13";"22";"0";"1020";"0";"0";""
Cagliari;4/5/2021;"17";"13";"21";"13";"80";"20";"7";"17";"0";"1017";"0";"0";"pioggia "
Cagliari;5/5/2021;"18";"14";"24";"10";"66";"22";"14";"30";"0";"1015";"0";"0";""
Cagliari;6/5/2021;"18";"12";"25";"12";"71";"21";"12";"18";"0";"1016";"0";"0";""
Cagliari;7/5/2021;"19";"12";"27";"10";"61";"19";"17";"28";"0";"1017";"0";"0";""
Cagliari;8/5/2021;"20";"14";"26";"12";"63";"21";"18";"30";"0";"1018";"0";"0";""
Cagliari;9/5/2021;"18";"12";"21";"13";"76";"22";"17";"31";"0";"1017";"0";"0";""
Cagliari;10/5/2021;"20";"18";"23";"15";"72";"20";"19";"30";"0";"1013";"0";"0";""
Cagliari;11/5/2021;"19";"16";"23";"14";"72";"20";"20";"39";"0";"1014";"0";"0";"pioggia "
Cagliari;12/5/2021;"18";"13";"22";"9";"56";"20";"20";"35";"0";"1016";"0";"0";""
Cagliari;13/5/2021;"19";"13";"25";"10";"58";"19";"16";"26";"0";"1013";"0";"0";""
Cagliari;14/5/2021;"16";"11";"20";"11";"76";"20";"11";"24";"0";"1012";"0";"0";"pioggia "
Cagliari;15/5/2021;"18";"13";"24";"9";"56";"20";"15";"24";"0";"1016";"0";"0";""
Cagliari;16/5/2021;"21";"11";"29";"9";"52";"20";"11";"35";"0";"1012";"0";"0";""
Cagliari;17/5/2021;"20";"15";"26";"10";"58";"19";"22";"35";"0";"1014";"0";"0";""
Cagliari;18/5/2021;"18";"12";"25";"9";"58";"19";"20";"33";"0";"1018";"0";"0";""
Cagliari;19/5/2021;"19";"13";"25";"10";"56";"21";"22";"35";"0";"1017";"0";"0";""
Cagliari;20/5/2021;"18";"14";"22";"8";"56";"21";"21";"33";"0";"1020";"0";"0";""
Cagliari;21/5/2021;"17";"10";"21";"12";"73";"19";"15";"24";"0";"1020";"0";"0";""
Cagliari;22/5/2021;"21";"17";"26";"15";"71";"19";"14";"22";"0";"1013";"0";"0";""
Cagliari;23/5/2021;"19";"16";"23";"16";"81";"20";"13";"26";"0";"1014";"0";"0";""
Cagliari;24/5/2021;"20";"16";"23";"15";"72";"19";"20";"39";"0";"1015";"0";"0";"pioggia temporale "
Cagliari;25/5/2021;"19";"13";"26";"10";"58";"21";"22";"35";"0";"1022";"0";"0";""
Cagliari;26/5/2021;"19";"12";"26";"11";"64";"19";"15";"26";"0";"1019";"0";"0";""
Cagliari;27/5/2021;"19";"14";"23";"13";"70";"21";"10";"21";"0";"1016";"0";"0";"pioggia temporale "
Cagliari;28/5/2021;"19";"12";"23";"13";"71";"20";"13";"30";"0";"1017";"0";"0";""
Cagliari;29/5/2021;"21";"16";"28";"12";"58";"20";"13";"26";"0";"1016";"0";"0";""
Cagliari;30/5/2021;"22";"15";"29";"14";"64";"19";"14";"22";"0";"1016";"0";"0";""
Cagliari;31/5/2021;"20";"15";"24";"15";"77";"21";"13";"21";"0";"1016";"0";"0";""
