LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/3/2021;"14";"11";"17";"10";"79";"19";"11";"22";"0";"1026";"0";"0";""
Cagliari;2/3/2021;"14";"10";"18";"10";"80";"20";"15";"26";"0";"1029";"0";"0";""
Cagliari;3/3/2021;"12";"5";"18";"8";"78";"15";"13";"22";"0";"1030";"0";"0";""
Cagliari;4/3/2021;"12";"5";"16";"10";"87";"19";"16";"26";"0";"1023";"0";"0";""
Cagliari;5/3/2021;"14";"12";"17";"13";"90";"20";"13";"22";"0";"1017";"0";"0";"pioggia nebbia "
Cagliari;6/3/2021;"13";"10";"19";"12";"91";"12";"10";"18";"0";"1021";"0";"0";"nebbia "
Cagliari;7/3/2021;"14";"10";"17";"12";"88";"17";"16";"24";"0";"1019";"0";"0";"pioggia "
Cagliari;8/3/2021;"15";"13";"17";"14";"90";"20";"17";"24";"0";"1012";"0";"0";"pioggia "
Cagliari;9/3/2021;"14";"10";"17";"11";"83";"18";"13";"30";"0";"1011";"0";"0";"pioggia nebbia "
Cagliari;10/3/2021;"12";"8";"17";"8";"78";"21";"15";"28";"0";"1017";"0";"0";"pioggia "
Cagliari;11/3/2021;"11";"3";"18";"7";"80";"20";"12";"22";"0";"1024";"0";"0";""
Cagliari;12/3/2021;"13";"7";"19";"10";"81";"21";"14";"24";"0";"1020";"0";"0";""
Cagliari;13/3/2021;"13";"8";"18";"8";"74";"20";"21";"33";"0";"1019";"0";"0";""
Cagliari;14/3/2021;"11";"7";"17";"8";"82";"18";"18";"35";"0";"1018";"0";"0";"pioggia "
Cagliari;15/3/2021;"13";"10";"16";"5";"61";"21";"29";"46";"0";"1017";"0";"0";"pioggia "
Cagliari;16/3/2021;"13";"6";"17";"7";"72";"20";"24";"44";"0";"1015";"0";"0";"pioggia temporale "
Cagliari;17/3/2021;"10";"2";"16";"6";"79";"21";"13";"28";"0";"1016";"0";"0";"pioggia "
Cagliari;18/3/2021;"10";"8";"14";"8";"89";"19";"11";"26";"0";"1013";"0";"0";"pioggia "
Cagliari;19/3/2021;"9";"4";"12";"7";"88";"18";"7";"11";"0";"1010";"0";"0";"pioggia "
Cagliari;20/3/2021;"10";"4";"15";"6";"79";"19";"11";"24";"0";"1009";"0";"0";"pioggia "
Cagliari;21/3/2021;"9";"3";"13";"3";"68";"19";"15";"31";"0";"1009";"0";"0";""
Cagliari;22/3/2021;"8";"1";"15";"1";"64";"20";"15";"30";"0";"1011";"0";"0";""
Cagliari;23/3/2021;"10";"3";"17";"4";"66";"20";"13";"26";"0";"1020";"0";"0";""
Cagliari;24/3/2021;"10";"3";"17";"5";"75";"21";"12";"24";"0";"1024";"0";"0";""
Cagliari;25/3/2021;"10";"3";"19";"7";"82";"20";"12";"18";"0";"1024";"0";"0";""
Cagliari;26/3/2021;"12";"5";"17";"10";"87";"21";"13";"21";"0";"1025";"0";"0";""
Cagliari;27/3/2021;"14";"7";"19";"11";"87";"20";"13";"24";"0";"1024";"0";"0";""
Cagliari;28/3/2021;"14";"7";"19";"11";"86";"19";"11";"22";"0";"1029";"0";"0";""
Cagliari;29/3/2021;"13";"7";"20";"10";"84";"20";"11";"21";"0";"1032";"0";"0";""
Cagliari;30/3/2021;"13";"5";"19";"10";"86";"18";"11";"22";"0";"1029";"0";"0";""
Cagliari;31/3/2021;"14";"6";"21";"7";"70";"20";"9";"18";"0";"1025";"0";"0";""
