LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/11/2021;"18";"14";"23";"16";"91";"14";"11";"33";"0";"1007";"0";"0";"pioggia nebbia "
Cagliari;2/11/2021;"18";"14";"22";"14";"78";"19";"8";"22";"0";"1010";"0";"0";"pioggia "
Cagliari;3/11/2021;"18";"14";"20";"15";"86";"16";"12";"26";"0";"1005";"0";"0";"pioggia temporale "
Cagliari;4/11/2021;"15";"11";"19";"11";"81";"20";"6";"9";"0";"1011";"0";"0";"pioggia "
Cagliari;5/11/2021;"13";"10";"18";"11";"85";"21";"5";"11";"0";"1014";"0";"0";"pioggia "
Cagliari;6/11/2021;"12";"9";"15";"11";"90";"20";"12";"24";"0";"1014";"0";"0";"pioggia temporale "
Cagliari;7/11/2021;"15";"12";"20";"12";"82";"21";"8";"28";"0";"1011";"0";"0";"pioggia "
Cagliari;8/11/2021;"17";"12";"20";"13";"80";"21";"11";"24";"0";"1009";"0";"0";"pioggia "
Cagliari;9/11/2021;"17";"15";"20";"13";"81";"17";"17";"31";"0";"1013";"0";"0";"pioggia temporale "
Cagliari;10/11/2021;"17";"15";"20";"13";"76";"20";"20";"39";"0";"1015";"0";"0";"pioggia temporale "
Cagliari;11/11/2021;"14";"10";"18";"12";"84";"21";"10";"22";"0";"1017";"0";"0";"pioggia "
Cagliari;12/11/2021;"16";"13";"19";"14";"84";"20";"11";"21";"0";"1015";"0";"0";"pioggia temporale "
Cagliari;13/11/2021;"18";"14";"22";"13";"76";"20";"12";"22";"0";"1015";"0";"0";"pioggia "
Cagliari;14/11/2021;"15";"13";"17";"13";"91";"13";"13";"24";"0";"1011";"0";"0";"pioggia temporale nebbia "
Cagliari;15/11/2021;"13";"10";"15";"11";"92";"17";"8";"26";"0";"1012";"0";"0";"pioggia temporale "
Cagliari;16/11/2021;"14";"11";"18";"11";"87";"19";"8";"18";"0";"1011";"0";"0";"pioggia temporale nebbia "
Cagliari;17/11/2021;"14";"10";"19";"11";"85";"19";"8";"13";"0";"1013";"0";"0";"pioggia "
Cagliari;18/11/2021;"13";"9";"19";"11";"86";"20";"8";"15";"0";"1021";"0";"0";""
Cagliari;19/11/2021;"14";"9";"20";"11";"86";"20";"9";"15";"0";"1027";"0";"0";""
Cagliari;20/11/2021;"12";"8";"19";"10";"90";"13";"9";"15";"0";"1024";"0";"0";"nebbia "
Cagliari;21/11/2021;"12";"8";"14";"11";"94";"11";"6";"15";"0";"1014";"0";"0";"pioggia "
Cagliari;22/11/2021;"14";"12";"17";"13";"92";"18";"7";"13";"0";"1008";"0";"0";"pioggia nebbia "
Cagliari;23/11/2021;"13";"8";"19";"11";"87";"16";"8";"17";"0";"1014";"0";"0";""
Cagliari;24/11/2021;"14";"9";"19";"12";"88";"19";"9";"17";"0";"1015";"0";"0";"pioggia temporale "
Cagliari;25/11/2021;"13";"11";"17";"11";"90";"21";"7";"18";"0";"1007";"0";"0";"pioggia temporale "
Cagliari;26/11/2021;"13";"10";"16";"9";"79";"20";"14";"33";"0";"1003";"0";"0";"pioggia "
Cagliari;27/11/2021;"12";"10";"15";"9";"83";"17";"10";"24";"0";"1001";"0";"0";"pioggia "
Cagliari;28/11/2021;"10";"8";"13";"7";"81";"18";"12";"22";"0";"1002";"0";"0";"pioggia "
Cagliari;29/11/2021;"7";"5";"10";"4";"85";"19";"13";"35";"0";"1006";"0";"0";"pioggia "
Cagliari;30/11/2021;"9";"4";"13";"4";"71";"18";"12";"24";"0";"1021";"0";"0";"pioggia "
