LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/10/2021;"22";"17";"27";"16";"68";"20";"9";"17";"0";"1019";"0";"0";""
Cagliari;2/10/2021;"22";"16";"27";"15";"68";"21";"10";"18";"0";"1017";"0";"0";""
Cagliari;3/10/2021;"21";"15";"26";"17";"77";"21";"13";"26";"0";"1016";"0";"0";""
Cagliari;4/10/2021;"26";"22";"29";"20";"72";"20";"18";"28";"0";"1014";"0";"0";""
Cagliari;5/10/2021;"22";"18";"27";"13";"61";"23";"12";"22";"0";"1018";"0";"0";""
Cagliari;6/10/2021;"19";"14";"24";"13";"70";"21";"15";"30";"0";"1018";"0";"0";"pioggia "
Cagliari;7/10/2021;"20";"17";"25";"10";"55";"19";"21";"31";"0";"1013";"0";"0";"pioggia "
Cagliari;8/10/2021;"18";"13";"24";"11";"66";"21";"11";"24";"0";"1014";"0";"0";""
Cagliari;9/10/2021;"18";"12";"25";"12";"71";"20";"9";"21";"0";"1016";"0";"0";"pioggia "
Cagliari;10/10/2021;"18";"13";"24";"9";"58";"20";"13";"21";"0";"1018";"0";"0";""
Cagliari;11/10/2021;"17";"10";"24";"9";"62";"20";"13";"24";"0";"1018";"0";"0";""
Cagliari;12/10/2021;"16";"10";"24";"11";"72";"19";"10";"21";"0";"1015";"0";"0";""
Cagliari;13/10/2021;"17";"13";"23";"11";"66";"20";"8";"22";"0";"1012";"0";"0";""
Cagliari;14/10/2021;"15";"10";"23";"7";"54";"18";"15";"22";"0";"1018";"0";"0";""
Cagliari;15/10/2021;"15";"8";"23";"4";"50";"19";"14";"28";"0";"1018";"0";"0";""
Cagliari;16/10/2021;"18";"14";"24";"13";"75";"20";"8";"22";"0";"1016";"0";"0";"pioggia "
Cagliari;17/10/2021;"16";"11";"22";"12";"78";"21";"10";"18";"0";"1018";"0";"0";""
Cagliari;18/10/2021;"17";"10";"24";"12";"75";"19";"11";"21";"0";"1023";"0";"0";""
Cagliari;19/10/2021;"17";"10";"23";"12";"74";"19";"9";"17";"0";"1028";"0";"0";""
Cagliari;20/10/2021;"18";"11";"22";"13";"77";"20";"12";"21";"0";"1026";"0";"0";""
Cagliari;21/10/2021;"20";"13";"25";"16";"77";"19";"11";"21";"0";"1018";"0";"0";""
Cagliari;22/10/2021;"17";"12";"25";"13";"80";"21";"10";"18";"0";"1015";"0";"0";""
Cagliari;23/10/2021;"18";"12";"24";"14";"80";"19";"11";"18";"0";"1017";"0";"0";""
Cagliari;24/10/2021;"18";"16";"22";"15";"86";"19";"12";"21";"0";"1017";"0";"0";"pioggia "
Cagliari;25/10/2021;"19";"16";"23";"14";"78";"20";"13";"21";"0";"1017";"0";"0";"pioggia "
Cagliari;26/10/2021;"17";"12";"24";"13";"80";"19";"10";"21";"0";"1019";"0";"0";""
Cagliari;27/10/2021;"17";"12";"21";"13";"77";"19";"9";"18";"0";"1020";"0";"0";""
Cagliari;28/10/2021;"16";"14";"19";"13";"84";"20";"7";"13";"0";"1019";"0";"0";"pioggia "
Cagliari;29/10/2021;"18";"14";"23";"14";"80";"22";"10";"18";"0";"1016";"0";"0";"pioggia "
Cagliari;30/10/2021;"16";"11";"21";"13";"85";"18";"9";"15";"0";"1016";"0";"0";"pioggia "
Cagliari;31/10/2021;"18";"16";"19";"17";"93";"11";"11";"30";"0";"1012";"0";"0";"pioggia nebbia "
