LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cagliari;1/9/2021;"25";"19";"29";"19";"68";"19";"15";"26";"0";"1017";"0";"0";""
Cagliari;2/9/2021;"27";"23";"30";"19";"62";"19";"14";"24";"0";"1018";"0";"0";""
Cagliari;3/9/2021;"26";"22";"30";"23";"82";"20";"13";"26";"0";"1015";"0";"0";"pioggia temporale "
Cagliari;4/9/2021;"26";"22";"30";"21";"73";"18";"13";"26";"0";"1013";"0";"0";"pioggia temporale "
Cagliari;5/9/2021;"24";"20";"28";"20";"77";"21";"11";"22";"0";"1016";"0";"0";""
Cagliari;6/9/2021;"24";"18";"30";"18";"71";"21";"13";"24";"0";"1019";"0";"0";""
Cagliari;7/9/2021;"25";"19";"30";"17";"66";"21";"11";"24";"0";"1020";"0";"0";"pioggia "
Cagliari;8/9/2021;"24";"19";"27";"19";"74";"19";"11";"18";"0";"1017";"0";"0";"pioggia "
Cagliari;9/9/2021;"25";"23";"29";"19";"66";"20";"21";"33";"0";"1014";"0";"0";"pioggia temporale "
Cagliari;10/9/2021;"23";"21";"27";"21";"86";"17";"9";"21";"0";"1013";"0";"0";"pioggia temporale "
Cagliari;11/9/2021;"24";"20";"31";"19";"74";"17";"13";"21";"0";"1015";"0";"0";"pioggia "
Cagliari;12/9/2021;"23";"20";"30";"18";"76";"20";"11";"22";"0";"1016";"0";"0";""
Cagliari;13/9/2021;"23";"18";"29";"19";"77";"21";"10";"18";"0";"1017";"0";"0";""
Cagliari;14/9/2021;"24";"18";"28";"19";"77";"21";"12";"18";"0";"1018";"0";"0";""
Cagliari;15/9/2021;"26";"23";"28";"22";"80";"20";"18";"22";"0";"1017";"0";"0";""
Cagliari;16/9/2021;"27";"25";"32";"22";"76";"20";"10";"18";"0";"1016";"0";"0";""
Cagliari;17/9/2021;"26";"23";"29";"19";"67";"20";"13";"24";"0";"1013";"0";"0";"pioggia "
Cagliari;18/9/2021;"24";"20";"29";"19";"77";"19";"11";"15";"0";"1013";"0";"0";""
Cagliari;19/9/2021;"24";"18";"31";"18";"70";"22";"16";"33";"0";"1015";"0";"0";""
Cagliari;20/9/2021;"22";"16";"27";"14";"64";"19";"17";"28";"0";"1017";"0";"0";""
Cagliari;21/9/2021;"21";"16";"26";"17";"78";"18";"10";"18";"0";"1019";"0";"0";"pioggia temporale "
Cagliari;22/9/2021;"24";"19";"28";"18";"73";"20";"10";"22";"0";"1018";"0";"0";""
Cagliari;23/9/2021;"23";"18";"28";"18";"74";"20";"12";"21";"0";"1019";"0";"0";""
Cagliari;24/9/2021;"25";"22";"29";"20";"75";"21";"17";"26";"0";"1017";"0";"0";""
Cagliari;25/9/2021;"26";"24";"28";"24";"86";"15";"16";"22";"0";"1017";"0";"0";""
Cagliari;26/9/2021;"26";"25";"30";"24";"87";"16";"15";"28";"0";"1019";"0";"0";""
Cagliari;27/9/2021;"26";"22";"31";"20";"73";"16";"16";"30";"0";"1017";"0";"0";""
Cagliari;28/9/2021;"23";"18";"30";"17";"70";"20";"12";"21";"0";"1018";"0";"0";""
Cagliari;29/9/2021;"22";"17";"29";"17";"72";"22";"19";"33";"0";"1019";"0";"0";""
Cagliari;30/9/2021;"21";"17";"27";"14";"68";"20";"14";"26";"0";"1021";"0";"0";""
