LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/8/2020;"29";"22";"33";"19";"59";"20";"10";"18";"0";"1012";"0";"0";""
Chieti;2/8/2020;"27";"22";"32";"20";"68";"20";"10";"24";"0";"1010";"0";"0";"pioggia "
Chieti;3/8/2020;"28";"20";"33";"19";"62";"21";"11";"22";"0";"1005";"0";"0";""
Chieti;4/8/2020;"28";"23";"34";"12";"38";"20";"18";"41";"0";"1004";"0";"0";""
Chieti;5/8/2020;"21";"18";"24";"16";"74";"19";"13";"24";"0";"1010";"0";"0";"pioggia "
Chieti;6/8/2020;"24";"21";"27";"16";"60";"21";"16";"26";"0";"1013";"0";"0";""
Chieti;7/8/2020;"26";"21";"30";"17";"56";"20";"13";"24";"0";"1015";"0";"0";""
Chieti;8/8/2020;"26";"21";"29";"17";"59";"20";"13";"30";"0";"1015";"0";"0";""
Chieti;9/8/2020;"26";"20";"31";"17";"59";"19";"11";"22";"0";"1015";"0";"0";""
Chieti;10/8/2020;"25";"19";"31";"17";"62";"19";"9";"18";"0";"1014";"0";"0";""
Chieti;11/8/2020;"25";"18";"32";"16";"61";"20";"10";"18";"0";"1015";"0";"0";""
Chieti;12/8/2020;"25";"19";"31";"18";"65";"23";"9";"17";"0";"1015";"0";"0";""
Chieti;13/8/2020;"27";"20";"32";"18";"62";"21";"9";"17";"0";"1015";"0";"0";""
Chieti;14/8/2020;"26";"20";"30";"20";"71";"23";"9";"21";"0";"1012";"0";"0";""
Chieti;15/8/2020;"26";"20";"30";"20";"70";"20";"10";"21";"0";"1012";"0";"0";""
Chieti;16/8/2020;"26";"20";"30";"20";"74";"21";"10";"21";"0";"1011";"0";"0";""
Chieti;17/8/2020;"26";"20";"32";"21";"73";"20";"9";"21";"0";"1010";"0";"0";""
Chieti;18/8/2020;"25";"20";"30";"19";"69";"21";"10";"22";"0";"1010";"0";"0";""
Chieti;19/8/2020;"24";"19";"28";"18";"71";"20";"11";"21";"0";"1011";"0";"0";""
Chieti;20/8/2020;"25";"18";"31";"17";"62";"19";"10";"21";"0";"1013";"0";"0";""
Chieti;21/8/2020;"26";"18";"32";"17";"61";"21";"10";"21";"0";"1016";"0";"0";""
Chieti;22/8/2020;"27";"19";"34";"17";"57";"21";"9";"21";"0";"1014";"0";"0";""
Chieti;23/8/2020;"26";"20";"32";"18";"63";"19";"9";"18";"0";"1011";"0";"0";""
Chieti;24/8/2020;"25";"20";"29";"20";"75";"19";"13";"22";"0";"1011";"0";"0";"pioggia "
Chieti;25/8/2020;"24";"18";"28";"19";"76";"21";"11";"22";"0";"1013";"0";"0";""
Chieti;26/8/2020;"25";"19";"31";"18";"68";"20";"10";"21";"0";"1014";"0";"0";""
Chieti;27/8/2020;"25";"19";"30";"19";"70";"19";"9";"18";"0";"1013";"0";"0";""
Chieti;28/8/2020;"26";"20";"30";"20";"72";"20";"9";"18";"0";"1009";"0";"0";""
Chieti;29/8/2020;"29";"21";"36";"15";"47";"20";"12";"28";"0";"1004";"0";"0";""
Chieti;30/8/2020;"31";"24";"38";"13";"38";"22";"16";"37";"0";"1007";"0";"0";"pioggia "
Chieti;31/8/2020;"22";"19";"25";"18";"76";"21";"9";"24";"0";"1011";"0";"0";"pioggia "
