LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/6/2020;"18";"12";"21";"11";"68";"20";"13";"26";"0";"1017";"0";"0";""
Chieti;2/6/2020;"19";"10";"24";"10";"62";"19";"10";"17";"0";"1014";"0";"0";""
Chieti;3/6/2020;"20";"10";"26";"11";"59";"21";"11";"22";"0";"1009";"0";"0";""
Chieti;4/6/2020;"23";"19";"27";"10";"44";"18";"14";"28";"0";"1004";"0";"0";"pioggia "
Chieti;5/6/2020;"20";"17";"22";"15";"72";"20";"9";"18";"0";"1000";"0";"0";"pioggia "
Chieti;6/6/2020;"20";"13";"25";"14";"71";"19";"8";"22";"0";"1007";"0";"0";""
Chieti;7/6/2020;"21";"14";"25";"16";"74";"21";"9";"18";"0";"1008";"0";"0";""
Chieti;8/6/2020;"21";"18";"24";"17";"82";"21";"8";"18";"0";"1007";"0";"0";"pioggia "
Chieti;9/6/2020;"19";"14";"24";"15";"81";"16";"9";"18";"0";"1010";"0";"0";"pioggia "
Chieti;10/6/2020;"20";"14";"24";"11";"58";"21";"13";"22";"0";"1010";"0";"0";"pioggia "
Chieti;11/6/2020;"19";"14";"24";"11";"62";"20";"14";"30";"0";"1010";"0";"0";"pioggia "
Chieti;12/6/2020;"19";"11";"24";"12";"67";"19";"10";"17";"0";"1013";"0";"0";""
Chieti;13/6/2020;"21";"12";"26";"14";"69";"21";"10";"21";"0";"1012";"0";"0";"pioggia "
Chieti;14/6/2020;"22";"19";"27";"13";"60";"19";"14";"26";"0";"1011";"0";"0";"pioggia "
Chieti;15/6/2020;"20";"17";"23";"17";"86";"19";"7";"15";"0";"1012";"0";"0";"pioggia "
Chieti;16/6/2020;"20";"17";"23";"17";"85";"19";"9";"18";"0";"1012";"0";"0";"pioggia "
Chieti;17/6/2020;"21";"15";"26";"15";"71";"19";"9";"18";"0";"1010";"0";"0";"pioggia "
Chieti;18/6/2020;"22";"15";"26";"15";"69";"19";"11";"26";"0";"1013";"0";"0";"pioggia "
Chieti;19/6/2020;"21";"14";"26";"15";"68";"19";"10";"22";"0";"1015";"0";"0";""
Chieti;20/6/2020;"20";"14";"25";"14";"69";"21";"12";"22";"0";"1015";"0";"0";""
Chieti;21/6/2020;"21";"15";"26";"13";"61";"20";"10";"17";"0";"1014";"0";"0";""
Chieti;22/6/2020;"22";"18";"26";"15";"66";"20";"11";"18";"0";"1015";"0";"0";"pioggia "
Chieti;23/6/2020;"24";"18";"28";"14";"55";"19";"13";"24";"0";"1017";"0";"0";""
Chieti;24/6/2020;"22";"15";"27";"11";"54";"20";"9";"17";"0";"1019";"0";"0";""
Chieti;25/6/2020;"22";"15";"30";"14";"61";"20";"9";"21";"0";"1018";"0";"0";""
Chieti;26/6/2020;"23";"16";"29";"15";"65";"20";"9";"17";"0";"1017";"0";"0";""
Chieti;27/6/2020;"23";"16";"28";"17";"70";"20";"9";"18";"0";"1016";"0";"0";""
Chieti;28/6/2020;"25";"18";"30";"17";"63";"20";"9";"18";"0";"1015";"0";"0";""
Chieti;29/6/2020;"28";"19";"36";"16";"53";"19";"11";"21";"0";"1011";"0";"0";""
Chieti;30/6/2020;"27";"19";"32";"17";"55";"21";"12";"24";"0";"1012";"0";"0";""
