LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/3/2020;"14";"7";"21";"6";"59";"21";"15";"33";"0";"1007";"0";"0";""
Chieti;2/3/2020;"18";"15";"22";"4";"38";"22";"23";"35";"0";"1002";"0";"0";"pioggia "
Chieti;3/3/2020;"14";"10";"17";"4";"44";"20";"28";"46";"0";"999";"0";"0";"pioggia "
Chieti;4/3/2020;"10";"5";"14";"4";"65";"19";"11";"22";"0";"1009";"0";"0";""
Chieti;5/3/2020;"9";"3";"14";"3";"67";"20";"10";"21";"0";"1011";"0";"0";""
Chieti;6/3/2020;"15";"8";"18";"6";"57";"20";"16";"37";"0";"1000";"0";"0";"pioggia "
Chieti;7/3/2020;"9";"4";"13";"6";"80";"20";"11";"24";"0";"1009";"0";"0";"pioggia "
Chieti;8/3/2020;"10";"3";"13";"3";"61";"20";"13";"21";"0";"1018";"0";"0";""
Chieti;9/3/2020;"7";"0";"14";"1";"63";"21";"8";"18";"0";"1014";"0";"0";""
Chieti;10/3/2020;"9";"3";"15";"4";"70";"22";"11";"18";"0";"1017";"0";"0";""
Chieti;11/3/2020;"11";"3";"21";"3";"62";"18";"9";"18";"0";"1019";"0";"0";""
Chieti;12/3/2020;"11";"4";"17";"7";"76";"19";"8";"17";"0";"1020";"0";"0";""
Chieti;13/3/2020;"10";"5";"18";"7";"84";"12";"8";"21";"0";"1016";"0";"0";""
Chieti;14/3/2020;"12";"6";"18";"7";"73";"17";"9";"17";"0";"1015";"0";"0";""
Chieti;15/3/2020;"11";"5";"14";"5";"64";"18";"11";"22";"0";"1022";"0";"0";"pioggia "
Chieti;16/3/2020;"9";"0";"15";"5";"68";"21";"9";"15";"0";"1027";"0";"0";""
Chieti;17/3/2020;"9";"3";"16";"5";"76";"19";"9";"13";"0";"1030";"0";"0";""
Chieti;18/3/2020;"10";"3";"17";"4";"71";"18";"11";"17";"0";"1028";"0";"0";""
Chieti;19/3/2020;"11";"5";"18";"7";"77";"15";"9";"18";"0";"1025";"0";"0";"nebbia "
Chieti;20/3/2020;"10";"4";"18";"7";"83";"12";"9";"18";"0";"1022";"0";"0";"pioggia "
Chieti;21/3/2020;"11";"5";"17";"8";"82";"15";"9";"17";"0";"1016";"0";"0";""
Chieti;22/3/2020;"11";"7";"15";"7";"78";"16";"12";"21";"0";"1016";"0";"0";""
Chieti;23/3/2020;"6";"3";"9";"2";"53";"21";"18";"31";"0";"1024";"0";"0";"pioggia "
Chieti;24/3/2020;"4";"2";"5";"1";"75";"19";"16";"28";"0";"1021";"0";"0";"pioggia neve "
Chieti;25/3/2020;"4";"1";"8";"2";"88";"15";"9";"18";"0";"1017";"0";"0";"pioggia neve "
Chieti;26/3/2020;"7";"4";"11";"6";"94";"7";"11";"26";"0";"1008";"0";"0";"pioggia neve "
Chieti;27/3/2020;"11";"10";"14";"10";"91";"12";"14";"26";"0";"1010";"0";"0";"pioggia "
Chieti;28/3/2020;"9";"6";"13";"9";"95";"12";"7";"13";"0";"1014";"0";"0";"pioggia "
Chieti;29/3/2020;"11";"3";"18";"5";"72";"19";"9";"18";"0";"1013";"0";"0";""
Chieti;30/3/2020;"11";"5";"16";"8";"80";"10";"8";"17";"0";"1013";"0";"0";"pioggia temporale "
Chieti;31/3/2020;"7";"4";"10";"4";"81";"10";"11";"18";"0";"1019";"0";"0";"pioggia "
