LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/10/2020;"18";"11";"24";"13";"73";"21";"10";"18";"0";"1009";"0";"0";""
Chieti;2/10/2020;"19";"12";"26";"12";"67";"22";"8";"21";"0";"1004";"0";"0";""
Chieti;3/10/2020;"25";"17";"31";"13";"50";"20";"11";"24";"0";"1000";"0";"0";""
Chieti;4/10/2020;"22";"17";"26";"8";"45";"20";"21";"41";"0";"1008";"0";"0";"pioggia "
Chieti;5/10/2020;"21";"17";"23";"11";"54";"18";"16";"42";"0";"1010";"0";"0";""
Chieti;6/10/2020;"18";"12";"23";"10";"60";"21";"10";"26";"0";"1015";"0";"0";""
Chieti;7/10/2020;"19";"14";"21";"12";"66";"19";"14";"30";"0";"1012";"0";"0";"pioggia "
Chieti;8/10/2020;"16";"10";"22";"10";"70";"20";"11";"17";"0";"1021";"0";"0";""
Chieti;9/10/2020;"15";"9";"23";"9";"71";"20";"8";"11";"0";"1022";"0";"0";""
Chieti;10/10/2020;"16";"10";"23";"10";"70";"20";"9";"17";"0";"1018";"0";"0";""
Chieti;11/10/2020;"16";"10";"22";"11";"74";"18";"10";"26";"0";"1011";"0";"0";"pioggia "
Chieti;12/10/2020;"14";"13";"16";"12";"86";"19";"8";"17";"0";"1008";"0";"0";"pioggia "
Chieti;13/10/2020;"14";"8";"17";"7";"68";"20";"10";"17";"0";"1009";"0";"0";"pioggia "
Chieti;14/10/2020;"15";"7";"22";"7";"65";"20";"7";"17";"0";"1009";"0";"0";"pioggia "
Chieti;15/10/2020;"17";"13";"22";"9";"65";"19";"17";"37";"0";"1005";"0";"0";"pioggia "
Chieti;16/10/2020;"16";"11";"21";"6";"53";"20";"13";"24";"0";"1011";"0";"0";""
Chieti;17/10/2020;"13";"8";"18";"8";"77";"21";"7";"11";"0";"1015";"0";"0";""
Chieti;18/10/2020;"13";"6";"19";"9";"78";"21";"8";"13";"0";"1020";"0";"0";""
Chieti;19/10/2020;"13";"6";"19";"9";"79";"19";"9";"15";"0";"1024";"0";"0";""
Chieti;20/10/2020;"13";"7";"20";"9";"79";"21";"9";"17";"0";"1025";"0";"0";""
Chieti;21/10/2020;"13";"6";"19";"8";"77";"20";"8";"13";"0";"1024";"0";"0";""
Chieti;22/10/2020;"13";"7";"20";"9";"81";"20";"9";"15";"0";"1025";"0";"0";""
Chieti;23/10/2020;"15";"7";"22";"10";"76";"19";"7";"13";"0";"1022";"0";"0";""
Chieti;24/10/2020;"14";"12";"18";"13";"91";"19";"6";"13";"0";"1017";"0";"0";"pioggia "
Chieti;25/10/2020;"14";"9";"21";"11";"83";"19";"6";"15";"0";"1015";"0";"0";"pioggia "
Chieti;26/10/2020;"16";"8";"25";"7";"64";"19";"11";"26";"0";"1011";"0";"0";""
Chieti;27/10/2020;"17";"12";"21";"10";"64";"19";"11";"30";"0";"1009";"0";"0";""
Chieti;28/10/2020;"13";"9";"19";"10";"80";"20";"9";"17";"0";"1016";"0";"0";""
Chieti;29/10/2020;"12";"6";"19";"8";"79";"20";"8";"15";"0";"1019";"0";"0";""
Chieti;30/10/2020;"13";"7";"21";"9";"80";"18";"8";"15";"0";"1023";"0";"0";""
Chieti;31/10/2020;"13";"7";"19";"10";"86";"13";"8";"15";"0";"1023";"0";"0";"nebbia "
