LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/9/2020;"21";"13";"25";"13";"62";"20";"10";"18";"0";"1012";"0";"0";""
Chieti;2/9/2020;"21";"15";"26";"15";"71";"18";"9";"17";"0";"1014";"0";"0";""
Chieti;3/9/2020;"22";"17";"26";"16";"71";"19";"10";"21";"0";"1020";"0";"0";"pioggia "
Chieti;4/9/2020;"22";"16";"28";"14";"67";"20";"12";"21";"0";"1025";"0";"0";""
Chieti;5/9/2020;"21";"14";"29";"13";"61";"20";"10";"17";"0";"1019";"0";"0";""
Chieti;6/9/2020;"23";"15";"29";"15";"66";"21";"9";"18";"0";"1013";"0";"0";""
Chieti;7/9/2020;"23";"16";"28";"17";"73";"19";"9";"17";"0";"1015";"0";"0";""
Chieti;8/9/2020;"23";"19";"27";"17";"71";"20";"10";"22";"0";"1023";"0";"0";""
Chieti;9/9/2020;"22";"17";"27";"16";"70";"19";"9";"15";"0";"1023";"0";"0";""
Chieti;10/9/2020;"23";"17";"28";"18";"74";"21";"9";"18";"0";"1016";"0";"0";""
Chieti;11/9/2020;"23";"18";"28";"18";"71";"20";"10";"17";"0";"1013";"0";"0";""
Chieti;12/9/2020;"23";"17";"28";"17";"73";"19";"11";"18";"0";"1016";"0";"0";""
Chieti;13/9/2020;"24";"18";"29";"17";"68";"21";"11";"22";"0";"1022";"0";"0";""
Chieti;14/9/2020;"23";"18";"29";"16";"67";"20";"10";"21";"0";"1023";"0";"0";""
Chieti;15/9/2020;"22";"16";"28";"17";"76";"21";"10";"18";"0";"1020";"0";"0";""
Chieti;16/9/2020;"23";"18";"29";"18";"75";"20";"10";"18";"0";"1017";"0";"0";""
Chieti;17/9/2020;"23";"18";"29";"16";"66";"18";"10";"21";"0";"1014";"0";"0";""
Chieti;18/9/2020;"23";"19";"27";"17";"68";"20";"12";"21";"0";"1017";"0";"0";""
Chieti;19/9/2020;"21";"16";"26";"16";"72";"21";"9";"18";"0";"1018";"0";"0";""
Chieti;20/9/2020;"21";"16";"26";"18";"80";"19";"9";"18";"0";"1016";"0";"0";"pioggia "
Chieti;21/9/2020;"21";"18";"26";"18";"84";"18";"10";"24";"0";"1016";"0";"0";"pioggia "
Chieti;22/9/2020;"21";"16";"26";"17";"81";"19";"8";"13";"0";"1014";"0";"0";"pioggia "
Chieti;23/9/2020;"22";"17";"29";"15";"69";"19";"10";"26";"0";"1011";"0";"0";"pioggia "
Chieti;24/9/2020;"22";"15";"28";"15";"64";"21";"11";"22";"0";"1012";"0";"0";""
Chieti;25/9/2020;"24";"17";"30";"13";"52";"20";"18";"42";"0";"1000";"0";"0";"pioggia "
Chieti;26/9/2020;"16";"12";"21";"7";"55";"19";"15";"33";"0";"999";"0";"0";"pioggia "
Chieti;27/9/2020;"14";"9";"19";"9";"74";"17";"8";"13";"0";"1003";"0";"0";"pioggia "
Chieti;28/9/2020;"16";"11";"20";"9";"68";"20";"11";"37";"0";"1007";"0";"0";"pioggia "
Chieti;29/9/2020;"15";"9";"22";"9";"69";"20";"9";"18";"0";"1016";"0";"0";""
Chieti;30/9/2020;"16";"10";"23";"11";"73";"20";"9";"17";"0";"1015";"0";"0";""
