LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/4/2021;"16";"6";"23";"8";"64";"19";"9";"17";"0";"1018";"0";"0";"pioggia "
Chieti;2/4/2021;"19";"12";"24";"9";"54";"20";"11";"22";"0";"1013";"0";"0";""
Chieti;3/4/2021;"15";"11";"21";"9";"70";"18";"14";"26";"0";"1011";"0";"0";"pioggia "
Chieti;4/4/2021;"11";"7";"13";"4";"64";"20";"13";"24";"0";"1017";"0";"0";""
Chieti;5/4/2021;"9";"2";"13";"2";"65";"19";"10";"17";"0";"1014";"0";"0";""
Chieti;6/4/2021;"11";"4";"19";"5";"66";"19";"20";"35";"0";"1002";"0";"0";"pioggia "
Chieti;7/4/2021;"7";"5";"10";"2";"58";"22";"14";"24";"0";"1013";"0";"0";"pioggia "
Chieti;8/4/2021;"7";"0";"13";"1";"54";"19";"11";"24";"0";"1026";"0";"0";""
Chieti;9/4/2021;"8";"-1";"16";"2";"61";"20";"11";"22";"0";"1027";"0";"0";""
Chieti;10/4/2021;"11";"3";"16";"5";"68";"21";"9";"17";"0";"1023";"0";"0";"pioggia "
Chieti;11/4/2021;"12";"8";"16";"8";"76";"20";"7";"15";"0";"1019";"0";"0";"pioggia "
Chieti;12/4/2021;"12";"8";"17";"9";"82";"19";"7";"21";"0";"1018";"0";"0";"pioggia "
Chieti;13/4/2021;"11";"8";"14";"8";"80";"21";"13";"30";"0";"1016";"0";"0";"pioggia "
Chieti;14/4/2021;"10";"7";"13";"2";"58";"20";"12";"21";"0";"1023";"0";"0";"pioggia "
Chieti;15/4/2021;"9";"7";"12";"3";"65";"20";"8";"17";"0";"1021";"0";"0";"pioggia "
Chieti;16/4/2021;"10";"5";"14";"4";"66";"19";"10";"18";"0";"1019";"0";"0";"pioggia "
Chieti;17/4/2021;"10";"5";"14";"3";"61";"21";"12";"21";"0";"1014";"0";"0";""
Chieti;18/4/2021;"11";"6";"14";"5";"68";"18";"10";"18";"0";"1015";"0";"0";"pioggia "
Chieti;19/4/2021;"11";"8";"14";"7";"78";"15";"9";"18";"0";"1015";"0";"0";"pioggia "
Chieti;20/4/2021;"11";"2";"16";"4";"69";"21";"9";"18";"0";"1016";"0";"0";""
Chieti;21/4/2021;"12";"4";"18";"6";"70";"19";"12";"26";"0";"1018";"0";"0";""
Chieti;22/4/2021;"13";"10";"16";"9";"76";"20";"8";"17";"0";"1018";"0";"0";""
Chieti;23/4/2021;"13";"8";"17";"10";"80";"20";"9";"21";"0";"1021";"0";"0";"pioggia "
Chieti;24/4/2021;"13";"6";"18";"5";"62";"19";"11";"21";"0";"1021";"0";"0";""
Chieti;25/4/2021;"12";"2";"19";"4";"59";"19";"11";"18";"0";"1017";"0";"0";""
Chieti;26/4/2021;"14";"6";"20";"9";"75";"20";"9";"21";"0";"1013";"0";"0";""
Chieti;27/4/2021;"15";"11";"18";"11";"82";"17";"10";"22";"0";"1007";"0";"0";""
Chieti;28/4/2021;"15";"13";"16";"12";"86";"19";"7";"13";"0";"1009";"0";"0";"pioggia "
Chieti;29/4/2021;"15";"10";"20";"12";"86";"15";"8";"22";"0";"1011";"0";"0";"pioggia "
Chieti;30/4/2021;"18";"13";"22";"13";"75";"19";"10";"17";"0";"1012";"0";"0";""
