LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/12/2021;"13";"7";"17";"4";"44";"21";"23";"37";"0";"1013";"0";"0";""
Chieti;2/12/2021;"14";"10";"17";"7";"65";"19";"17";"30";"0";"1001";"0";"0";"pioggia "
Chieti;3/12/2021;"10";"8";"12";"7";"86";"19";"7";"13";"0";"1007";"0";"0";"pioggia "
Chieti;4/12/2021;"8";"2";"15";"3";"75";"20";"9";"22";"0";"1011";"0";"0";""
Chieti;5/12/2021;"13";"4";"19";"5";"62";"21";"16";"37";"0";"1002";"0";"0";"pioggia "
Chieti;6/12/2021;"7";"4";"9";"4";"82";"18";"10";"18";"0";"1005";"0";"0";"pioggia "
Chieti;7/12/2021;"6";"2";"11";"1";"65";"22";"14";"22";"0";"1011";"0";"0";""
Chieti;8/12/2021;"6";"-2";"12";"4";"70";"20";"8";"18";"0";"1007";"0";"0";"pioggia "
Chieti;9/12/2021;"10";"5";"13";"4";"65";"20";"15";"35";"0";"1001";"0";"0";""
Chieti;10/12/2021;"7";"-1";"12";"3";"73";"20";"10";"28";"0";"1002";"0";"0";"pioggia "
Chieti;11/12/2021;"6";"3";"10";"4";"88";"20";"17";"33";"0";"1000";"0";"0";"pioggia "
Chieti;12/12/2021;"8";"3";"10";"3";"70";"20";"14";"24";"0";"1019";"0";"0";"pioggia "
Chieti;13/12/2021;"7";"1";"13";"3";"61";"22";"9";"15";"0";"1025";"0";"0";""
Chieti;14/12/2021;"8";"2";"14";"4";"80";"20";"11";"21";"0";"1025";"0";"0";""
Chieti;15/12/2021;"8";"3";"14";"5";"84";"20";"10";"17";"0";"1027";"0";"0";""
Chieti;16/12/2021;"9";"5";"12";"5";"77";"19";"8";"15";"0";"1028";"0";"0";""
Chieti;17/12/2021;"9";"3";"14";"5";"80";"19";"10";"18";"0";"1030";"0";"0";""
Chieti;18/12/2021;"6";"2";"11";"2";"75";"21";"9";"13";"0";"1031";"0";"0";"pioggia "
Chieti;19/12/2021;"6";"0";"15";"3";"75";"18";"9";"17";"0";"1023";"0";"0";""
Chieti;20/12/2021;"8";"-1";"14";"5";"79";"19";"5";"13";"0";"1018";"0";"0";"pioggia "
Chieti;21/12/2021;"9";"7";"11";"6";"82";"19";"5";"11";"0";"1023";"0";"0";"pioggia "
Chieti;22/12/2021;"7";"3";"10";"5";"86";"17";"6";"11";"0";"1024";"0";"0";""
Chieti;23/12/2021;"5";"0";"11";"4";"91";"9";"6";"11";"0";"1023";"0";"0";"nebbia "
Chieti;24/12/2021;"15";"2";"17";"5";"54";"19";"28";"37";"0";"1014";"0";"0";""
Chieti;25/12/2021;"17";"16";"19";"6";"49";"22";"21";"37";"0";"1009";"0";"0";""
Chieti;26/12/2021;"13";"11";"17";"10";"84";"10";"8";"18";"0";"1007";"0";"0";"pioggia "
Chieti;27/12/2021;"10";"7";"12";"9";"94";"16";"5";"11";"0";"1009";"0";"0";"pioggia "
Chieti;28/12/2021;"9";"5";"13";"9";"96";"9";"5";"11";"0";"1009";"0";"0";"pioggia nebbia "
Chieti;29/12/2021;"8";"4";"11";"8";"96";"9";"5";"11";"0";"1010";"0";"0";"nebbia "
Chieti;30/12/2021;"8";"5";"13";"7";"95";"6";"7";"15";"0";"1019";"0";"0";"pioggia nebbia "
Chieti;31/12/2021;"6";"3";"10";"6";"98";"5";"6";"15";"0";"1025";"0";"0";"pioggia nebbia "
