LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/2/2021;"10";"7";"13";"7";"83";"19";"6";"17";"0";"1000";"0";"0";"pioggia "
Chieti;2/2/2021;"10";"7";"12";"8";"88";"17";"7";"15";"0";"1011";"0";"0";""
Chieti;3/2/2021;"9";"6";"15";"7";"88";"10";"8";"15";"0";"1016";"0";"0";"nebbia "
Chieti;4/2/2021;"9";"4";"16";"8";"92";"8";"5";"13";"0";"1017";"0";"0";"nebbia "
Chieti;5/2/2021;"11";"8";"15";"9";"92";"11";"7";"13";"0";"1018";"0";"0";"pioggia nebbia "
Chieti;6/2/2021;"11";"10";"14";"9";"89";"11";"7";"15";"0";"1013";"0";"0";""
Chieti;7/2/2021;"14";"9";"20";"8";"73";"14";"13";"44";"0";"1001";"0";"0";"pioggia "
Chieti;8/2/2021;"15";"14";"17";"4";"45";"20";"23";"37";"0";"997";"0";"0";""
Chieti;9/2/2021;"14";"11";"18";"5";"54";"21";"20";"35";"0";"999";"0";"0";"pioggia "
Chieti;10/2/2021;"15";"10";"18";"6";"56";"20";"20";"41";"0";"1001";"0";"0";"pioggia "
Chieti;11/2/2021;"9";"4";"13";"6";"80";"19";"10";"21";"0";"1010";"0";"0";"pioggia "
Chieti;12/2/2021;"7";"4";"8";"3";"66";"19";"8";"15";"0";"1023";"0";"0";"pioggia "
Chieti;13/2/2021;"2";"0";"4";"2";"86";"17";"14";"24";"0";"1025";"0";"0";"pioggia neve "
Chieti;14/2/2021;"3";"1";"5";"0";"52";"21";"20";"35";"0";"1032";"0";"0";"pioggia "
Chieti;15/2/2021;"4";"-2";"8";"0";"56";"21";"10";"17";"0";"1037";"0";"0";""
Chieti;16/2/2021;"4";"-3";"12";"0";"55";"21";"8";"18";"0";"1028";"0";"0";""
Chieti;17/2/2021;"8";"-1";"16";"3";"64";"18";"8";"21";"0";"1023";"0";"0";""
Chieti;18/2/2021;"8";"1";"15";"4";"75";"20";"9";"18";"0";"1024";"0";"0";""
Chieti;19/2/2021;"8";"2";"16";"4";"78";"18";"10";"17";"0";"1025";"0";"0";""
Chieti;20/2/2021;"8";"2";"16";"4";"74";"20";"8";"17";"0";"1026";"0";"0";""
Chieti;21/2/2021;"8";"1";"15";"5";"85";"17";"9";"18";"0";"1027";"0";"0";"pioggia "
Chieti;22/2/2021;"8";"4";"13";"7";"91";"10";"8";"15";"0";"1031";"0";"0";"pioggia nebbia "
Chieti;23/2/2021;"9";"6";"13";"7";"88";"7";"8";"15";"0";"1036";"0";"0";"pioggia "
Chieti;24/2/2021;"9";"4";"17";"5";"77";"9";"9";"15";"0";"1034";"0";"0";""
Chieti;25/2/2021;"10";"4";"18";"4";"68";"15";"9";"15";"0";"1032";"0";"0";""
Chieti;26/2/2021;"10";"4";"17";"4";"70";"14";"9";"15";"0";"1028";"0";"0";""
Chieti;27/2/2021;"10";"3";"18";"4";"69";"16";"10";"18";"0";"1024";"0";"0";""
Chieti;28/2/2021;"9";"4";"13";"3";"70";"21";"9";"17";"0";"1030";"0";"0";""
