LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/1/2021;"5";"-2";"11";"3";"81";"20";"4";"8";"0";"1011";"0";"0";""
Chieti;2/1/2021;"8";"2";"15";"3";"73";"21";"13";"35";"0";"1007";"0";"0";"pioggia "
Chieti;3/1/2021;"10";"8";"13";"3";"59";"20";"12";"22";"0";"1009";"0";"0";""
Chieti;4/1/2021;"7";"2";"12";"3";"77";"20";"7";"13";"0";"1010";"0";"0";""
Chieti;5/1/2021;"6";"0";"11";"4";"84";"21";"7";"15";"0";"1009";"0";"0";"pioggia "
Chieti;6/1/2021;"9";"5";"13";"2";"50";"20";"18";"41";"0";"1011";"0";"0";""
Chieti;7/1/2021;"5";"0";"10";"2";"72";"18";"7";"13";"0";"1014";"0";"0";"pioggia "
Chieti;8/1/2021;"6";"5";"7";"4";"88";"20";"7";"11";"0";"1012";"0";"0";"pioggia "
Chieti;9/1/2021;"5";"4";"6";"5";"95";"15";"8";"18";"0";"1015";"0";"0";"pioggia "
Chieti;10/1/2021;"6";"5";"7";"5";"96";"8";"9";"15";"0";"1014";"0";"0";"pioggia "
Chieti;11/1/2021;"6";"5";"7";"1";"69";"21";"8";"15";"0";"1016";"0";"0";"pioggia "
Chieti;12/1/2021;"5";"0";"8";"2";"79";"19";"9";"17";"0";"1015";"0";"0";"pioggia "
Chieti;13/1/2021;"4";"-2";"11";"2";"82";"16";"8";"17";"0";"1014";"0";"0";""
Chieti;14/1/2021;;;;;;;;;;;;;
Chieti;15/1/2021;"7";"3";"9";"2";"65";"19";"9";"17";"0";"1015";"0";"0";"pioggia "
Chieti;16/1/2021;"4";"0";"6";"1";"74";"19";"11";"22";"0";"1020";"0";"0";"pioggia "
Chieti;17/1/2021;"2";"-3";"7";"1";"69";"23";"6";"17";"0";"1016";"0";"0";"pioggia "
Chieti;18/1/2021;"4";"0";"10";"2";"83";"20";"9";"13";"0";"1023";"0";"0";"pioggia "
Chieti;19/1/2021;"4";"-3";"14";"2";"72";"20";"8";"17";"0";"1025";"0";"0";""
Chieti;20/1/2021;"6";"-2";"15";"1";"68";"20";"7";"22";"0";"1022";"0";"0";""
Chieti;21/1/2021;"11";"2";"17";"3";"60";"21";"12";"26";"0";"1016";"0";"0";""
Chieti;22/1/2021;"15";"11";"18";"5";"49";"19";"16";"35";"0";"1007";"0";"0";"pioggia "
Chieti;23/1/2021;"12";"9";"15";"4";"54";"20";"22";"48";"0";"999";"0";"0";"pioggia "
Chieti;24/1/2021;"11";"5";"14";"4";"60";"19";"18";"35";"0";"997";"0";"0";"pioggia "
Chieti;25/1/2021;"9";"4";"12";"4";"64";"20";"17";"39";"0";"1002";"0";"0";"pioggia "
Chieti;26/1/2021;"6";"0";"10";"0";"57";"19";"14";"24";"0";"1013";"0";"0";""
Chieti;27/1/2021;"4";"-1";"10";"0";"62";"21";"7";"11";"0";"1017";"0";"0";""
Chieti;28/1/2021;"5";"-2";"13";"0";"58";"20";"10";"22";"0";"1014";"0";"0";""
Chieti;29/1/2021;"9";"0";"19";"5";"70";"17";"7";"28";"0";"1006";"0";"0";"pioggia "
Chieti;30/1/2021;"12";"2";"21";"4";"61";"12";"11";"26";"0";"1003";"0";"0";"pioggia nebbia "
Chieti;31/1/2021;"12";"8";"18";"7";"76";"20";"10";"26";"0";"995";"0";"0";"pioggia "
