LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/7/2021;"25";"17";"30";"15";"53";"22";"12";"28";"0";"1011";"0";"0";""
Chieti;2/7/2021;"25";"17";"29";"15";"56";"19";"10";"18";"0";"1013";"0";"0";""
Chieti;3/7/2021;"25";"18";"30";"14";"54";"18";"10";"22";"0";"1014";"0";"0";""
Chieti;4/7/2021;"25";"19";"30";"17";"62";"20";"10";"18";"0";"1010";"0";"0";"pioggia "
Chieti;5/7/2021;"25";"22";"29";"19";"68";"21";"12";"21";"0";"1011";"0";"0";""
Chieti;6/7/2021;"25";"18";"30";"17";"62";"19";"10";"18";"0";"1013";"0";"0";""
Chieti;7/7/2021;"27";"19";"32";"18";"61";"20";"11";"21";"0";"1014";"0";"0";""
Chieti;8/7/2021;"28";"21";"36";"19";"60";"20";"7";"17";"0";"1015";"0";"0";""
Chieti;9/7/2021;"28";"22";"32";"17";"54";"20";"12";"22";"0";"1016";"0";"0";""
Chieti;10/7/2021;"25";"19";"30";"17";"63";"19";"11";"18";"0";"1014";"0";"0";""
Chieti;11/7/2021;"26";"19";"32";"16";"55";"21";"10";"21";"0";"1012";"0";"0";""
Chieti;12/7/2021;"26";"18";"31";"17";"58";"20";"11";"21";"0";"1013";"0";"0";""
Chieti;13/7/2021;"29";"20";"37";"16";"52";"20";"9";"30";"0";"1007";"0";"0";""
Chieti;14/7/2021;"27";"22";"31";"17";"59";"19";"15";"33";"0";"1011";"0";"0";"pioggia "
Chieti;15/7/2021;"25";"18";"28";"16";"59";"19";"12";"24";"0";"1013";"0";"0";""
Chieti;16/7/2021;"23";"21";"27";"18";"72";"19";"12";"26";"0";"1012";"0";"0";"pioggia "
Chieti;17/7/2021;"20";"18";"23";"18";"87";"20";"9";"18";"0";"1009";"0";"0";"pioggia "
Chieti;18/7/2021;"24";"19";"28";"19";"75";"20";"15";"28";"0";"1007";"0";"0";""
Chieti;19/7/2021;"25";"21";"28";"18";"65";"20";"14";"24";"0";"1010";"0";"0";""
Chieti;20/7/2021;"25";"19";"30";"18";"64";"20";"11";"18";"0";"1014";"0";"0";"nebbia "
Chieti;21/7/2021;"25";"18";"30";"16";"60";"19";"10";"17";"0";"1017";"0";"0";""
Chieti;22/7/2021;"25";"19";"29";"16";"57";"20";"9";"17";"0";"1017";"0";"0";""
Chieti;23/7/2021;"25";"18";"30";"15";"57";"20";"10";"18";"0";"1015";"0";"0";""
Chieti;24/7/2021;"27";"19";"33";"17";"55";"20";"10";"22";"0";"1013";"0";"0";""
Chieti;25/7/2021;"29";"22";"37";"17";"54";"19";"10";"22";"0";"1010";"0";"0";""
Chieti;26/7/2021;"31";"26";"36";"14";"40";"19";"10";"28";"0";"1013";"0";"0";"pioggia "
Chieti;27/7/2021;"28";"22";"36";"17";"51";"19";"7";"18";"0";"1016";"0";"0";""
Chieti;28/7/2021;"30";"25";"33";"13";"37";"19";"12";"24";"0";"1013";"0";"0";""
Chieti;29/7/2021;"29";"22";"34";"13";"40";"20";"10";"21";"0";"1013";"0";"0";""
Chieti;30/7/2021;"28";"19";"35";"13";"43";"22";"10";"21";"0";"1011";"0";"0";""
Chieti;31/7/2021;"29";"22";"36";"18";"54";"19";"11";"22";"0";"1008";"0";"0";""
