LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/5/2021;"18";"11";"24";"13";"76";"20";"12";"31";"0";"1008";"0";"0";"pioggia "
Chieti;2/5/2021;"21";"18";"24";"9";"46";"19";"22";"46";"0";"1011";"0";"0";""
Chieti;3/5/2021;"15";"9";"19";"8";"64";"20";"11";"22";"0";"1019";"0";"0";""
Chieti;4/5/2021;"14";"6";"20";"9";"74";"19";"9";"15";"0";"1017";"0";"0";"pioggia "
Chieti;5/5/2021;"17";"8";"22";"10";"67";"20";"11";"26";"0";"1011";"0";"0";""
Chieti;6/5/2021;"19";"15";"22";"9";"54";"20";"17";"31";"0";"1013";"0";"0";""
Chieti;7/5/2021;"21";"14";"26";"10";"54";"20";"18";"35";"0";"1011";"0";"0";""
Chieti;8/5/2021;"16";"11";"19";"11";"75";"20";"9";"21";"0";"1018";"0";"0";""
Chieti;9/5/2021;"16";"9";"22";"10";"71";"22";"10";"18";"0";"1019";"0";"0";""
Chieti;10/5/2021;"17";"9";"22";"12";"76";"20";"9";"18";"0";"1017";"0";"0";""
Chieti;11/5/2021;"18";"11";"23";"14";"80";"22";"10";"21";"0";"1011";"0";"0";""
Chieti;12/5/2021;"19";"14";"24";"10";"56";"20";"17";"28";"0";"1009";"0";"0";""
Chieti;13/5/2021;"19";"14";"24";"8";"50";"20";"20";"31";"0";"1007";"0";"0";"pioggia "
Chieti;14/5/2021;"18";"13";"22";"6";"45";"20";"17";"30";"0";"1009";"0";"0";"pioggia "
Chieti;15/5/2021;"17";"13";"19";"10";"66";"20";"11";"22";"0";"1011";"0";"0";"pioggia "
Chieti;16/5/2021;"19";"15";"23";"10";"59";"19";"12";"21";"0";"1010";"0";"0";"pioggia "
Chieti;17/5/2021;"20";"14";"26";"12";"61";"19";"12";"24";"0";"1007";"0";"0";""
Chieti;18/5/2021;"17";"8";"25";"8";"63";"19";"12";"22";"0";"1013";"0";"0";""
Chieti;19/5/2021;"17";"13";"24";"10";"66";"20";"15";"30";"0";"1012";"0";"0";"pioggia "
Chieti;20/5/2021;"16";"9";"21";"7";"59";"19";"11";"21";"0";"1018";"0";"0";""
Chieti;21/5/2021;"17";"6";"25";"5";"50";"20";"14";"28";"0";"1019";"0";"0";""
Chieti;22/5/2021;"19";"14";"22";"10";"55";"20";"11";"26";"0";"1014";"0";"0";""
Chieti;23/5/2021;"18";"11";"24";"13";"73";"19";"9";"18";"0";"1016";"0";"0";""
Chieti;24/5/2021;"19";"16";"24";"16";"82";"21";"10";"21";"0";"1015";"0";"0";""
Chieti;25/5/2021;"20";"15";"23";"15";"73";"17";"11";"26";"0";"1018";"0";"0";""
Chieti;26/5/2021;"20";"15";"23";"13";"66";"20";"9";"18";"0";"1017";"0";"0";""
Chieti;27/5/2021;"18";"11";"24";"12";"70";"19";"9";"17";"0";"1015";"0";"0";""
Chieti;28/5/2021;"19";"12";"23";"11";"63";"21";"11";"22";"0";"1018";"0";"0";""
Chieti;29/5/2021;"18";"10";"23";"10";"63";"21";"9";"18";"0";"1017";"0";"0";"pioggia "
Chieti;30/5/2021;"18";"15";"21";"12";"71";"20";"9";"15";"0";"1018";"0";"0";"pioggia "
Chieti;31/5/2021;"17";"10";"21";"10";"65";"21";"11";"21";"0";"1019";"0";"0";""
