LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Chieti;1/11/2021;"16";"14";"18";"14";"89";"11";"5";"13";"0";"1006";"0";"0";"pioggia "
Chieti;2/11/2021;"17";"12";"25";"12";"76";"18";"8";"30";"0";"1004";"0";"0";""
Chieti;3/11/2021;"17";"13";"22";"9";"64";"20";"8";"24";"0";"1005";"0";"0";"pioggia "
Chieti;4/11/2021;"17";"13";"21";"9";"63";"19";"12";"30";"0";"1007";"0";"0";"pioggia "
Chieti;5/11/2021;"13";"12";"14";"10";"84";"18";"9";"15";"0";"1017";"0";"0";"pioggia "
Chieti;6/11/2021;"13";"12";"14";"12";"95";"16";"8";"11";"0";"1022";"0";"0";"pioggia "
Chieti;7/11/2021;"13";"12";"15";"12";"95";"15";"5";"9";"0";"1019";"0";"0";"pioggia "
Chieti;8/11/2021;"14";"14";"15";"14";"97";"8";"4";"8";"0";"1014";"0";"0";"pioggia "
Chieti;9/11/2021;"14";"14";"15";"13";"93";"19";"5";"9";"0";"1022";"0";"0";"pioggia "
Chieti;10/11/2021;"15";"14";"16";"14";"94";"15";"4";"9";"0";"1026";"0";"0";"pioggia "
Chieti;11/11/2021;"14";"14";"15";"14";"96";"7";"4";"9";"0";"1023";"0";"0";"pioggia "
Chieti;12/11/2021;"15";"13";"17";"13";"93";"7";"4";"8";"0";"1019";"0";"0";"nebbia "
Chieti;13/11/2021;"14";"12";"17";"13";"93";"8";"6";"11";"0";"1018";"0";"0";"pioggia nebbia "
Chieti;14/11/2021;"12";"7";"17";"11";"93";"10";"8";"15";"0";"1015";"0";"0";"nebbia "
Chieti;15/11/2021;"14";"10";"18";"13";"93";"12";"6";"11";"0";"1016";"0";"0";"pioggia nebbia "
Chieti;16/11/2021;"15";"12";"18";"14";"93";"16";"12";"24";"0";"1015";"0";"0";"pioggia "
Chieti;17/11/2021;"13";"12";"15";"12";"95";"16";"6";"13";"0";"1018";"0";"0";"pioggia "
Chieti;18/11/2021;"14";"13";"15";"13";"93";"13";"9";"18";"0";"1023";"0";"0";"pioggia "
Chieti;19/11/2021;"13";"9";"17";"11";"86";"14";"8";"18";"0";"1028";"0";"0";""
Chieti;20/11/2021;"10";"5";"14";"9";"94";"13";"7";"13";"0";"1024";"0";"0";"nebbia "
Chieti;21/11/2021;"12";"9";"14";"10";"90";"16";"6";"13";"0";"1014";"0";"0";""
Chieti;22/11/2021;"12";"7";"16";"10";"91";"14";"7";"11";"0";"1011";"0";"0";""
Chieti;23/11/2021;"12";"11";"14";"11";"93";"14";"9";"21";"0";"1018";"0";"0";"pioggia "
Chieti;24/11/2021;"12";"9";"13";"10";"89";"20";"5";"11";"0";"1021";"0";"0";""
Chieti;25/11/2021;"12";"9";"15";"10";"92";"13";"5";"9";"0";"1010";"0";"0";"pioggia "
Chieti;26/11/2021;"11";"7";"15";"9";"86";"12";"12";"37";"0";"998";"0";"0";"pioggia nebbia "
Chieti;27/11/2021;"14";"13";"17";"4";"51";"21";"22";"33";"0";"997";"0";"0";""
Chieti;28/11/2021;"12";"9";"16";"4";"54";"19";"16";"31";"0";"995";"0";"0";""
Chieti;29/11/2021;"8";"5";"11";"3";"69";"18";"14";"31";"0";"998";"0";"0";"pioggia "
Chieti;30/11/2021;"9";"4";"12";"2";"51";"19";"13";"28";"0";"1016";"0";"0";"pioggia "
