LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/4/2020;"11";"4";"14";"7";"79";"18";"16";"31";"0";"1013";"0";"0";"pioggia temporale "
Cosenza;2/4/2020;"9";"3";"15";"3";"68";"21";"18";"33";"0";"1014";"0";"0";""
Cosenza;3/4/2020;"10";"9";"12";"7";"80";"16";"23";"31";"0";"1011";"0";"0";"pioggia "
Cosenza;4/4/2020;"13";"10";"16";"8";"68";"19";"16";"26";"0";"1011";"0";"0";"pioggia "
Cosenza;5/4/2020;"12";"6";"17";"9";"80";"20";"10";"26";"0";"1015";"0";"0";"pioggia "
Cosenza;6/4/2020;"14";"10";"18";"9";"76";"20";"9";"17";"0";"1021";"0";"0";""
Cosenza;7/4/2020;"11";"2";"17";"9";"86";"20";"10";"17";"0";"1024";"0";"0";""
Cosenza;8/4/2020;"12";"4";"17";"9";"83";"19";"11";"17";"0";"1024";"0";"0";""
Cosenza;9/4/2020;"12";"5";"17";"10";"87";"21";"11";"18";"0";"1022";"0";"0";""
Cosenza;10/4/2020;"13";"8";"17";"11";"88";"20";"9";"21";"0";"1022";"0";"0";""
Cosenza;11/4/2020;"13";"7";"18";"11";"88";"21";"8";"17";"0";"1022";"0";"0";""
Cosenza;12/4/2020;"14";"8";"18";"12";"88";"20";"9";"17";"0";"1022";"0";"0";""
Cosenza;13/4/2020;"15";"7";"21";"9";"72";"18";"12";"22";"0";"1018";"0";"0";""
Cosenza;14/4/2020;"16";"12";"19";"9";"64";"19";"22";"41";"0";"1010";"0";"0";""
Cosenza;15/4/2020;"15";"9";"20";"9";"68";"20";"14";"28";"0";"1017";"0";"0";""
Cosenza;16/4/2020;"13";"6";"19";"7";"68";"20";"13";"26";"0";"1023";"0";"0";""
Cosenza;17/4/2020;"12";"5";"18";"9";"84";"18";"10";"18";"0";"1020";"0";"0";""
Cosenza;18/4/2020;"13";"5";"19";"9";"79";"22";"9";"17";"0";"1019";"0";"0";""
Cosenza;19/4/2020;"17";"8";"23";"11";"72";"21";"8";"15";"0";"1014";"0";"0";""
Cosenza;20/4/2020;"16";"13";"19";"13";"84";"12";"24";"41";"0";"1009";"0";"0";"pioggia "
Cosenza;21/4/2020;"16";"13";"19";"12";"76";"21";"20";"30";"0";"1007";"0";"0";"pioggia "
Cosenza;22/4/2020;"16";"14";"18";"16";"97";"7";"8";"15";"0";"1011";"0";"0";"pioggia "
Cosenza;23/4/2020;"16";"12";"19";"14";"91";"17";"8";"17";"0";"1014";"0";"0";"pioggia "
Cosenza;24/4/2020;"16";"11";"19";"13";"84";"20";"12";"22";"0";"1015";"0";"0";""
Cosenza;25/4/2020;"15";"9";"19";"12";"85";"20";"11";"21";"0";"1013";"0";"0";""
Cosenza;26/4/2020;"14";"8";"20";"11";"83";"21";"8";"22";"0";"1011";"0";"0";""
Cosenza;27/4/2020;"16";"9";"20";"12";"80";"20";"11";"22";"0";"1014";"0";"0";""
Cosenza;28/4/2020;"16";"9";"20";"14";"89";"21";"10";"22";"0";"1016";"0";"0";""
Cosenza;29/4/2020;"18";"15";"20";"16";"88";"22";"21";"33";"0";"1014";"0";"0";""
Cosenza;30/4/2020;"18";"15";"20";"14";"80";"20";"20";"28";"0";"1015";"0";"0";""
