LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/2/2020;"12";"7";"16";"10";"89";"20";"11";"18";"0";"1022";"0";"0";""
Cosenza;2/2/2020;"14";"13";"16";"12";"88";"20";"13";"28";"0";"1022";"0";"0";"pioggia "
Cosenza;3/2/2020;"15";"14";"17";"13";"90";"21";"16";"24";"0";"1021";"0";"0";""
Cosenza;4/2/2020;"15";"14";"17";"13";"88";"21";"17";"57";"0";"1014";"0";"0";""
Cosenza;5/2/2020;"10";"8";"14";"3";"56";"16";"30";"52";"0";"1005";"0";"0";"pioggia "
Cosenza;6/2/2020;"9";"4";"12";"0";"37";"20";"15";"28";"0";"1017";"0";"0";""
Cosenza;7/2/2020;"7";"-1";"13";"1";"60";"21";"12";"26";"0";"1026";"0";"0";""
Cosenza;8/2/2020;"8";"1";"15";"5";"83";"20";"10";"15";"0";"1028";"0";"0";""
Cosenza;9/2/2020;"8";"2";"15";"5";"81";"18";"10";"21";"0";"1032";"0";"0";""
Cosenza;10/2/2020;"12";"2";"16";"10";"87";"19";"21";"42";"0";"1028";"0";"0";"pioggia "
Cosenza;11/2/2020;"15";"15";"16";"14";"93";"10";"28";"31";"0";"1019";"0";"0";""
Cosenza;12/2/2020;"15";"14";"17";"13";"87";"10";"21";"33";"0";"1019";"0";"0";"pioggia "
Cosenza;13/2/2020;"13";"8";"19";"10";"80";"18";"7";"18";"0";"1023";"0";"0";"pioggia "
Cosenza;14/2/2020;"13";"7";"16";"10";"85";"16";"17";"37";"0";"1018";"0";"0";"pioggia temporale "
Cosenza;15/2/2020;"12";"5";"16";"7";"73";"19";"12";"26";"0";"1023";"0";"0";""
Cosenza;16/2/2020;"10";"4";"16";"8";"86";"19";"11";"18";"0";"1029";"0";"0";""
Cosenza;17/2/2020;"11";"4";"15";"8";"83";"24";"12";"21";"0";"1028";"0";"0";""
Cosenza;18/2/2020;"14";"12";"15";"9";"71";"21";"21";"30";"0";"1024";"0";"0";""
Cosenza;19/2/2020;"14";"12";"15";"10";"79";"20";"22";"39";"0";"1021";"0";"0";"pioggia "
Cosenza;20/2/2020;"13";"6";"15";"6";"65";"20";"20";"35";"0";"1019";"0";"0";"pioggia "
Cosenza;21/2/2020;"9";"0";"15";"6";"67";"22";"16";"33";"0";"1024";"0";"0";""
Cosenza;22/2/2020;"10";"3";"17";"4";"60";"20";"15";"33";"0";"1027";"0";"0";""
Cosenza;23/2/2020;"10";"0";"16";"9";"77";"21";"17";"31";"0";"1030";"0";"0";""
Cosenza;24/2/2020;"14";"10";"16";"10";"78";"20";"20";"30";"0";"1023";"0";"0";""
Cosenza;25/2/2020;"11";"5";"16";"9";"89";"20";"10";"21";"0";"1017";"0";"0";""
Cosenza;26/2/2020;"12";"4";"16";"9";"85";"18";"21";"39";"0";"1010";"0";"0";""
Cosenza;27/2/2020;"12";"9";"15";"6";"56";"19";"38";"85";"0";"1014";"0";"0";"pioggia temporale "
Cosenza;28/2/2020;"14";"10";"17";"10";"79";"15";"27";"46";"0";"1015";"0";"0";"pioggia "
Cosenza;29/2/2020;"11";"6";"17";"6";"72";"21";"11";"17";"0";"1020";"0";"0";""
