LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/8/2021;"30";"20";"39";"18";"55";"20";"8";"18";"0";"1011";"0";"0";""
Cosenza;2/8/2021;"29";"24";"32";"24";"77";"20";"16";"31";"0";"1014";"0";"0";""
Cosenza;3/8/2021;"26";"20";"32";"20";"71";"19";"13";"28";"0";"1015";"0";"0";""
Cosenza;4/8/2021;"30";"20";"41";"16";"47";"21";"12";"22";"0";"1013";"0";"0";""
Cosenza;5/8/2021;"28";"23";"31";"20";"64";"21";"22";"35";"0";"1012";"0";"0";""
Cosenza;6/8/2021;"27";"25";"30";"20";"64";"20";"22";"30";"0";"1011";"0";"0";""
Cosenza;7/8/2021;"26";"18";"31";"19";"68";"19";"10";"21";"0";"1012";"0";"0";""
Cosenza;8/8/2021;"29";"21";"37";"17";"52";"19";"13";"26";"0";"1014";"0";"0";""
Cosenza;9/8/2021;"28";"20";"33";"21";"69";"20";"10";"28";"0";"1017";"0";"0";""
Cosenza;10/8/2021;"28";"20";"36";"18";"60";"20";"10";"28";"0";"1017";"0";"0";""
Cosenza;11/8/2021;"28";"20";"35";"19";"62";"19";"10";"26";"0";"1014";"0";"0";""
Cosenza;12/8/2021;"27";"22";"31";"23";"80";"19";"10";"22";"0";"1016";"0";"0";""
Cosenza;13/8/2021;"27";"22";"31";"24";"81";"20";"11";"24";"0";"1019";"0";"0";""
Cosenza;14/8/2021;"27";"20";"32";"23";"79";"21";"10";"21";"0";"1018";"0";"0";""
Cosenza;15/8/2021;"27";"20";"32";"22";"75";"19";"11";"22";"0";"1016";"0";"0";""
Cosenza;16/8/2021;"28";"24";"31";"23";"76";"20";"12";"24";"0";"1014";"0";"0";""
Cosenza;17/8/2021;"27";"20";"34";"20";"70";"17";"11";"22";"0";"1011";"0";"0";""
Cosenza;18/8/2021;"28";"26";"30";"21";"67";"18";"21";"30";"0";"1011";"0";"0";""
Cosenza;19/8/2021;"27";"21";"30";"20";"67";"19";"15";"26";"0";"1012";"0";"0";""
Cosenza;20/8/2021;"26";"20";"31";"20";"72";"20";"12";"22";"0";"1014";"0";"0";""
Cosenza;21/8/2021;"26";"20";"30";"20";"71";"20";"12";"28";"0";"1016";"0";"0";""
Cosenza;22/8/2021;"27";"20";"31";"21";"72";"20";"15";"26";"0";"1017";"0";"0";""
Cosenza;23/8/2021;"27";"23";"30";"21";"70";"20";"14";"28";"0";"1015";"0";"0";""
Cosenza;24/8/2021;"26";"20";"31";"20";"71";"20";"9";"21";"0";"1013";"0";"0";""
Cosenza;25/8/2021;"26";"17";"33";"17";"64";"21";"10";"24";"0";"1012";"0";"0";""
Cosenza;26/8/2021;"25";"20";"30";"19";"71";"20";"10";"17";"0";"1011";"0";"0";"pioggia "
Cosenza;27/8/2021;"25";"20";"29";"20";"75";"20";"14";"24";"0";"1011";"0";"0";""
Cosenza;28/8/2021;"25";"18";"29";"20";"72";"19";"15";"28";"0";"1010";"0";"0";""
Cosenza;29/8/2021;"24";"20";"28";"20";"80";"20";"11";"22";"0";"1009";"0";"0";"pioggia "
Cosenza;30/8/2021;"23";"18";"28";"17";"71";"20";"13";"22";"0";"1013";"0";"0";""
Cosenza;31/8/2021;"23";"16";"28";"17";"68";"20";"15";"26";"0";"1016";"0";"0";""
