LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/12/2021;"13";"10";"16";"7";"66";"21";"15";"26";"0";"1019";"0";"0";""
Cosenza;2/12/2021;"12";"8";"19";"9";"82";"19";"9";"21";"0";"1010";"0";"0";"pioggia "
Cosenza;3/12/2021;"11";"8";"16";"9";"86";"18";"11";"17";"0";"1005";"0";"0";"pioggia temporale "
Cosenza;4/12/2021;"13";"9";"16";"8";"71";"22";"18";"37";"0";"1012";"0";"0";"pioggia "
Cosenza;5/12/2021;"14";"12";"18";"11";"79";"20";"15";"31";"0";"1009";"0";"0";"pioggia "
Cosenza;6/12/2021;"10";"8";"12";"9";"92";"18";"9";"21";"0";"1002";"0";"0";"pioggia temporale "
Cosenza;7/12/2021;"10";"7";"13";"5";"66";"20";"20";"46";"0";"1007";"0";"0";"pioggia "
Cosenza;8/12/2021;"10";"3";"15";"4";"69";"21";"7";"17";"0";"1013";"0";"0";""
Cosenza;9/12/2021;"10";"7";"13";"8";"85";"15";"20";"41";"0";"1007";"0";"0";"pioggia "
Cosenza;10/12/2021;"10";"7";"14";"7";"79";"16";"13";"33";"0";"1008";"0";"0";"pioggia "
Cosenza;11/12/2021;"10";"6";"15";"7";"81";"14";"19";"42";"0";"1000";"0";"0";"pioggia "
Cosenza;12/12/2021;"9";"5";"14";"6";"82";"21";"7";"13";"0";"1013";"0";"0";"pioggia "
Cosenza;13/12/2021;"10";"3";"14";"3";"67";"19";"13";"28";"0";"1021";"0";"0";""
Cosenza;14/12/2021;"10";"3";"15";"3";"64";"21";"11";"28";"0";"1020";"0";"0";""
Cosenza;15/12/2021;"7";"2";"14";"3";"79";"18";"10";"15";"0";"1023";"0";"0";""
Cosenza;16/12/2021;"10";"4";"15";"3";"68";"20";"10";"17";"0";"1025";"0";"0";""
Cosenza;17/12/2021;"10";"2";"14";"4";"71";"20";"14";"22";"0";"1025";"0";"0";""
Cosenza;18/12/2021;"10";"5";"13";"4";"46";"20";"14";"30";"0";"1023";"0";"0";""
Cosenza;19/12/2021;"9";"1";"13";"3";"59";"21";"16";"31";"0";"1022";"0";"0";""
Cosenza;20/12/2021;"13";"10";"15";"8";"72";"20";"20";"30";"0";"1018";"0";"0";"pioggia "
Cosenza;21/12/2021;"10";"8";"13";"7";"83";"18";"16";"24";"0";"1022";"0";"0";"pioggia "
Cosenza;22/12/2021;"11";"9";"13";"7";"78";"20";"17";"21";"0";"1023";"0";"0";"pioggia "
Cosenza;23/12/2021;"10";"5";"16";"5";"72";"21";"15";"22";"0";"1024";"0";"0";""
Cosenza;24/12/2021;"11";"5";"14";"8";"79";"20";"11";"21";"0";"1021";"0";"0";"pioggia "
Cosenza;25/12/2021;"11";"4";"19";"7";"81";"20";"10";"13";"0";"1016";"0";"0";""
Cosenza;26/12/2021;"11";"6";"21";"7";"80";"18";"8";"11";"0";"1012";"0";"0";""
Cosenza;27/12/2021;"14";"12";"17";"13";"92";"13";"10";"18";"0";"1012";"0";"0";"pioggia "
Cosenza;28/12/2021;"14";"12";"16";"12";"91";"17";"15";"31";"0";"1009";"0";"0";"pioggia "
Cosenza;29/12/2021;"15";"11";"16";"13";"91";"22";"19";"28";"0";"1010";"0";"0";"pioggia "
Cosenza;30/12/2021;"11";"7";"16";"9";"85";"20";"12";"26";"0";"1015";"0";"0";""
Cosenza;31/12/2021;"11";"4";"16";"8";"83";"19";"10";"21";"0";"1024";"0";"0";""
