LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/1/2021;"10";"6";"15";"7";"81";"19";"12";"18";"0";"1015";"0";"0";"pioggia "
Cosenza;2/1/2021;"12";"7";"15";"10";"86";"18";"18";"30";"0";"1012";"0";"0";"pioggia "
Cosenza;3/1/2021;"10";"5";"17";"6";"81";"20";"10";"18";"0";"1013";"0";"0";""
Cosenza;4/1/2021;"9";"5";"11";"7";"86";"18";"10";"24";"0";"1012";"0";"0";"pioggia neve "
Cosenza;5/1/2021;"9";"5";"15";"5";"79";"19";"9";"13";"0";"1014";"0";"0";"pioggia "
Cosenza;6/1/2021;"10";"5";"18";"6";"77";"18";"9";"15";"0";"1016";"0";"0";""
Cosenza;7/1/2021;"13";"9";"18";"10";"80";"20";"14";"24";"0";"1012";"0";"0";"pioggia "
Cosenza;8/1/2021;"15";"9";"20";"11";"80";"20";"9";"26";"0";"1008";"0";"0";"pioggia "
Cosenza;9/1/2021;"13";"12";"15";"11";"86";"19";"30";"46";"0";"1011";"0";"0";"pioggia "
Cosenza;10/1/2021;"16";"13";"20";"14";"85";"18";"28";"41";"0";"1008";"0";"0";"pioggia "
Cosenza;11/1/2021;"14";"11";"17";"12";"86";"17";"12";"21";"0";"1012";"0";"0";"pioggia "
Cosenza;12/1/2021;"10";"7";"12";"8";"93";"20";"7";"17";"0";"1012";"0";"0";"pioggia "
Cosenza;13/1/2021;"12";"9";"14";"8";"78";"18";"23";"35";"0";"1014";"0";"0";"pioggia "
Cosenza;14/1/2021;;;;;;;;;;;;;
Cosenza;15/1/2021;"6";"4";"9";"5";"92";"15";"29";"39";"0";"1011";"0";"0";"pioggia "
Cosenza;16/1/2021;"7";"4";"10";"3";"62";"19";"18";"28";"0";"1014";"0";"0";"pioggia "
Cosenza;17/1/2021;"5";"-2";"11";"5";"74";"20";"11";"22";"0";"1016";"0";"0";"pioggia "
Cosenza;18/1/2021;"8";"0";"12";"3";"66";"21";"15";"33";"0";"1019";"0";"0";"pioggia "
Cosenza;19/1/2021;"6";"-2";"12";"4";"75";"20";"11";"22";"0";"1028";"0";"0";"pioggia "
Cosenza;20/1/2021;"7";"1";"15";"4";"81";"19";"8";"15";"0";"1027";"0";"0";""
Cosenza;21/1/2021;"10";"4";"18";"5";"72";"19";"10";"17";"0";"1022";"0";"0";""
Cosenza;22/1/2021;"12";"5";"18";"7";"74";"18";"9";"15";"0";"1017";"0";"0";""
Cosenza;23/1/2021;"12";"8";"16";"8";"77";"21";"19";"42";"0";"1009";"0";"0";"pioggia "
Cosenza;24/1/2021;"14";"11";"16";"9";"73";"18";"24";"52";"0";"1006";"0";"0";"pioggia "
Cosenza;25/1/2021;"14";"11";"16";"8";"66";"20";"30";"48";"0";"1009";"0";"0";"pioggia "
Cosenza;26/1/2021;"11";"2";"14";"8";"66";"19";"21";"37";"0";"1009";"0";"0";"pioggia "
Cosenza;27/1/2021;"7";"1";"12";"1";"53";"20";"12";"28";"0";"1016";"0";"0";""
Cosenza;28/1/2021;"9";"4";"13";"4";"72";"21";"10";"21";"0";"1017";"0";"0";"pioggia "
Cosenza;29/1/2021;"14";"10";"16";"13";"93";"19";"19";"31";"0";"1012";"0";"0";"pioggia "
Cosenza;30/1/2021;"14";"7";"17";"11";"83";"17";"19";"31";"0";"1008";"0";"0";"pioggia "
Cosenza;31/1/2021;"12";"8";"14";"10";"88";"21";"15";"48";"0";"1001";"0";"0";"pioggia "
