LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/6/2021;"18";"11";"23";"13";"76";"20";"13";"28";"0";"1017";"0";"0";""
Cosenza;2/6/2021;"19";"12";"26";"10";"60";"19";"17";"26";"0";"1019";"0";"0";""
Cosenza;3/6/2021;"20";"11";"26";"13";"66";"21";"10";"18";"0";"1022";"0";"0";""
Cosenza;4/6/2021;"19";"12";"27";"14";"74";"19";"11";"24";"0";"1023";"0";"0";""
Cosenza;5/6/2021;"20";"15";"26";"17";"82";"20";"11";"30";"0";"1023";"0";"0";""
Cosenza;6/6/2021;"22";"14";"29";"15";"69";"20";"10";"24";"0";"1018";"0";"0";""
Cosenza;7/6/2021;"21";"17";"25";"17";"82";"19";"13";"26";"0";"1016";"0";"0";"pioggia "
Cosenza;8/6/2021;"22";"19";"25";"18";"78";"19";"17";"26";"0";"1016";"0";"0";"pioggia "
Cosenza;9/6/2021;"20";"18";"23";"18";"85";"20";"11";"21";"0";"1014";"0";"0";"pioggia "
Cosenza;10/6/2021;"21";"18";"25";"19";"86";"20";"10";"22";"0";"1015";"0";"0";"pioggia "
Cosenza;11/6/2021;"22";"19";"26";"19";"82";"20";"12";"24";"0";"1015";"0";"0";""
Cosenza;12/6/2021;"22";"17";"25";"18";"82";"20";"10";"22";"0";"1017";"0";"0";"pioggia "
Cosenza;13/6/2021;"21";"14";"25";"18";"84";"21";"14";"24";"0";"1018";"0";"0";""
Cosenza;14/6/2021;"23";"21";"26";"19";"78";"20";"15";"24";"0";"1016";"0";"0";"pioggia "
Cosenza;15/6/2021;"23";"18";"27";"12";"52";"20";"15";"24";"0";"1016";"0";"0";""
Cosenza;16/6/2021;"21";"15";"26";"16";"75";"21";"12";"21";"0";"1017";"0";"0";""
Cosenza;17/6/2021;"22";"15";"27";"17";"74";"20";"10";"21";"0";"1018";"0";"0";""
Cosenza;18/6/2021;"22";"16";"26";"19";"81";"19";"12";"22";"0";"1018";"0";"0";""
Cosenza;19/6/2021;"24";"21";"27";"20";"79";"18";"13";"26";"0";"1017";"0";"0";""
Cosenza;20/6/2021;"24";"20";"28";"19";"74";"20";"11";"22";"0";"1015";"0";"0";""
Cosenza;21/6/2021;"26";"18";"34";"17";"63";"21";"9";"22";"0";"1012";"0";"0";""
Cosenza;22/6/2021;"29";"20";"39";"16";"52";"20";"10";"22";"0";"1011";"0";"0";""
Cosenza;23/6/2021;"28";"19";"37";"20";"68";"20";"9";"21";"0";"1014";"0";"0";""
Cosenza;24/6/2021;"28";"22";"37";"21";"67";"19";"10";"37";"0";"1017";"0";"0";""
Cosenza;25/6/2021;"27";"20";"33";"21";"70";"21";"13";"31";"0";"1016";"0";"0";""
Cosenza;26/6/2021;"26";"19";"30";"20";"73";"19";"11";"21";"0";"1014";"0";"0";""
Cosenza;27/6/2021;"27";"20";"36";"19";"64";"19";"9";"17";"0";"1014";"0";"0";""
Cosenza;28/6/2021;"29";"23";"36";"18";"53";"20";"22";"31";"0";"1014";"0";"0";""
Cosenza;29/6/2021;"29";"20";"38";"20";"64";"19";"12";"31";"0";"1014";"0";"0";""
Cosenza;30/6/2021;"28";"24";"31";"24";"80";"19";"10";"28";"0";"1013";"0";"0";""
