LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/7/2021;"27";"24";"30";"22";"74";"18";"21";"31";"0";"1014";"0";"0";""
Cosenza;2/7/2021;"26";"23";"29";"20";"68";"19";"20";"30";"0";"1014";"0";"0";""
Cosenza;3/7/2021;"25";"22";"28";"20";"74";"21";"13";"24";"0";"1015";"0";"0";""
Cosenza;4/7/2021;"25";"17";"31";"17";"63";"20";"10";"24";"0";"1013";"0";"0";""
Cosenza;5/7/2021;"26";"18";"30";"20";"72";"21";"18";"33";"0";"1011";"0";"0";""
Cosenza;6/7/2021;"27";"23";"29";"21";"73";"21";"16";"24";"0";"1013";"0";"0";"pioggia "
Cosenza;7/7/2021;"26";"19";"31";"22";"80";"20";"8";"15";"0";"1014";"0";"0";""
Cosenza;8/7/2021;"26";"20";"31";"22";"80";"20";"10";"30";"0";"1017";"0";"0";""
Cosenza;9/7/2021;"27";"21";"31";"22";"76";"19";"15";"26";"0";"1017";"0";"0";""
Cosenza;10/7/2021;"27";"25";"30";"21";"69";"20";"22";"37";"0";"1014";"0";"0";""
Cosenza;11/7/2021;"25";"18";"28";"18";"66";"20";"15";"28";"0";"1014";"0";"0";""
Cosenza;12/7/2021;"25";"21";"29";"20";"73";"19";"11";"22";"0";"1014";"0";"0";""
Cosenza;13/7/2021;"27";"17";"36";"15";"53";"20";"12";"28";"0";"1012";"0";"0";""
Cosenza;14/7/2021;"27";"23";"31";"20";"68";"19";"23";"42";"0";"1014";"0";"0";""
Cosenza;15/7/2021;"25";"22";"28";"18";"65";"19";"24";"35";"0";"1015";"0";"0";""
Cosenza;16/7/2021;"25";"21";"28";"18";"66";"21";"21";"33";"0";"1012";"0";"0";""
Cosenza;17/7/2021;"24";"20";"26";"18";"72";"20";"14";"26";"0";"1009";"0";"0";"pioggia "
Cosenza;18/7/2021;"22";"20";"26";"19";"83";"18";"8";"24";"0";"1005";"0";"0";"pioggia "
Cosenza;19/7/2021;"24";"18";"28";"20";"78";"21";"12";"26";"0";"1008";"0";"0";"pioggia "
Cosenza;20/7/2021;"24";"20";"28";"20";"78";"20";"12";"26";"0";"1013";"0";"0";""
Cosenza;21/7/2021;"25";"21";"29";"21";"79";"22";"13";"24";"0";"1016";"0";"0";""
Cosenza;22/7/2021;"26";"24";"29";"22";"79";"19";"15";"26";"0";"1016";"0";"0";""
Cosenza;23/7/2021;"27";"24";"29";"22";"77";"20";"15";"28";"0";"1015";"0";"0";""
Cosenza;24/7/2021;"27";"24";"29";"22";"77";"20";"15";"28";"0";"1014";"0";"0";""
Cosenza;25/7/2021;"28";"20";"36";"18";"59";"20";"12";"21";"0";"1014";"0";"0";""
Cosenza;26/7/2021;"29";"22";"37";"16";"46";"20";"10";"24";"0";"1015";"0";"0";""
Cosenza;27/7/2021;"27";"20";"32";"20";"67";"20";"10";"22";"0";"1017";"0";"0";""
Cosenza;28/7/2021;"27";"20";"32";"22";"76";"21";"9";"15";"0";"1016";"0";"0";""
Cosenza;29/7/2021;"27";"20";"32";"22";"76";"19";"9";"18";"0";"1015";"0";"0";""
Cosenza;30/7/2021;"27";"18";"35";"20";"67";"19";"9";"18";"0";"1012";"0";"0";""
Cosenza;31/7/2021;"28";"23";"33";"22";"72";"21";"9";"18";"0";"1011";"0";"0";""
