LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/5/2021;"23";"17";"29";"13";"54";"20";"16";"35";"0";"1012";"0";"0";""
Cosenza;2/5/2021;"18";"16";"21";"15";"83";"20";"21";"28";"0";"1017";"0";"0";""
Cosenza;3/5/2021;"16";"15";"19";"13";"83";"20";"15";"30";"0";"1020";"0";"0";"pioggia "
Cosenza;4/5/2021;"16";"13";"20";"13";"85";"18";"7";"17";"0";"1018";"0";"0";""
Cosenza;5/5/2021;"16";"12";"20";"13";"86";"18";"7";"15";"0";"1015";"0";"0";"pioggia "
Cosenza;6/5/2021;"18";"15";"20";"15";"85";"21";"17";"24";"0";"1017";"0";"0";""
Cosenza;7/5/2021;"18";"16";"21";"14";"79";"18";"17";"33";"0";"1015";"0";"0";""
Cosenza;8/5/2021;"18";"15";"21";"15";"80";"20";"14";"26";"0";"1017";"0";"0";""
Cosenza;9/5/2021;"19";"11";"25";"12";"69";"18";"9";"18";"0";"1019";"0";"0";""
Cosenza;10/5/2021;"19";"11";"25";"11";"62";"20";"10";"17";"0";"1017";"0";"0";""
Cosenza;11/5/2021;"19";"11";"25";"15";"79";"20";"13";"24";"0";"1014";"0";"0";""
Cosenza;12/5/2021;"19";"16";"22";"15";"79";"20";"22";"35";"0";"1013";"0";"0";"pioggia "
Cosenza;13/5/2021;"18";"16";"22";"13";"72";"22";"22";"33";"0";"1013";"0";"0";"pioggia "
Cosenza;14/5/2021;"18";"12";"22";"14";"78";"19";"12";"26";"0";"1013";"0";"0";"pioggia "
Cosenza;15/5/2021;"17";"15";"20";"13";"79";"20";"26";"39";"0";"1013";"0";"0";"pioggia "
Cosenza;16/5/2021;"18";"13";"21";"13";"71";"21";"16";"28";"0";"1015";"0";"0";""
Cosenza;17/5/2021;"18";"10";"25";"13";"76";"21";"14";"26";"0";"1013";"0";"0";""
Cosenza;18/5/2021;"19";"15";"22";"14";"76";"19";"15";"22";"0";"1016";"0";"0";""
Cosenza;19/5/2021;"18";"14";"22";"14";"76";"22";"18";"31";"0";"1015";"0";"0";""
Cosenza;20/5/2021;"19";"15";"21";"12";"67";"21";"19";"30";"0";"1016";"0";"0";""
Cosenza;21/5/2021;"17";"9";"22";"9";"65";"21";"13";"28";"0";"1021";"0";"0";""
Cosenza;22/5/2021;"18";"7";"27";"7";"57";"20";"11";"21";"0";"1018";"0";"0";""
Cosenza;23/5/2021;"20";"12";"28";"13";"64";"19";"9";"18";"0";"1017";"0";"0";""
Cosenza;24/5/2021;"23";"16";"29";"15";"65";"19";"17";"31";"0";"1017";"0";"0";""
Cosenza;25/5/2021;"21";"17";"23";"17";"81";"18";"18";"28";"0";"1020";"0";"0";""
Cosenza;26/5/2021;"20";"18";"23";"15";"72";"20";"20";"30";"0";"1019";"0";"0";""
Cosenza;27/5/2021;"18";"13";"23";"13";"72";"21";"11";"30";"0";"1016";"0";"0";""
Cosenza;28/5/2021;"19";"13";"23";"15";"75";"18";"11";"22";"0";"1017";"0";"0";""
Cosenza;29/5/2021;"19";"13";"26";"15";"80";"20";"10";"28";"0";"1016";"0";"0";""
Cosenza;30/5/2021;"19";"14";"24";"15";"79";"20";"9";"21";"0";"1016";"0";"0";""
Cosenza;31/5/2021;"19";"13";"23";"14";"76";"20";"12";"21";"0";"1016";"0";"0";""
