LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/3/2021;"12";"8";"17";"9";"82";"19";"12";"26";"0";"1027";"0";"0";""
Cosenza;2/3/2021;"11";"5";"17";"6";"73";"18";"11";"17";"0";"1030";"0";"0";""
Cosenza;3/3/2021;"10";"4";"16";"4";"65";"20";"12";"17";"0";"1031";"0";"0";""
Cosenza;4/3/2021;"9";"2";"15";"6";"81";"19";"11";"21";"0";"1025";"0";"0";""
Cosenza;5/3/2021;"10";"2";"15";"6";"79";"21";"9";"13";"0";"1019";"0";"0";""
Cosenza;6/3/2021;"11";"5";"16";"8";"82";"17";"9";"15";"0";"1022";"0";"0";""
Cosenza;7/3/2021;"13";"11";"18";"8";"69";"20";"20";"26";"0";"1023";"0";"0";""
Cosenza;8/3/2021;"13";"9";"16";"8";"75";"20";"23";"35";"0";"1015";"0";"0";""
Cosenza;9/3/2021;"12";"6";"17";"8";"77";"19";"10";"21";"0";"1012";"0";"0";""
Cosenza;10/3/2021;"13";"10";"17";"10";"85";"15";"16";"28";"0";"1013";"0";"0";"pioggia "
Cosenza;11/3/2021;"10";"4";"15";"3";"64";"20";"16";"35";"0";"1022";"0";"0";""
Cosenza;12/3/2021;"13";"9";"16";"9";"74";"19";"17";"24";"0";"1021";"0";"0";""
Cosenza;13/3/2021;"14";"11";"17";"10";"78";"22";"15";"24";"0";"1018";"0";"0";""
Cosenza;14/3/2021;"14";"10";"17";"10";"75";"21";"23";"39";"0";"1014";"0";"0";"pioggia "
Cosenza;15/3/2021;"13";"8";"15";"4";"55";"18";"37";"54";"0";"1009";"0";"0";"pioggia "
Cosenza;16/3/2021;"10";"6";"15";"5";"74";"20";"12";"28";"0";"1011";"0";"0";"pioggia "
Cosenza;17/3/2021;"9";"5";"14";"3";"69";"21";"13";"30";"0";"1015";"0";"0";"pioggia "
Cosenza;18/3/2021;"8";"5";"10";"4";"79";"22";"21";"31";"0";"1013";"0";"0";"pioggia "
Cosenza;19/3/2021;"10";"7";"13";"6";"74";"20";"23";"33";"0";"1012";"0";"0";"pioggia "
Cosenza;20/3/2021;"11";"9";"14";"9";"87";"19";"21";"31";"0";"1009";"0";"0";"pioggia "
Cosenza;21/3/2021;"9";"8";"11";"6";"83";"20";"20";"30";"0";"1003";"0";"0";"pioggia "
Cosenza;22/3/2021;"10";"6";"13";"6";"76";"18";"14";"24";"0";"1004";"0";"0";"pioggia "
Cosenza;23/3/2021;"9";"4";"13";"2";"52";"19";"15";"28";"0";"1011";"0";"0";""
Cosenza;24/3/2021;"9";"1";"14";"2";"56";"20";"16";"31";"0";"1020";"0";"0";""
Cosenza;25/3/2021;"8";"1";"15";"3";"71";"21";"12";"28";"0";"1021";"0";"0";""
Cosenza;26/3/2021;"14";"12";"17";"11";"77";"20";"18";"28";"0";"1027";"0";"0";""
Cosenza;27/3/2021;"12";"7";"18";"9";"82";"19";"9";"22";"0";"1028";"0";"0";""
Cosenza;28/3/2021;"12";"3";"18";"5";"68";"20";"9";"15";"0";"1030";"0";"0";""
Cosenza;29/3/2021;"12";"5";"17";"9";"81";"19";"10";"21";"0";"1031";"0";"0";""
Cosenza;30/3/2021;"13";"9";"16";"11";"85";"18";"9";"18";"0";"1028";"0";"0";""
Cosenza;31/3/2021;"12";"6";"16";"11";"91";"13";"8";"17";"0";"1024";"0";"0";""
