LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/11/2021;"18";"16";"21";"16";"92";"17";"18";"30";"0";"1010";"0";"0";"pioggia "
Cosenza;2/11/2021;"18";"12";"21";"15";"84";"21";"22";"41";"0";"1010";"0";"0";"pioggia "
Cosenza;3/11/2021;"17";"12";"24";"14";"81";"19";"17";"30";"0";"1012";"0";"0";""
Cosenza;4/11/2021;"21";"17";"24";"18";"82";"21";"19";"35";"0";"1011";"0";"0";""
Cosenza;5/11/2021;"19";"15";"22";"16";"88";"21";"18";"41";"0";"1013";"0";"0";"pioggia "
Cosenza;6/11/2021;"21";"20";"22";"17";"79";"20";"28";"37";"0";"1017";"0";"0";""
Cosenza;7/11/2021;"20";"19";"22";"16";"78";"22";"28";"42";"0";"1016";"0";"0";"pioggia "
Cosenza;8/11/2021;"20";"18";"21";"16";"81";"20";"24";"31";"0";"1013";"0";"0";"pioggia "
Cosenza;9/11/2021;"20";"19";"21";"17";"81";"20";"24";"31";"0";"1018";"0";"0";"pioggia "
Cosenza;10/11/2021;"20";"18";"22";"16";"76";"19";"25";"33";"0";"1022";"0";"0";"pioggia "
Cosenza;11/11/2021;"19";"17";"21";"14";"74";"20";"21";"30";"0";"1020";"0";"0";""
Cosenza;12/11/2021;"17";"16";"19";"13";"75";"19";"19";"24";"0";"1018";"0";"0";""
Cosenza;13/11/2021;"17";"15";"20";"14";"84";"19";"15";"24";"0";"1018";"0";"0";"pioggia "
Cosenza;14/11/2021;"16";"12";"19";"13";"87";"20";"10";"17";"0";"1015";"0";"0";""
Cosenza;15/11/2021;"16";"14";"19";"12";"80";"20";"9";"17";"0";"1013";"0";"0";"pioggia "
Cosenza;16/11/2021;"15";"12";"20";"13";"85";"20";"17";"30";"0";"1014";"0";"0";"pioggia temporale "
Cosenza;17/11/2021;"15";"12";"18";"11";"81";"18";"19";"31";"0";"1016";"0";"0";"pioggia temporale "
Cosenza;18/11/2021;"15";"11";"19";"12";"84";"20";"11";"18";"0";"1020";"0";"0";""
Cosenza;19/11/2021;"14";"9";"19";"11";"83";"22";"11";"21";"0";"1024";"0";"0";""
Cosenza;20/11/2021;"13";"8";"19";"10";"86";"22";"9";"21";"0";"1022";"0";"0";""
Cosenza;21/11/2021;"14";"10";"19";"11";"84";"20";"7";"18";"0";"1016";"0";"0";""
Cosenza;22/11/2021;"14";"10";"21";"10";"79";"20";"8";"13";"0";"1011";"0";"0";""
Cosenza;23/11/2021;"14";"9";"20";"11";"80";"21";"8";"15";"0";"1014";"0";"0";""
Cosenza;24/11/2021;"16";"14";"20";"11";"74";"21";"17";"28";"0";"1016";"0";"0";""
Cosenza;25/11/2021;"15";"13";"18";"12";"79";"22";"21";"28";"0";"1010";"0";"0";"pioggia temporale "
Cosenza;26/11/2021;"16";"14";"18";"11";"71";"19";"27";"35";"0";"1005";"0";"0";"pioggia "
Cosenza;27/11/2021;"15";"11";"17";"10";"75";"19";"18";"33";"0";"1004";"0";"0";"pioggia temporale "
Cosenza;28/11/2021;"14";"10";"16";"10";"79";"19";"16";"42";"0";"1003";"0";"0";"pioggia "
Cosenza;29/11/2021;"12";"9";"15";"7";"70";"16";"33";"54";"0";"1001";"0";"0";"pioggia temporale "
Cosenza;30/11/2021;"11";"7";"13";"3";"58";"20";"24";"33";"0";"1016";"0";"0";"pioggia temporale "
