LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/10/2021;"22";"16";"27";"16";"71";"21";"11";"15";"0";"1020";"0";"0";""
Cosenza;2/10/2021;"22";"17";"27";"15";"67";"21";"16";"22";"0";"1019";"0";"0";""
Cosenza;3/10/2021;"22";"18";"26";"16";"70";"20";"18";"26";"0";"1019";"0";"0";""
Cosenza;4/10/2021;"23";"17";"27";"15";"65";"18";"20";"28";"0";"1020";"0";"0";""
Cosenza;5/10/2021;"21";"17";"28";"15";"71";"20";"14";"35";"0";"1019";"0";"0";"pioggia "
Cosenza;6/10/2021;"20";"15";"24";"17";"83";"18";"9";"21";"0";"1017";"0";"0";"pioggia "
Cosenza;7/10/2021;"19";"16";"22";"15";"79";"18";"14";"31";"0";"1009";"0";"0";"pioggia "
Cosenza;8/10/2021;"17";"14";"21";"14";"87";"17";"10";"17";"0";"1010";"0";"0";"pioggia "
Cosenza;9/10/2021;"18";"13";"23";"14";"80";"21";"11";"21";"0";"1014";"0";"0";"pioggia "
Cosenza;10/10/2021;"19";"17";"21";"14";"77";"17";"19";"39";"0";"1013";"0";"0";"pioggia "
Cosenza;11/10/2021;"16";"12";"19";"11";"76";"21";"19";"41";"0";"1014";"0";"0";"pioggia "
Cosenza;12/10/2021;"14";"10";"20";"10";"79";"19";"10";"24";"0";"1013";"0";"0";""
Cosenza;13/10/2021;"15";"11";"18";"12";"85";"21";"13";"18";"0";"1012";"0";"0";"pioggia "
Cosenza;14/10/2021;"15";"12";"17";"8";"68";"20";"15";"28";"0";"1011";"0";"0";"pioggia "
Cosenza;15/10/2021;"15";"8";"18";"4";"49";"18";"17";"30";"0";"1010";"0";"0";""
Cosenza;16/10/2021;"14";"6";"20";"9";"76";"18";"10";"15";"0";"1015";"0";"0";""
Cosenza;17/10/2021;"15";"11";"22";"11";"78";"19";"11";"18";"0";"1018";"0";"0";""
Cosenza;18/10/2021;"16";"10";"23";"11";"78";"20";"10";"17";"0";"1021";"0";"0";""
Cosenza;19/10/2021;"16";"10";"22";"12";"80";"20";"10";"17";"0";"1027";"0";"0";""
Cosenza;20/10/2021;"15";"9";"22";"12";"85";"20";"11";"18";"0";"1027";"0";"0";""
Cosenza;21/10/2021;"15";"10";"22";"13";"86";"21";"10";"21";"0";"1022";"0";"0";""
Cosenza;22/10/2021;"17";"11";"26";"13";"78";"21";"10";"22";"0";"1018";"0";"0";""
Cosenza;23/10/2021;"20";"15";"27";"16";"77";"21";"14";"28";"0";"1018";"0";"0";""
Cosenza;24/10/2021;"21";"19";"23";"16";"73";"20";"35";"50";"0";"1017";"0";"0";"pioggia "
Cosenza;25/10/2021;"18";"16";"20";"16";"88";"16";"22";"39";"0";"1016";"0";"0";"pioggia "
Cosenza;26/10/2021;"18";"17";"19";"14";"78";"19";"23";"35";"0";"1017";"0";"0";""
Cosenza;27/10/2021;"18";"14";"21";"12";"68";"20";"17";"26";"0";"1019";"0";"0";""
Cosenza;28/10/2021;"16";"12";"21";"10";"68";"21";"19";"31";"0";"1019";"0";"0";""
Cosenza;29/10/2021;"17";"14";"19";"11";"66";"18";"18";"35";"0";"1015";"0";"0";"pioggia "
Cosenza;30/10/2021;"18";"16";"21";"14";"79";"18";"16";"31";"0";"1016";"0";"0";"pioggia "
Cosenza;31/10/2021;"18";"14";"21";"14";"79";"20";"18";"26";"0";"1016";"0";"0";""
